Nome: SAO CARLOS
Codigo Estacao: A711
Latitude: -21.980353
Longitude: -47.883927
Altitude: 859.29
Situacao: Operante
Data Inicial: 2006-09-03
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-09-30;null;
2006-10-31;null;
2006-11-30;null;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;0;
2007-09-30;.6;
2007-10-31;57;
2007-11-30;null;
2007-12-31;131;
2008-01-31;182.8;
2008-02-29;183.2;
2008-03-31;177.6;
2008-04-30;98.8;
2008-05-31;31.6;
2008-06-30;32.4;
2008-07-31;0;
2008-08-31;47.4;
2008-09-30;35.2;
2008-10-31;81.6;
2008-11-30;51.2;
2008-12-31;175.2;
2009-01-31;333.8;
2009-02-28;180.2;
2009-03-31;304;
2009-04-30;105.2;
2009-05-31;35.4;
2009-06-30;31.6;
2009-07-31;71;
2009-08-31;153.4;
2009-09-30;132.8;
2009-10-31;80.2;
2009-11-30;244.2;
2009-12-31;394.2;
2010-01-31;348.8;
2010-02-28;111.8;
2010-03-31;193.6;
2010-04-30;123.8;
2010-05-31;13;
2010-06-30;19;
2010-07-31;33.8;
2010-08-31;0;
2010-09-30;78;
2010-10-31;87.2;
2010-11-30;61.4;
2010-12-31;151.8;
2011-01-31;429.6;
2011-02-28;336.8;
2011-03-31;279.4;
2011-04-30;88.6;
2011-05-31;6;
2011-06-30;44;
2011-07-31;.2;
2011-08-31;13.2;
2011-09-30;13;
2011-10-31;175;
2011-11-30;131.6;
2011-12-31;227;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;151.8;
2012-05-31;100.8;
2012-06-30;194;
2012-07-31;41.2;
2012-08-31;2.4;
2012-09-30;77.8;
2012-10-31;98.2;
2012-11-30;176.2;
2012-12-31;232.8;
2013-01-31;280.8;
2013-02-28;201;
2013-03-31;208.8;
2013-04-30;71.8;
2013-05-31;156;
2013-06-30;63;
2013-07-31;44.2;
2013-08-31;23.2;
2013-09-30;62.8;
2013-10-31;175.4;
2013-11-30;160.6;
2013-12-31;122.6;
2014-01-31;71.4;
2014-02-28;20.6;
2014-03-31;33.2;
2014-04-30;null;
2014-05-31;11;
2014-06-30;null;
2014-07-31;null;
2014-08-31;.4;
2014-09-30;21.8;
2014-10-31;57.8;
2014-11-30;193.2;
2014-12-31;296.2;
2015-01-31;127.6;
2015-02-28;209.2;
2015-03-31;222.8;
2015-04-30;48;
2015-05-31;59.2;
2015-06-30;23.2;
2015-07-31;73.4;
2015-08-31;9;
2015-09-30;163.6;
2015-10-31;46.6;
2015-11-30;268.4;
2015-12-31;159.4;
2016-01-31;458;
2016-02-29;191.4;
2016-03-31;null;
2016-04-30;null;
2016-05-31;151;
2016-06-30;118.4;
2016-07-31;2.6;
2016-08-31;50.6;
2016-09-30;26.8;
2016-10-31;142.8;
2016-11-30;204.2;
2016-12-31;250.6;
2017-01-31;241.2;
2017-02-28;151.4;
2017-03-31;172.8;
2017-04-30;163;
2017-05-31;138;
2017-06-30;9.8;
2017-07-31;0;
2017-08-31;21.6;
2017-09-30;35;
2017-10-31;167.8;
2017-11-30;197.8;
2017-12-31;268.8;
2018-01-31;253.2;
2018-02-28;130.4;
2018-03-31;216.8;
2018-04-30;12.6;
2018-05-31;34.2;
2018-06-30;.4;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;272.6;
2018-11-30;159.4;
2018-12-31;183.2;
2019-01-31;149.4;
2019-02-28;224.8;
2019-03-31;189;
2019-04-30;196;
2019-05-31;36.6;
2019-06-30;9;
2019-07-31;36.2;
2019-08-31;23.8;
2019-09-30;79.8;
2019-10-31;68.6;
2019-11-30;161.2;
2019-12-31;233.8;
2020-01-31;317;
2020-02-29;438;
2020-03-31;94.8;
2020-04-30;6.8;
2020-05-31;28.6;
2020-06-30;29.2;
2020-07-31;1.8;
2020-08-31;19;
2020-09-30;29.2;
2020-10-31;74.2;
2020-11-30;133.8;
2020-12-31;252.8;
2021-01-31;201.4;
2021-02-28;145.8;
2021-03-31;161.2;
2021-04-30;10.8;
2021-05-31;21.4;
2021-06-30;47.4;
2021-07-31;8.2;
2021-08-31;2.6;
2021-09-30;2.4;
2021-10-31;171.6;
2021-11-30;179.4;
2021-12-31;194;
2022-01-31;null;

