Nome: SOROCABA
Codigo Estacao: A713
Latitude: -23.4261111
Longitude: -47.58555555
Altitude: 609.33
Situacao: Pane
Data Inicial: 2006-08-21
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-08-31;null;
2006-09-30;71.6;
2006-10-31;77.8;
2006-11-30;163.6;
2006-12-31;185;
2007-01-31;427;
2007-02-28;108.6;
2007-03-31;52.2;
2007-04-30;37.2;
2007-05-31;null;
2007-06-30;12.4;
2007-07-31;null;
2007-08-31;null;
2007-09-30;null;
2007-10-31;null;
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;null;
2008-05-31;86.6;
2008-06-30;35.4;
2008-07-31;1.6;
2008-08-31;86;
2008-09-30;52.6;
2008-10-31;148;
2008-11-30;74;
2008-12-31;125.6;
2009-01-31;271;
2009-02-28;193.4;
2009-03-31;75.8;
2009-04-30;55.2;
2009-05-31;49.6;
2009-06-30;42.6;
2009-07-31;192;
2009-08-31;42.6;
2009-09-30;152.2;
2009-10-31;95.8;
2009-11-30;225.2;
2009-12-31;286.6;
2010-01-31;335.8;
2010-02-28;85.6;
2010-03-31;124.2;
2010-04-30;85.6;
2010-05-31;24;
2010-06-30;15.4;
2010-07-31;53.6;
2010-08-31;.2;
2010-09-30;47.8;
2010-10-31;57.4;
2010-11-30;128.6;
2010-12-31;275.4;
2011-01-31;396.6;
2011-02-28;86.6;
2011-03-31;null;
2011-04-30;82.8;
2011-05-31;7.2;
2011-06-30;13.8;
2011-07-31;null;
2011-08-31;null;
2011-09-30;3.4;
2011-10-31;null;
2011-11-30;45.8;
2011-12-31;82.2;
2012-01-31;171.8;
2012-02-29;56.4;
2012-03-31;26.8;
2012-04-30;62.4;
2012-05-31;21.8;
2012-06-30;null;
2012-07-31;49.4;
2012-08-31;0;
2012-09-30;5.6;
2012-10-31;62.4;
2012-11-30;131.2;
2012-12-31;150.4;
2013-01-31;121.4;
2013-02-28;62;
2013-03-31;154.8;
2013-04-30;98;
2013-05-31;19.2;
2013-06-30;101.4;
2013-07-31;49;
2013-08-31;3.4;
2013-09-30;62.4;
2013-10-31;120.2;
2013-11-30;110.6;
2013-12-31;114.4;
2014-01-31;79.4;
2014-02-28;157.8;
2014-03-31;97.2;
2014-04-30;75;
2014-05-31;17.2;
2014-06-30;1.2;
2014-07-31;26.8;
2014-08-31;19.8;
2014-09-30;null;
2014-10-31;20.2;
2014-11-30;150;
2014-12-31;230.4;
2015-01-31;199.8;
2015-02-28;241;
2015-03-31;166;
2015-04-30;33.8;
2015-05-31;65.2;
2015-06-30;7.4;
2015-07-31;124;
2015-08-31;19.2;
2015-09-30;188.8;
2015-10-31;102.2;
2015-11-30;284.2;
2015-12-31;null;
2016-01-31;null;
2016-02-29;247.2;
2016-03-31;189.8;
2016-04-30;17;
2016-05-31;97.2;
2016-06-30;164.4;
2016-07-31;6.4;
2016-08-31;70.8;
2016-09-30;26.8;
2016-10-31;135.6;
2016-11-30;69.4;
2016-12-31;173.2;
2017-01-31;245.8;
2017-02-28;184.6;
2017-03-31;127;
2017-04-30;115.2;
2017-05-31;203;
2017-06-30;189;
2017-07-31;.6;
2017-08-31;56.2;
2017-09-30;16;
2017-10-31;86.4;
2017-11-30;149.4;
2017-12-31;222.6;
2018-01-31;176.8;
2018-02-28;null;
2018-03-31;88.2;
2018-04-30;22.2;
2018-05-31;15;
2018-06-30;null;
2018-07-31;14.8;
2018-08-31;74.6;
2018-09-30;114.8;
2018-10-31;149.8;
2018-11-30;138.4;
2018-12-31;80.8;
2019-01-31;146.2;
2019-02-28;192.2;
2019-03-31;107.6;
2019-04-30;179.4;
2019-05-31;21.6;
2019-06-30;34.4;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;12.6;
2019-11-30;165.4;
2019-12-31;254;
2020-01-31;184.4;
2020-02-29;264;
2020-03-31;82.6;
2020-04-30;17.4;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;42.2;
2020-11-30;69.4;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

