Nome: NHUMIRIM
Codigo Estacao: A717
Latitude: -18.9886111
Longitude: -56.62277777
Altitude: 102.26
Situacao: Pane
Data Inicial: 2006-08-01
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-08-31;null;
2006-09-30;29.6;
2006-10-31;111.4;
2006-11-30;174;
2006-12-31;209.2;
2007-01-31;282.2;
2007-02-28;208;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;0;
2007-09-30;0;
2007-10-31;75.8;
2007-11-30;174.2;
2007-12-31;105.8;
2008-01-31;391.6;
2008-02-29;161.8;
2008-03-31;118.6;
2008-04-30;28;
2008-05-31;94.2;
2008-06-30;24.2;
2008-07-31;.6;
2008-08-31;4.6;
2008-09-30;40.8;
2008-10-31;87.6;
2008-11-30;110.6;
2008-12-31;121;
2009-01-31;85.8;
2009-02-28;145.2;
2009-03-31;204.4;
2009-04-30;26.4;
2009-05-31;52.4;
2009-06-30;13.4;
2009-07-31;28;
2009-08-31;59.2;
2009-09-30;2.4;
2009-10-31;55.2;
2009-11-30;84;
2009-12-31;211;
2010-01-31;182.2;
2010-02-28;64;
2010-03-31;65.6;
2010-04-30;10.4;
2010-05-31;71.2;
2010-06-30;7.8;
2010-07-31;2;
2010-08-31;0;
2010-09-30;27.8;
2010-10-31;99;
2010-11-30;118.8;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;44.8;
2011-12-31;64.2;
2012-01-31;211.6;
2012-02-29;115.8;
2012-03-31;101.4;
2012-04-30;87;
2012-05-31;59.2;
2012-06-30;48.2;
2012-07-31;3.2;
2012-08-31;.2;
2012-09-30;82.6;
2012-10-31;67;
2012-11-30;147;
2012-12-31;83.2;
2013-01-31;138.6;
2013-02-28;54.6;
2013-03-31;134.2;
2013-04-30;73.2;
2013-05-31;29.6;
2013-06-30;null;
2013-07-31;null;
2013-08-31;0;
2013-09-30;35;
2013-10-31;19;
2013-11-30;null;
2013-12-31;132.2;
2014-01-31;99;
2014-02-28;72.6;
2014-03-31;136.6;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;87.6;
2015-01-31;67.4;
2015-02-28;224.8;
2015-03-31;127.2;
2015-04-30;68;
2015-05-31;43.8;
2015-06-30;.2;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;76;
2016-04-30;37.6;
2016-05-31;27.4;
2016-06-30;37;
2016-07-31;.2;
2016-08-31;85.6;
2016-09-30;26.8;
2016-10-31;53;
2016-11-30;139.4;
2016-12-31;218.6;
2017-01-31;281.6;
2017-02-28;119.8;
2017-03-31;104.8;
2017-04-30;105.4;
2017-05-31;92.4;
2017-06-30;38.6;
2017-07-31;.6;
2017-08-31;81.4;
2017-09-30;6.6;
2017-10-31;223;
2017-11-30;124.4;
2017-12-31;336.4;
2018-01-31;237.4;
2018-02-28;282.8;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;3.4;
2018-08-31;24.4;
2018-09-30;87.4;
2018-10-31;51.4;
2018-11-30;245.2;
2018-12-31;51.2;
2019-01-31;78.2;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;61.8;
2019-06-30;20.2;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;113.6;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

