Nome: MIRANDA
Codigo Estacao: A722
Latitude: -20.39555555
Longitude: -56.43166666
Altitude: 132.49
Situacao: Pane
Data Inicial: 2006-11-01
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-11-30;null;
2006-12-31;176.2;
2007-01-31;262.6;
2007-02-28;156;
2007-03-31;44;
2007-04-30;68;
2007-05-31;77.4;
2007-06-30;.2;
2007-07-31;32.2;
2007-08-31;5.8;
2007-09-30;12.4;
2007-10-31;96;
2007-11-30;196;
2007-12-31;215.6;
2008-01-31;349.4;
2008-02-29;157.2;
2008-03-31;51.4;
2008-04-30;107;
2008-05-31;128;
2008-06-30;11.8;
2008-07-31;15.6;
2008-08-31;27.6;
2008-09-30;22.8;
2008-10-31;158;
2008-11-30;90.8;
2008-12-31;147.8;
2009-01-31;270.4;
2009-02-28;113;
2009-03-31;116.4;
2009-04-30;0;
2009-05-31;69.2;
2009-06-30;null;
2009-07-31;null;
2009-08-31;137.8;
2009-09-30;43.4;
2009-10-31;221;
2009-11-30;41.2;
2009-12-31;317.8;
2010-01-31;158.8;
2010-02-28;117.4;
2010-03-31;88.6;
2010-04-30;66;
2010-05-31;60.2;
2010-06-30;5.8;
2010-07-31;15.4;
2010-08-31;0;
2010-09-30;55.2;
2010-10-31;99.4;
2010-11-30;245;
2010-12-31;121;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;15.4;
2011-07-31;22.2;
2011-08-31;11.4;
2011-09-30;73.4;
2011-10-31;139.6;
2011-11-30;76.6;
2011-12-31;96;
2012-01-31;157;
2012-02-29;69.6;
2012-03-31;199;
2012-04-30;81;
2012-05-31;94.4;
2012-06-30;153.2;
2012-07-31;13.8;
2012-08-31;4.4;
2012-09-30;87.6;
2012-10-31;98.8;
2012-11-30;103;
2012-12-31;228;
2013-01-31;78;
2013-02-28;101.4;
2013-03-31;177.4;
2013-04-30;422.8;
2013-05-31;86.2;
2013-06-30;230.8;
2013-07-31;41.6;
2013-08-31;.8;
2013-09-30;29;
2013-10-31;100.2;
2013-11-30;98.8;
2013-12-31;62.6;
2014-01-31;52.6;
2014-02-28;127.4;
2014-03-31;283.4;
2014-04-30;25.8;
2014-05-31;273.2;
2014-06-30;68;
2014-07-31;117.4;
2014-08-31;46.8;
2014-09-30;98.6;
2014-10-31;12.2;
2014-11-30;168.6;
2014-12-31;108.2;
2015-01-31;13.4;
2015-02-28;10.8;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;5.8;
2015-09-30;185.2;
2015-10-31;59.6;
2015-11-30;111.2;
2015-12-31;175.2;
2016-01-31;367.2;
2016-02-29;151.8;
2016-03-31;109.8;
2016-04-30;51.4;
2016-05-31;116;
2016-06-30;null;
2016-07-31;2.2;
2016-08-31;66.8;
2016-09-30;41.4;
2016-10-31;68.8;
2016-11-30;123.8;
2016-12-31;180.4;
2017-01-31;126.2;
2017-02-28;159;
2017-03-31;60;
2017-04-30;236.8;
2017-05-31;null;
2017-06-30;null;
2017-07-31;1.8;
2017-08-31;41.2;
2017-09-30;29.6;
2017-10-31;302.8;
2017-11-30;43.4;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;95;
2019-04-30;130.4;
2019-05-31;110.6;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;191.6;
2020-01-31;null;
2020-02-29;142.2;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

