Nome: PORTO MURTINHO
Codigo Estacao: A723
Latitude: -21.70583333
Longitude: -57.88666666
Altitude: 78.56
Situacao: Operante
Data Inicial: 2006-10-23
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-10-31;null;
2006-11-30;159.2;
2006-12-31;101.2;
2007-01-31;210.8;
2007-02-28;236.8;
2007-03-31;15;
2007-04-30;63.8;
2007-05-31;71.4;
2007-06-30;.4;
2007-07-31;16.4;
2007-08-31;33.2;
2007-09-30;0;
2007-10-31;102;
2007-11-30;176.8;
2007-12-31;108.4;
2008-01-31;225.4;
2008-02-29;231;
2008-03-31;154.2;
2008-04-30;67.4;
2008-05-31;66;
2008-06-30;27.2;
2008-07-31;24.8;
2008-08-31;51.6;
2008-09-30;40.4;
2008-10-31;100.6;
2008-11-30;157.4;
2008-12-31;70.2;
2009-01-31;78.2;
2009-02-28;126.2;
2009-03-31;50.2;
2009-04-30;1.6;
2009-05-31;61.8;
2009-06-30;22.2;
2009-07-31;98.4;
2009-08-31;21.6;
2009-09-30;15.6;
2009-10-31;43.2;
2009-11-30;67.2;
2009-12-31;166;
2010-01-31;216.2;
2010-02-28;162.2;
2010-03-31;76.4;
2010-04-30;29;
2010-05-31;160.2;
2010-06-30;4.2;
2010-07-31;null;
2010-08-31;.4;
2010-09-30;31.8;
2010-10-31;61.8;
2010-11-30;161.4;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;152.6;
2011-04-30;126.4;
2011-05-31;19.6;
2011-06-30;8.8;
2011-07-31;28.2;
2011-08-31;27.2;
2011-09-30;89.8;
2011-10-31;100;
2011-11-30;59.2;
2011-12-31;67;
2012-01-31;160.8;
2012-02-29;213.4;
2012-03-31;106.2;
2012-04-30;199.6;
2012-05-31;120.4;
2012-06-30;null;
2012-07-31;null;
2012-08-31;2;
2012-09-30;29;
2012-10-31;57;
2012-11-30;151.8;
2012-12-31;98.6;
2013-01-31;58.2;
2013-02-28;170.4;
2013-03-31;139;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;0;
2013-09-30;9.2;
2013-10-31;null;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;218.4;
2014-04-30;43.8;
2014-05-31;299.4;
2014-06-30;172;
2014-07-31;97.2;
2014-08-31;32.2;
2014-09-30;56.8;
2014-10-31;27.4;
2014-11-30;210.4;
2014-12-31;47.4;
2015-01-31;147.6;
2015-02-28;102.4;
2015-03-31;35.8;
2015-04-30;249.6;
2015-05-31;158.2;
2015-06-30;null;
2015-07-31;null;
2015-08-31;28;
2015-09-30;94.4;
2015-10-31;90.2;
2015-11-30;228.6;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;25.4;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;3.4;
2016-08-31;null;
2016-09-30;.8;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;1;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;89.2;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;150.4;
2018-06-30;101.4;
2018-07-31;2.4;
2018-08-31;23.2;
2018-09-30;103.6;
2018-10-31;199.2;
2018-11-30;264.2;
2018-12-31;105.6;
2019-01-31;26.6;
2019-02-28;null;
2019-03-31;null;
2019-04-30;98.6;
2019-05-31;125.8;
2019-06-30;21.6;
2019-07-31;35.2;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

