Nome: CORUMBA
Codigo Estacao: A724
Latitude: -18.99666666
Longitude: -57.63749999
Altitude: 111.73
Situacao: Pane
Data Inicial: 2006-10-25
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-10-31;null;
2006-11-30;250.6;
2006-12-31;245;
2007-01-31;213.8;
2007-02-28;87.2;
2007-03-31;65.6;
2007-04-30;23.8;
2007-05-31;91;
2007-06-30;0;
2007-07-31;17;
2007-08-31;2.2;
2007-09-30;.2;
2007-10-31;154;
2007-11-30;117;
2007-12-31;146.6;
2008-01-31;226.8;
2008-02-29;209.8;
2008-03-31;95.4;
2008-04-30;48.8;
2008-05-31;85.2;
2008-06-30;null;
2008-07-31;4.4;
2008-08-31;32.8;
2008-09-30;10.4;
2008-10-31;52.2;
2008-11-30;145;
2008-12-31;77.6;
2009-01-31;71.6;
2009-02-28;104;
2009-03-31;2.4;
2009-04-30;.4;
2009-05-31;43.8;
2009-06-30;null;
2009-07-31;null;
2009-08-31;26;
2009-09-30;7.6;
2009-10-31;64.8;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;41.2;
2010-11-30;116;
2010-12-31;53.2;
2011-01-31;231.6;
2011-02-28;432.4;
2011-03-31;260.4;
2011-04-30;55.4;
2011-05-31;.6;
2011-06-30;3.6;
2011-07-31;11.4;
2011-08-31;14;
2011-09-30;23.6;
2011-10-31;132;
2011-11-30;23.8;
2011-12-31;130.4;
2012-01-31;117.2;
2012-02-29;87.2;
2012-03-31;111.6;
2012-04-30;93;
2012-05-31;86.4;
2012-06-30;50;
2012-07-31;.4;
2012-08-31;0;
2012-09-30;16.2;
2012-10-31;11.6;
2012-11-30;208.2;
2012-12-31;148;
2013-01-31;192;
2013-02-28;73.2;
2013-03-31;211.2;
2013-04-30;85.2;
2013-05-31;48;
2013-06-30;75.2;
2013-07-31;null;
2013-08-31;1.6;
2013-09-30;56;
2013-10-31;27.4;
2013-11-30;72.4;
2013-12-31;237.6;
2014-01-31;112;
2014-02-28;88.6;
2014-03-31;273;
2014-04-30;17.4;
2014-05-31;300.2;
2014-06-30;12.2;
2014-07-31;53.4;
2014-08-31;7.8;
2014-09-30;51.2;
2014-10-31;115.4;
2014-11-30;249;
2014-12-31;111.8;
2015-01-31;30.8;
2015-02-28;271;
2015-03-31;21;
2015-04-30;35.2;
2015-05-31;76.8;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;55.8;
2015-11-30;75.8;
2015-12-31;170.4;
2016-01-31;322.4;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;9.6;
2016-06-30;8.6;
2016-07-31;.6;
2016-08-31;57.4;
2016-09-30;59.8;
2016-10-31;61;
2016-11-30;null;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;71;
2017-07-31;.2;
2017-08-31;35.6;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;62.6;
2019-04-30;106.2;
2019-05-31;74.2;
2019-06-30;28;
2019-07-31;7.4;
2019-08-31;17;
2019-09-30;19.8;
2019-10-31;11.4;
2019-11-30;52;
2019-12-31;72.4;
2020-01-31;100.6;
2020-02-29;124.2;
2020-03-31;48.4;
2020-04-30;77.4;
2020-05-31;59.2;
2020-06-30;19.2;
2020-07-31;.2;
2020-08-31;22.2;
2020-09-30;6.4;
2020-10-31;120.8;
2020-11-30;11.4;
2020-12-31;131.4;
2021-01-31;null;
2021-02-28;44;
2021-03-31;70;
2021-04-30;36.4;
2021-05-31;10.6;
2021-06-30;11.6;
2021-07-31;5.6;
2021-08-31;5;
2021-09-30;5.8;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

