Nome: PIRACICABA
Codigo Estacao: A726
Latitude: -22.70305555
Longitude: -47.62333332
Altitude: 566.46
Situacao: Pane
Data Inicial: 2006-09-25
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-09-30;null;
2006-10-31;198.6;
2006-11-30;46.2;
2006-12-31;209.4;
2007-01-31;531.4;
2007-02-28;null;
2007-03-31;80;
2007-04-30;38.2;
2007-05-31;61.2;
2007-06-30;24.8;
2007-07-31;175.8;
2007-08-31;0;
2007-09-30;2;
2007-10-31;93.6;
2007-11-30;null;
2007-12-31;190;
2008-01-31;433.8;
2008-02-29;85.4;
2008-03-31;154.8;
2008-04-30;176.8;
2008-05-31;58.8;
2008-06-30;64.6;
2008-07-31;.8;
2008-08-31;70.8;
2008-09-30;48.8;
2008-10-31;109.4;
2008-11-30;25;
2008-12-31;151;
2009-01-31;177;
2009-02-28;148.6;
2009-03-31;126.2;
2009-04-30;23.8;
2009-05-31;12.4;
2009-06-30;61.4;
2009-07-31;67;
2009-08-31;64;
2009-09-30;147.6;
2009-10-31;47.4;
2009-11-30;180.2;
2009-12-31;285.2;
2010-01-31;250;
2010-02-28;119.4;
2010-03-31;162.4;
2010-04-30;83.8;
2010-05-31;27.2;
2010-06-30;19.2;
2010-07-31;63.6;
2010-08-31;0;
2010-09-30;109.6;
2010-10-31;92.2;
2010-11-30;34.4;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;3.4;
2011-08-31;null;
2011-09-30;null;
2011-10-31;211;
2011-11-30;153.8;
2011-12-31;162.2;
2012-01-31;251.4;
2012-02-29;151;
2012-03-31;66.2;
2012-04-30;167.8;
2012-05-31;72.2;
2012-06-30;174.8;
2012-07-31;27;
2012-08-31;.2;
2012-09-30;44;
2012-10-31;76.6;
2012-11-30;109.6;
2012-12-31;195.6;
2013-01-31;257.2;
2013-02-28;128.4;
2013-03-31;150.8;
2013-04-30;184.4;
2013-05-31;89.2;
2013-06-30;133;
2013-07-31;55.8;
2013-08-31;2.6;
2013-09-30;30.4;
2013-10-31;167.4;
2013-11-30;124.4;
2013-12-31;127.2;
2014-01-31;86.6;
2014-02-28;53.6;
2014-03-31;127;
2014-04-30;28.6;
2014-05-31;39.4;
2014-06-30;2.4;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;21.8;
2014-11-30;167.4;
2014-12-31;279.8;
2015-01-31;116;
2015-02-28;247;
2015-03-31;139.4;
2015-04-30;13;
2015-05-31;84.4;
2015-06-30;6.6;
2015-07-31;40;
2015-08-31;33.4;
2015-09-30;null;
2015-10-31;100.6;
2015-11-30;267.8;
2015-12-31;238.4;
2016-01-31;278.4;
2016-02-29;194.2;
2016-03-31;130.6;
2016-04-30;6;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;102.4;
2016-11-30;193.8;
2016-12-31;180.6;
2017-01-31;316.6;
2017-02-28;98;
2017-03-31;131;
2017-04-30;124;
2017-05-31;152.4;
2017-06-30;null;
2017-07-31;.2;
2017-08-31;23.8;
2017-09-30;null;
2017-10-31;77.4;
2017-11-30;226.6;
2017-12-31;59.2;
2018-01-31;177.4;
2018-02-28;69.6;
2018-03-31;164.6;
2018-04-30;56.4;
2018-05-31;13;
2018-06-30;9.4;
2018-07-31;2.4;
2018-08-31;100.8;
2018-09-30;46.8;
2018-10-31;159.6;
2018-11-30;178;
2018-12-31;81.2;
2019-01-31;110.6;
2019-02-28;138.2;
2019-03-31;62.4;
2019-04-30;150.4;
2019-05-31;51.6;
2019-06-30;11;
2019-07-31;42.8;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;173.8;
2019-12-31;203.2;
2020-01-31;164.2;
2020-02-29;375.2;
2020-03-31;65.6;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

