Nome: LINS
Codigo Estacao: A727
Latitude: -21.66611111
Longitude: -49.73472221
Altitude: 460.65
Situacao: Pane
Data Inicial: 2006-09-19
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-09-30;null;
2006-10-31;87.8;
2006-11-30;215.8;
2006-12-31;251.4;
2007-01-31;null;
2007-02-28;null;
2007-03-31;94;
2007-04-30;41;
2007-05-31;75;
2007-06-30;4.6;
2007-07-31;140.6;
2007-08-31;0;
2007-09-30;2.2;
2007-10-31;60;
2007-11-30;null;
2007-12-31;134.2;
2008-01-31;240.6;
2008-02-29;104.2;
2008-03-31;172.4;
2008-04-30;11.2;
2008-05-31;1.8;
2008-06-30;0;
2008-07-31;0;
2008-08-31;0;
2008-09-30;0;
2008-10-31;0;
2008-11-30;53.2;
2008-12-31;105.8;
2009-01-31;443;
2009-02-28;257.2;
2009-03-31;213.6;
2009-04-30;16;
2009-05-31;24.2;
2009-06-30;42.4;
2009-07-31;62;
2009-08-31;131;
2009-09-30;138;
2009-10-31;95.2;
2009-11-30;109.6;
2009-12-31;16.2;
2010-01-31;32.4;
2010-02-28;26.2;
2010-03-31;96.2;
2010-04-30;48.6;
2010-05-31;29.2;
2010-06-30;17.6;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;64.6;
2010-12-31;28.4;
2011-01-31;250.4;
2011-02-28;121.8;
2011-03-31;35;
2011-04-30;19;
2011-05-31;.2;
2011-06-30;2.6;
2011-07-31;.4;
2011-08-31;1.2;
2011-09-30;.6;
2011-10-31;7.8;
2011-11-30;13.6;
2011-12-31;20.8;
2012-01-31;.4;
2012-02-29;21.4;
2012-03-31;40;
2012-04-30;81.4;
2012-05-31;119.6;
2012-06-30;230.2;
2012-07-31;2.2;
2012-08-31;0;
2012-09-30;61.4;
2012-10-31;null;
2012-11-30;null;
2012-12-31;280.8;
2013-01-31;192.4;
2013-02-28;134.6;
2013-03-31;184;
2013-04-30;null;
2013-05-31;150.2;
2013-06-30;55.4;
2013-07-31;46.6;
2013-08-31;0;
2013-09-30;null;
2013-10-31;null;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;52.4;
2014-05-31;57;
2014-06-30;.6;
2014-07-31;36.4;
2014-08-31;7.4;
2014-09-30;85.8;
2014-10-31;7.6;
2014-11-30;125.8;
2014-12-31;146;
2015-01-31;246.4;
2015-02-28;251.8;
2015-03-31;196.2;
2015-04-30;80.8;
2015-05-31;107.8;
2015-06-30;39;
2015-07-31;74.6;
2015-08-31;11.6;
2015-09-30;105;
2015-10-31;null;
2015-11-30;null;
2015-12-31;151.4;
2016-01-31;383;
2016-02-29;319;
2016-03-31;125.2;
2016-04-30;56.6;
2016-05-31;100.8;
2016-06-30;138.6;
2016-07-31;5.4;
2016-08-31;54.2;
2016-09-30;27.2;
2016-10-31;136.2;
2016-11-30;58.6;
2016-12-31;184.4;
2017-01-31;271.4;
2017-02-28;58;
2017-03-31;114;
2017-04-30;123.4;
2017-05-31;114.8;
2017-06-30;15.4;
2017-07-31;0;
2017-08-31;74.6;
2017-09-30;9.4;
2017-10-31;128.2;
2017-11-30;241.8;
2017-12-31;148.4;
2018-01-31;219.8;
2018-02-28;173.6;
2018-03-31;89.4;
2018-04-30;20.2;
2018-05-31;19.4;
2018-06-30;9;
2018-07-31;null;
2018-08-31;null;
2018-09-30;93.4;
2018-10-31;136.2;
2018-11-30;166.2;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;21;
2019-06-30;18.8;
2019-07-31;29.4;
2019-08-31;15.4;
2019-09-30;60.2;
2019-10-31;69.8;
2019-11-30;92.8;
2019-12-31;154;
2020-01-31;238.8;
2020-02-29;280;
2020-03-31;33.6;
2020-04-30;32.2;
2020-05-31;24.4;
2020-06-30;43.2;
2020-07-31;1;
2020-08-31;23;
2020-09-30;3.4;
2020-10-31;10;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;98.4;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

