Nome: VALPARAISO
Codigo Estacao: A734
Latitude: -21.31916666
Longitude: -50.93027777
Altitude: 381.9
Situacao: Operante
Data Inicial: 2007-08-29
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-08-31;null;
2007-09-30;1;
2007-10-31;64.6;
2007-11-30;85.4;
2007-12-31;96.4;
2008-01-31;181.2;
2008-02-29;124.2;
2008-03-31;142.4;
2008-04-30;81.6;
2008-05-31;37.6;
2008-06-30;6.8;
2008-07-31;0;
2008-08-31;52.4;
2008-09-30;13.2;
2008-10-31;110.8;
2008-11-30;73;
2008-12-31;151.2;
2009-01-31;302.2;
2009-02-28;252.6;
2009-03-31;137.6;
2009-04-30;7.2;
2009-05-31;41.4;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;31.8;
2010-05-31;11.8;
2010-06-30;11.2;
2010-07-31;12.2;
2010-08-31;44.8;
2010-09-30;173.8;
2010-10-31;81.8;
2010-11-30;94.2;
2010-12-31;207.4;
2011-01-31;215.2;
2011-02-28;52.8;
2011-03-31;null;
2011-04-30;51;
2011-05-31;2;
2011-06-30;95.2;
2011-07-31;6;
2011-08-31;19.2;
2011-09-30;58.4;
2011-10-31;188.6;
2011-11-30;137.6;
2011-12-31;275.4;
2012-01-31;258.6;
2012-02-29;50.8;
2012-03-31;87.2;
2012-04-30;108;
2012-05-31;116.4;
2012-06-30;243.8;
2012-07-31;9.6;
2012-08-31;0;
2012-09-30;141.4;
2012-10-31;27.8;
2012-11-30;135.8;
2012-12-31;395.4;
2013-01-31;293;
2013-02-28;198.6;
2013-03-31;123.2;
2013-04-30;88.6;
2013-05-31;141.6;
2013-06-30;69.2;
2013-07-31;45;
2013-08-31;2.6;
2013-09-30;77.8;
2013-10-31;90.8;
2013-11-30;132.4;
2013-12-31;126;
2014-01-31;173.8;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;36.4;
2014-06-30;null;
2014-07-31;null;
2014-08-31;4.8;
2014-09-30;139.6;
2014-10-31;141.6;
2014-11-30;282.2;
2014-12-31;184;
2015-01-31;82.6;
2015-02-28;231.6;
2015-03-31;216;
2015-04-30;84.6;
2015-05-31;null;
2015-06-30;26.8;
2015-07-31;76.8;
2015-08-31;11.6;
2015-09-30;112;
2015-10-31;149.4;
2015-11-30;413.6;
2015-12-31;205.4;
2016-01-31;331.2;
2016-02-29;215;
2016-03-31;109.2;
2016-04-30;61.8;
2016-05-31;178.6;
2016-06-30;84.2;
2016-07-31;9.6;
2016-08-31;136.6;
2016-09-30;71.8;
2016-10-31;86.2;
2016-11-30;77.8;
2016-12-31;144.4;
2017-01-31;351;
2017-02-28;122.6;
2017-03-31;150.4;
2017-04-30;224.6;
2017-05-31;null;
2017-06-30;null;
2017-07-31;0;
2017-08-31;129.8;
2017-09-30;20;
2017-10-31;198.2;
2017-11-30;309.4;
2017-12-31;406.8;
2018-01-31;null;
2018-02-28;null;
2018-03-31;160.6;
2018-04-30;80.8;
2018-05-31;10.2;
2018-06-30;.6;
2018-07-31;3;
2018-08-31;32.4;
2018-09-30;52.2;
2018-10-31;261.2;
2018-11-30;223.4;
2018-12-31;166.8;
2019-01-31;89.6;
2019-02-28;219.8;
2019-03-31;234;
2019-04-30;55.6;
2019-05-31;76;
2019-06-30;34.6;
2019-07-31;58.2;
2019-08-31;15.8;
2019-09-30;44.6;
2019-10-31;85;
2019-11-30;70;
2019-12-31;357.4;
2020-01-31;254.4;
2020-02-29;203;
2020-03-31;87;
2020-04-30;73.6;
2020-05-31;32.2;
2020-06-30;68;
2020-07-31;.8;
2020-08-31;9.8;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;165.8;
2021-02-28;155.2;
2021-03-31;115.4;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;2.6;
2021-08-31;11.2;
2021-09-30;6.2;
2021-10-31;169.2;
2021-11-30;40.2;
2021-12-31;101.8;
2022-01-31;null;

