Nome: JOSE BONIFACIO
Codigo Estacao: A735
Latitude: -21.08555555
Longitude: -49.92027777
Altitude: 408.35
Situacao: Pane
Data Inicial: 2007-09-02
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-09-30;null;
2007-10-31;70;
2007-11-30;null;
2007-12-31;147.8;
2008-01-31;472.6;
2008-02-29;80.6;
2008-03-31;123.4;
2008-04-30;123.2;
2008-05-31;89.6;
2008-06-30;3.8;
2008-07-31;0;
2008-08-31;32.8;
2008-09-30;26.4;
2008-10-31;102.6;
2008-11-30;30;
2008-12-31;198.4;
2009-01-31;184.2;
2009-02-28;229.2;
2009-03-31;75.4;
2009-04-30;77.8;
2009-05-31;6.8;
2009-06-30;121.4;
2009-07-31;14.8;
2009-08-31;29.8;
2009-09-30;67;
2009-10-31;115;
2009-11-30;.4;
2009-12-31;0;
2010-01-31;0;
2010-02-28;0;
2010-03-31;0;
2010-04-30;0;
2010-05-31;0;
2010-06-30;0;
2010-07-31;0;
2010-08-31;0;
2010-09-30;null;
2010-10-31;null;
2010-11-30;39.4;
2010-12-31;31.4;
2011-01-31;110.8;
2011-02-28;414.2;
2011-03-31;341;
2011-04-30;39.6;
2011-05-31;3;
2011-06-30;1.8;
2011-07-31;3.4;
2011-08-31;2.2;
2011-09-30;5.4;
2011-10-31;264.2;
2011-11-30;95.4;
2011-12-31;133.8;
2012-01-31;298;
2012-02-29;56.6;
2012-03-31;44.6;
2012-04-30;94.6;
2012-05-31;83.4;
2012-06-30;151.8;
2012-07-31;13;
2012-08-31;0;
2012-09-30;97.8;
2012-10-31;39.8;
2012-11-30;134.6;
2012-12-31;172.6;
2013-01-31;267.6;
2013-02-28;226.2;
2013-03-31;209.4;
2013-04-30;79.4;
2013-05-31;118.6;
2013-06-30;53.6;
2013-07-31;9.2;
2013-08-31;0;
2013-09-30;66;
2013-10-31;66.6;
2013-11-30;165.6;
2013-12-31;122.6;
2014-01-31;43;
2014-02-28;102.2;
2014-03-31;154.8;
2014-04-30;30.8;
2014-05-31;14.4;
2014-06-30;2.4;
2014-07-31;37;
2014-08-31;0;
2014-09-30;105.2;
2014-10-31;29;
2014-11-30;156.6;
2014-12-31;211.2;
2015-01-31;174;
2015-02-28;201.8;
2015-03-31;null;
2015-04-30;null;
2015-05-31;134.4;
2015-06-30;19;
2015-07-31;60.6;
2015-08-31;null;
2015-09-30;123.6;
2015-10-31;25;
2015-11-30;191.8;
2015-12-31;207.6;
2016-01-31;201.2;
2016-02-29;156.8;
2016-03-31;155.8;
2016-04-30;39.2;
2016-05-31;130;
2016-06-30;114.8;
2016-07-31;3.8;
2016-08-31;39.4;
2016-09-30;42.8;
2016-10-31;81.2;
2016-11-30;104;
2016-12-31;178.6;
2017-01-31;244.6;
2017-02-28;null;
2017-03-31;null;
2017-04-30;103.2;
2017-05-31;108.6;
2017-06-30;4.8;
2017-07-31;0;
2017-08-31;null;
2017-09-30;3.6;
2017-10-31;127;
2017-11-30;183.4;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;140;
2018-04-30;8.4;
2018-05-31;19.8;
2018-06-30;0;
2018-07-31;1.6;
2018-08-31;41.8;
2018-09-30;44.8;
2018-10-31;206.8;
2018-11-30;238.2;
2018-12-31;82.6;
2019-01-31;68.6;
2019-02-28;220.2;
2019-03-31;87.4;
2019-04-30;61.4;
2019-05-31;null;
2019-06-30;null;
2019-07-31;20.2;
2019-08-31;null;
2019-09-30;null;
2019-10-31;57;
2019-11-30;null;
2019-12-31;223.4;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;80.4;
2021-12-31;null;
2022-01-31;null;

