Nome: IBITINGA
Codigo Estacao: A737
Latitude: -21.85555555
Longitude: -48.79972221
Altitude: 496.75
Situacao: Pane
Data Inicial: 2007-11-08
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-11-30;null;
2007-12-31;227.6;
2008-01-31;228;
2008-02-29;111.8;
2008-03-31;150.4;
2008-04-30;111.2;
2008-05-31;52.6;
2008-06-30;46;
2008-07-31;0;
2008-08-31;38;
2008-09-30;19;
2008-10-31;93.6;
2008-11-30;113.6;
2008-12-31;178.6;
2009-01-31;322.6;
2009-02-28;172;
2009-03-31;150.6;
2009-04-30;104.6;
2009-05-31;51.8;
2009-06-30;24.4;
2009-07-31;60;
2009-08-31;164.6;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;68.4;
2010-05-31;26.8;
2010-06-30;15.6;
2010-07-31;15.2;
2010-08-31;0;
2010-09-30;76.6;
2010-10-31;110.4;
2010-11-30;69.4;
2010-12-31;369.6;
2011-01-31;344;
2011-02-28;216.6;
2011-03-31;249;
2011-04-30;121.8;
2011-05-31;3.8;
2011-06-30;37.2;
2011-07-31;3.2;
2011-08-31;10;
2011-09-30;30.8;
2011-10-31;193.6;
2011-11-30;120.6;
2011-12-31;131.4;
2012-01-31;355.2;
2012-02-29;104;
2012-03-31;17.2;
2012-04-30;40.4;
2012-05-31;41;
2012-06-30;146.2;
2012-07-31;8.8;
2012-08-31;0;
2012-09-30;44.4;
2012-10-31;72.6;
2012-11-30;60;
2012-12-31;196;
2013-01-31;220.2;
2013-02-28;203.6;
2013-03-31;143.8;
2013-04-30;81;
2013-05-31;null;
2013-06-30;null;
2013-07-31;12.8;
2013-08-31;1;
2013-09-30;47.8;
2013-10-31;null;
2013-11-30;null;
2013-12-31;243.8;
2014-01-31;79.8;
2014-02-28;67.8;
2014-03-31;163.2;
2014-04-30;39;
2014-05-31;43.4;
2014-06-30;4.4;
2014-07-31;25.4;
2014-08-31;null;
2014-09-30;null;
2014-10-31;12;
2014-11-30;219.6;
2014-12-31;152;
2015-01-31;193.6;
2015-02-28;284.4;
2015-03-31;162.8;
2015-04-30;12.6;
2015-05-31;139.2;
2015-06-30;19;
2015-07-31;58.6;
2015-08-31;8.8;
2015-09-30;136;
2015-10-31;81.4;
2015-11-30;260;
2015-12-31;169;
2016-01-31;424;
2016-02-29;110;
2016-03-31;132.8;
2016-04-30;22.4;
2016-05-31;106;
2016-06-30;109.6;
2016-07-31;4.6;
2016-08-31;54.6;
2016-09-30;16.6;
2016-10-31;148;
2016-11-30;136.4;
2016-12-31;182;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;0;
2017-08-31;null;
2017-09-30;0;
2017-10-31;null;
2017-11-30;62.6;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;1.8;
2018-05-31;5.8;
2018-06-30;.4;
2018-07-31;0;
2018-08-31;41.6;
2018-09-30;47;
2018-10-31;63.2;
2018-11-30;154.2;
2018-12-31;61;
2019-01-31;124.6;
2019-02-28;null;
2019-03-31;null;
2019-04-30;53.6;
2019-05-31;53.8;
2019-06-30;7.6;
2019-07-31;37;
2019-08-31;15.8;
2019-09-30;42.2;
2019-10-31;29.4;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;7.8;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;13.8;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

