Nome: CASA BRANCA
Codigo Estacao: A738
Latitude: -21.78055554
Longitude: -47.07527777
Altitude: 734.15
Situacao: Pane
Data Inicial: 2007-06-24
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-06-30;null;
2007-07-31;129.4;
2007-08-31;0;
2007-09-30;0;
2007-10-31;83.4;
2007-11-30;null;
2007-12-31;169.2;
2008-01-31;379;
2008-02-29;213.4;
2008-03-31;290.6;
2008-04-30;193.6;
2008-05-31;28.6;
2008-06-30;17.8;
2008-07-31;0;
2008-08-31;33.4;
2008-09-30;54.4;
2008-10-31;155.4;
2008-11-30;105;
2008-12-31;241.2;
2009-01-31;100.6;
2009-02-28;26.8;
2009-03-31;62.2;
2009-04-30;0;
2009-05-31;20.2;
2009-06-30;39.6;
2009-07-31;39.2;
2009-08-31;75.6;
2009-09-30;.2;
2009-10-31;0;
2009-11-30;0;
2009-12-31;0;
2010-01-31;0;
2010-02-28;0;
2010-03-31;0;
2010-04-30;0;
2010-05-31;0;
2010-06-30;0;
2010-07-31;0;
2010-08-31;0;
2010-09-30;0;
2010-10-31;0;
2010-11-30;0;
2010-12-31;261.8;
2011-01-31;333;
2011-02-28;126.4;
2011-03-31;37.2;
2011-04-30;124.4;
2011-05-31;6.2;
2011-06-30;26.4;
2011-07-31;0;
2011-08-31;31.2;
2011-09-30;8.8;
2011-10-31;null;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;null;
2012-06-30;null;
2012-07-31;null;
2012-08-31;null;
2012-09-30;22.4;
2012-10-31;92.6;
2012-11-30;146.8;
2012-12-31;220.6;
2013-01-31;397.6;
2013-02-28;200.8;
2013-03-31;211.4;
2013-04-30;158.6;
2013-05-31;101;
2013-06-30;25;
2013-07-31;36;
2013-08-31;4.4;
2013-09-30;73;
2013-10-31;112.4;
2013-11-30;169.4;
2013-12-31;295.8;
2014-01-31;50.6;
2014-02-28;null;
2014-03-31;null;
2014-04-30;71.2;
2014-05-31;25.8;
2014-06-30;7.8;
2014-07-31;43.2;
2014-08-31;0;
2014-09-30;59.8;
2014-10-31;61.2;
2014-11-30;218.4;
2014-12-31;117.4;
2015-01-31;58.4;
2015-02-28;216.6;
2015-03-31;220.6;
2015-04-30;26;
2015-05-31;.6;
2015-06-30;0;
2015-07-31;null;
2015-08-31;null;
2015-09-30;119;
2015-10-31;90.2;
2015-11-30;174.8;
2015-12-31;95.4;
2016-01-31;204;
2016-02-29;128.6;
2016-03-31;129.4;
2016-04-30;6.4;
2016-05-31;null;
2016-06-30;63.8;
2016-07-31;.6;
2016-08-31;36.2;
2016-09-30;8.2;
2016-10-31;66.8;
2016-11-30;.8;
2016-12-31;3.8;
2017-01-31;52.8;
2017-02-28;25.2;
2017-03-31;null;
2017-04-30;53;
2017-05-31;null;
2017-06-30;null;
2017-07-31;0;
2017-08-31;26.2;
2017-09-30;10;
2017-10-31;145.2;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;80.2;
2018-04-30;41.6;
2018-05-31;18.8;
2018-06-30;3.2;
2018-07-31;6.6;
2018-08-31;84.6;
2018-09-30;22;
2018-10-31;40.4;
2018-11-30;null;
2018-12-31;174;
2019-01-31;88.4;
2019-02-28;68.6;
2019-03-31;43.8;
2019-04-30;171.6;
2019-05-31;48.2;
2019-06-30;15.4;
2019-07-31;31.4;
2019-08-31;22;
2019-09-30;null;
2019-10-31;null;
2019-11-30;227;
2019-12-31;111;
2020-01-31;283;
2020-02-29;282;
2020-03-31;93;
2020-04-30;9;
2020-05-31;5.2;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

