Nome: ITAPIRA
Codigo Estacao: A739
Latitude: -22.415
Longitude: -46.80527777
Altitude: 634.89
Situacao: Pane
Data Inicial: 2007-11-04
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;136;
2008-03-31;184;
2008-04-30;189;
2008-05-31;36.4;
2008-06-30;64.4;
2008-07-31;0;
2008-08-31;49;
2008-09-30;54.6;
2008-10-31;118.6;
2008-11-30;140.4;
2008-12-31;178.2;
2009-01-31;322.4;
2009-02-28;205.4;
2009-03-31;187.8;
2009-04-30;61.2;
2009-05-31;32.8;
2009-06-30;40.4;
2009-07-31;65.6;
2009-08-31;92.6;
2009-09-30;137;
2009-10-31;null;
2009-11-30;null;
2009-12-31;238.4;
2010-01-31;295.4;
2010-02-28;73.8;
2010-03-31;184.2;
2010-04-30;42.6;
2010-05-31;15.2;
2010-06-30;16.8;
2010-07-31;31.6;
2010-08-31;9.8;
2010-09-30;81.8;
2010-10-31;68.8;
2010-11-30;126;
2010-12-31;195.6;
2011-01-31;490.6;
2011-02-28;107;
2011-03-31;218.8;
2011-04-30;131.6;
2011-05-31;24;
2011-06-30;65.8;
2011-07-31;.4;
2011-08-31;30.6;
2011-09-30;17.2;
2011-10-31;304.8;
2011-11-30;143.4;
2011-12-31;118.2;
2012-01-31;319.4;
2012-02-29;109.8;
2012-03-31;117;
2012-04-30;116;
2012-05-31;69.6;
2012-06-30;null;
2012-07-31;null;
2012-08-31;null;
2012-09-30;37.2;
2012-10-31;88.4;
2012-11-30;90.4;
2012-12-31;249.2;
2013-01-31;436.4;
2013-02-28;139;
2013-03-31;205.4;
2013-04-30;77.2;
2013-05-31;105.4;
2013-06-30;38.8;
2013-07-31;53.6;
2013-08-31;11;
2013-09-30;69.8;
2013-10-31;173.2;
2013-11-30;172.4;
2013-12-31;174.8;
2014-01-31;80;
2014-02-28;63.8;
2014-03-31;108;
2014-04-30;72.6;
2014-05-31;38.8;
2014-06-30;7.6;
2014-07-31;35.4;
2014-08-31;.4;
2014-09-30;66.8;
2014-10-31;38.4;
2014-11-30;178;
2014-12-31;233.8;
2015-01-31;92.2;
2015-02-28;281.6;
2015-03-31;177.8;
2015-04-30;67.6;
2015-05-31;116.2;
2015-06-30;33;
2015-07-31;22.8;
2015-08-31;null;
2015-09-30;163;
2015-10-31;66.2;
2015-11-30;238.8;
2015-12-31;212.8;
2016-01-31;349.2;
2016-02-29;201;
2016-03-31;201.8;
2016-04-30;10.8;
2016-05-31;26.8;
2016-06-30;null;
2016-07-31;1.6;
2016-08-31;null;
2016-09-30;.8;
2016-10-31;49.4;
2016-11-30;140.4;
2016-12-31;162.4;
2017-01-31;214;
2017-02-28;61.8;
2017-03-31;146.2;
2017-04-30;146.8;
2017-05-31;138.6;
2017-06-30;10.8;
2017-07-31;1.8;
2017-08-31;30.4;
2017-09-30;13.8;
2017-10-31;181.6;
2017-11-30;223.8;
2017-12-31;155.8;
2018-01-31;249.4;
2018-02-28;85.4;
2018-03-31;82.2;
2018-04-30;33;
2018-05-31;17.8;
2018-06-30;3.8;
2018-07-31;11;
2018-08-31;106.6;
2018-09-30;56.8;
2018-10-31;174.6;
2018-11-30;145.4;
2018-12-31;209.2;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;140;
2019-05-31;24.2;
2019-06-30;16;
2019-07-31;29;
2019-08-31;17.2;
2019-09-30;69;
2019-10-31;25;
2019-11-30;186.2;
2019-12-31;257;
2020-01-31;288.4;
2020-02-29;401.2;
2020-03-31;148.6;
2020-04-30;3.4;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

