Nome: SAO LUIS DO PARAITINGA
Codigo Estacao: A740
Latitude: -23.22833332
Longitude: -45.41694443
Altitude: 862.3
Situacao: Pane
Data Inicial: 2007-10-31
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-10-31;null;
2007-11-30;null;
2007-12-31;177.2;
2008-01-31;173.2;
2008-02-29;227.4;
2008-03-31;135.2;
2008-04-30;152;
2008-05-31;33.2;
2008-06-30;61.8;
2008-07-31;4;
2008-08-31;75.2;
2008-09-30;47.4;
2008-10-31;108;
2008-11-30;187.8;
2008-12-31;248.4;
2009-01-31;263.8;
2009-02-28;207.6;
2009-03-31;147.6;
2009-04-30;47.4;
2009-05-31;22;
2009-06-30;70;
2009-07-31;131;
2009-08-31;45;
2009-09-30;79.8;
2009-10-31;104.2;
2009-11-30;220.8;
2009-12-31;396.2;
2010-01-31;296.8;
2010-02-28;104;
2010-03-31;243.8;
2010-04-30;58.2;
2010-05-31;42;
2010-06-30;13;
2010-07-31;55.6;
2010-08-31;4;
2010-09-30;68.8;
2010-10-31;53.8;
2010-11-30;91.2;
2010-12-31;332.4;
2011-01-31;261.4;
2011-02-28;228.2;
2011-03-31;203.6;
2011-04-30;76.8;
2011-05-31;30.2;
2011-06-30;43.4;
2011-07-31;4.2;
2011-08-31;25.6;
2011-09-30;18;
2011-10-31;153;
2011-11-30;149.2;
2011-12-31;154.4;
2012-01-31;256.8;
2012-02-29;101.4;
2012-03-31;92.2;
2012-04-30;120;
2012-05-31;70;
2012-06-30;144;
2012-07-31;71.4;
2012-08-31;13.6;
2012-09-30;17.4;
2012-10-31;null;
2012-11-30;null;
2012-12-31;null;
2013-01-31;210.6;
2013-02-28;162;
2013-03-31;161.8;
2013-04-30;45;
2013-05-31;28.8;
2013-06-30;null;
2013-07-31;63.8;
2013-08-31;5.2;
2013-09-30;33;
2013-10-31;159.4;
2013-11-30;134.8;
2013-12-31;195.8;
2014-01-31;170;
2014-02-28;103.8;
2014-03-31;null;
2014-04-30;46.8;
2014-05-31;35.8;
2014-06-30;13.2;
2014-07-31;30.4;
2014-08-31;18.6;
2014-09-30;72.8;
2014-10-31;32.2;
2014-11-30;133.6;
2014-12-31;123.4;
2015-01-31;null;
2015-02-28;null;
2015-03-31;197.4;
2015-04-30;85;
2015-05-31;39.2;
2015-06-30;21.8;
2015-07-31;34.2;
2015-08-31;16.8;
2015-09-30;42.4;
2015-10-31;53.4;
2015-11-30;187.2;
2015-12-31;189.8;
2016-01-31;178.2;
2016-02-29;49.4;
2016-03-31;90.4;
2016-04-30;10.4;
2016-05-31;59.2;
2016-06-30;180.4;
2016-07-31;2.2;
2016-08-31;51;
2016-09-30;31.2;
2016-10-31;104.4;
2016-11-30;156.8;
2016-12-31;130.4;
2017-01-31;254.2;
2017-02-28;null;
2017-03-31;95;
2017-04-30;68.4;
2017-05-31;105.6;
2017-06-30;56.8;
2017-07-31;7.6;
2017-08-31;72.4;
2017-09-30;47.8;
2017-10-31;141.4;
2017-11-30;144.8;
2017-12-31;151.8;
2018-01-31;429.2;
2018-02-28;105.2;
2018-03-31;135.2;
2018-04-30;35.2;
2018-05-31;23.2;
2018-06-30;31.4;
2018-07-31;23;
2018-08-31;86.6;
2018-09-30;94.4;
2018-10-31;170;
2018-11-30;350.4;
2018-12-31;213.6;
2019-01-31;320.6;
2019-02-28;283;
2019-03-31;46.2;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;0;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;6.8;
2020-06-30;40.8;
2020-07-31;2.2;
2020-08-31;40.8;
2020-09-30;31.6;
2020-10-31;72.8;
2020-11-30;1.8;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

