Nome: BARRA BONITA
Codigo Estacao: A741
Latitude: -22.4711111
Longitude: -48.5575
Altitude: 533.68
Situacao: Operante
Data Inicial: 2008-04-23
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-04-30;null;
2008-05-31;null;
2008-06-30;null;
2008-07-31;0;
2008-08-31;41;
2008-09-30;51;
2008-10-31;null;
2008-11-30;null;
2008-12-31;102;
2009-01-31;267.6;
2009-02-28;163.8;
2009-03-31;110.2;
2009-04-30;24.8;
2009-05-31;39;
2009-06-30;40.4;
2009-07-31;76.4;
2009-08-31;73;
2009-09-30;156;
2009-10-31;139.2;
2009-11-30;211.2;
2009-12-31;228;
2010-01-31;384;
2010-02-28;185.6;
2010-03-31;110.6;
2010-04-30;88;
2010-05-31;23.6;
2010-06-30;23.2;
2010-07-31;79.2;
2010-08-31;0;
2010-09-30;88;
2010-10-31;113.8;
2010-11-30;51;
2010-12-31;329;
2011-01-31;490.2;
2011-02-28;142.4;
2011-03-31;205;
2011-04-30;113.4;
2011-05-31;26;
2011-06-30;46.4;
2011-07-31;4.8;
2011-08-31;39.2;
2011-09-30;4.6;
2011-10-31;189.8;
2011-11-30;166.8;
2011-12-31;135;
2012-01-31;237.6;
2012-02-29;null;
2012-03-31;null;
2012-04-30;77.2;
2012-05-31;33.8;
2012-06-30;15.4;
2012-07-31;17;
2012-08-31;.8;
2012-09-30;85.4;
2012-10-31;72.2;
2012-11-30;84.8;
2012-12-31;250.2;
2013-01-31;379.6;
2013-02-28;228.2;
2013-03-31;170.8;
2013-04-30;109.4;
2013-05-31;123;
2013-06-30;87;
2013-07-31;31.6;
2013-08-31;1;
2013-09-30;49.4;
2013-10-31;161;
2013-11-30;132.8;
2013-12-31;78;
2014-01-31;215.6;
2014-02-28;94;
2014-03-31;87.2;
2014-04-30;99.8;
2014-05-31;71.6;
2014-06-30;.4;
2014-07-31;29.6;
2014-08-31;26.4;
2014-09-30;126.6;
2014-10-31;31.4;
2014-11-30;165.8;
2014-12-31;226;
2015-01-31;192.4;
2015-02-28;256.4;
2015-03-31;175.2;
2015-04-30;null;
2015-05-31;null;
2015-06-30;7.6;
2015-07-31;77.2;
2015-08-31;22;
2015-09-30;null;
2015-10-31;111.6;
2015-11-30;237.8;
2015-12-31;148;
2016-01-31;354.4;
2016-02-29;192;
2016-03-31;123;
2016-04-30;25;
2016-05-31;146.8;
2016-06-30;151.2;
2016-07-31;7.8;
2016-08-31;68.4;
2016-09-30;37.4;
2016-10-31;140.4;
2016-11-30;110.6;
2016-12-31;200.4;
2017-01-31;385;
2017-02-28;94.2;
2017-03-31;95.4;
2017-04-30;131.4;
2017-05-31;65.2;
2017-06-30;null;
2017-07-31;.2;
2017-08-31;33.4;
2017-09-30;null;
2017-10-31;86.2;
2017-11-30;163.6;
2017-12-31;67.4;
2018-01-31;262.8;
2018-02-28;75.8;
2018-03-31;153.4;
2018-04-30;7.4;
2018-05-31;16.2;
2018-06-30;null;
2018-07-31;3;
2018-08-31;null;
2018-09-30;null;
2018-10-31;24.2;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;0;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

