Nome: RIO BRILHANTE
Codigo Estacao: A743
Latitude: -21.774944
Longitude: -54.528108
Altitude: 324.31
Situacao: Operante
Data Inicial: 2008-06-25
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-06-30;null;
2008-07-31;8.8;
2008-08-31;53.4;
2008-09-30;96.8;
2008-10-31;110.2;
2008-11-30;155;
2008-12-31;112.6;
2009-01-31;367.6;
2009-02-28;250.4;
2009-03-31;121.4;
2009-04-30;8.8;
2009-05-31;70.8;
2009-06-30;66.6;
2009-07-31;111.2;
2009-08-31;202.2;
2009-09-30;79.4;
2009-10-31;167.8;
2009-11-30;200.6;
2009-12-31;224.8;
2010-01-31;250.6;
2010-02-28;188.4;
2010-03-31;176.4;
2010-04-30;58;
2010-05-31;112;
2010-06-30;7.2;
2010-07-31;33.2;
2010-08-31;0;
2010-09-30;29.4;
2010-10-31;114.6;
2010-11-30;101.6;
2010-12-31;180.2;
2011-01-31;193.4;
2011-02-28;297.2;
2011-03-31;110.2;
2011-04-30;154;
2011-05-31;21.8;
2011-06-30;61.2;
2011-07-31;88.8;
2011-08-31;28.4;
2011-09-30;72.2;
2011-10-31;257;
2011-11-30;79.6;
2011-12-31;115.4;
2012-01-31;114.2;
2012-02-29;116.2;
2012-03-31;139.8;
2012-04-30;120;
2012-05-31;113.2;
2012-06-30;185.6;
2012-07-31;25;
2012-08-31;3.4;
2012-09-30;56.2;
2012-10-31;90.4;
2012-11-30;245.4;
2012-12-31;172.4;
2013-01-31;90.6;
2013-02-28;61.4;
2013-03-31;131.6;
2013-04-30;173.6;
2013-05-31;39;
2013-06-30;218.4;
2013-07-31;25.6;
2013-08-31;.8;
2013-09-30;85.4;
2013-10-31;118.8;
2013-11-30;72.8;
2013-12-31;85.4;
2014-01-31;210.8;
2014-02-28;166.4;
2014-03-31;222.2;
2014-04-30;83.8;
2014-05-31;194.6;
2014-06-30;45.6;
2014-07-31;137.4;
2014-08-31;10.8;
2014-09-30;225;
2014-10-31;21.2;
2014-11-30;173;
2014-12-31;243;
2015-01-31;172.2;
2015-02-28;148.6;
2015-03-31;267.2;
2015-04-30;104.4;
2015-05-31;135.4;
2015-06-30;58;
2015-07-31;151;
2015-08-31;3.6;
2015-09-30;180.6;
2015-10-31;194.2;
2015-11-30;296.6;
2015-12-31;194.8;
2016-01-31;null;
2016-02-29;null;
2016-03-31;243.4;
2016-04-30;74.4;
2016-05-31;201.6;
2016-06-30;48.2;
2016-07-31;18;
2016-08-31;113.6;
2016-09-30;12.4;
2016-10-31;142.8;
2016-11-30;85.8;
2016-12-31;168;
2017-01-31;181.6;
2017-02-28;171;
2017-03-31;256.8;
2017-04-30;138.4;
2017-05-31;234.2;
2017-06-30;83;
2017-07-31;0;
2017-08-31;12.6;
2017-09-30;1.8;
2017-10-31;null;
2017-11-30;62.8;
2017-12-31;209.4;
2018-01-31;null;
2018-02-28;10.8;
2018-03-31;188;
2018-04-30;9;
2018-05-31;51.2;
2018-06-30;47.6;
2018-07-31;0;
2018-08-31;88;
2018-09-30;168.4;
2018-10-31;216;
2018-11-30;171.2;
2018-12-31;167.8;
2019-01-31;118.6;
2019-02-28;133.2;
2019-03-31;113.6;
2019-04-30;47;
2019-05-31;67.4;
2019-06-30;19;
2019-07-31;67.2;
2019-08-31;2;
2019-09-30;28.6;
2019-10-31;67.2;
2019-11-30;95.2;
2019-12-31;249;
2020-01-31;89.8;
2020-02-29;53;
2020-03-31;49.4;
2020-04-30;48;
2020-05-31;37.8;
2020-06-30;3.8;
2020-07-31;.2;
2020-08-31;54.8;
2020-09-30;22.8;
2020-10-31;33.6;
2020-11-30;16.4;
2020-12-31;47.4;
2021-01-31;18.6;
2021-02-28;4;
2021-03-31;19.6;
2021-04-30;2.4;
2021-05-31;8.4;
2021-06-30;6;
2021-07-31;3;
2021-08-31;null;
2021-09-30;28.8;
2021-10-31;248.4;
2021-11-30;129.4;
2021-12-31;42.4;
2022-01-31;null;

