Nome: BARRA DO TURVO
Codigo Estacao: A746
Latitude: -24.96277777
Longitude: -48.41638888
Altitude: 659.89
Situacao: Pane
Data Inicial: 2008-07-02
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-07-31;33.8;
2008-08-31;132.4;
2008-09-30;133.4;
2008-10-31;195.8;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;183;
2010-01-31;414;
2010-02-28;218.4;
2010-03-31;234.6;
2010-04-30;241.2;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;58.2;
2010-10-31;127.8;
2010-11-30;123;
2010-12-31;257;
2011-01-31;440;
2011-02-28;253.8;
2011-03-31;235.8;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;43.6;
2011-08-31;286.6;
2011-09-30;53.4;
2011-10-31;2.4;
2011-11-30;null;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;null;
2012-06-30;null;
2012-07-31;null;
2012-08-31;null;
2012-09-30;null;
2012-10-31;57.8;
2012-11-30;84.6;
2012-12-31;205.2;
2013-01-31;null;
2013-02-28;null;
2013-03-31;169.4;
2013-04-30;58.4;
2013-05-31;84.8;
2013-06-30;null;
2013-07-31;null;
2013-08-31;26.8;
2013-09-30;null;
2013-10-31;45;
2013-11-30;null;
2013-12-31;null;
2014-01-31;201.8;
2014-02-28;237.8;
2014-03-31;null;
2014-04-30;null;
2014-05-31;16.8;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;36.4;
2014-11-30;94;
2014-12-31;183.4;
2015-01-31;276;
2015-02-28;null;
2015-03-31;198.2;
2015-04-30;87;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;14.8;
2015-09-30;null;
2015-10-31;168.2;
2015-11-30;194.2;
2015-12-31;324.6;
2016-01-31;248.6;
2016-02-29;351.4;
2016-03-31;107;
2016-04-30;72.8;
2016-05-31;109;
2016-06-30;138.6;
2016-07-31;84.4;
2016-08-31;204.8;
2016-09-30;70.6;
2016-10-31;118;
2016-11-30;107.4;
2016-12-31;86.8;
2017-01-31;356;
2017-02-28;104.2;
2017-03-31;390.4;
2017-04-30;199.8;
2017-05-31;156.4;
2017-06-30;177.4;
2017-07-31;24.8;
2017-08-31;86.8;
2017-09-30;40;
2017-10-31;194.6;
2017-11-30;169.2;
2017-12-31;123.8;
2018-01-31;88;
2018-02-28;98;
2018-03-31;null;
2018-04-30;73.4;
2018-05-31;90.6;
2018-06-30;89;
2018-07-31;29.2;
2018-08-31;42;
2018-09-30;53.4;
2018-10-31;207;
2018-11-30;129.4;
2018-12-31;193.4;
2019-01-31;181.4;
2019-02-28;99.8;
2019-03-31;71.6;
2019-04-30;null;
2019-05-31;236.4;
2019-06-30;18.2;
2019-07-31;8.8;
2019-08-31;50.6;
2019-09-30;129.6;
2019-10-31;84;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

