Nome: JUTI
Codigo Estacao: A749
Latitude: -22.85722222
Longitude: -54.60555555
Altitude: 375.18
Situacao: Pane
Data Inicial: 2008-06-15
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-06-30;null;
2008-07-31;13.6;
2008-08-31;202.4;
2008-09-30;96.2;
2008-10-31;119.4;
2008-11-30;210.4;
2008-12-31;24.6;
2009-01-31;166.8;
2009-02-28;190.6;
2009-03-31;28;
2009-04-30;0;
2009-05-31;54.6;
2009-06-30;160.4;
2009-07-31;138.8;
2009-08-31;122.4;
2009-09-30;108.2;
2009-10-31;187.6;
2009-11-30;277.8;
2009-12-31;344.4;
2010-01-31;264;
2010-02-28;110.2;
2010-03-31;81;
2010-04-30;61.4;
2010-05-31;201.4;
2010-06-30;10;
2010-07-31;85.8;
2010-08-31;3.8;
2010-09-30;255.8;
2010-10-31;167.8;
2010-11-30;91.2;
2010-12-31;141;
2011-01-31;118.6;
2011-02-28;287.4;
2011-03-31;137;
2011-04-30;127.8;
2011-05-31;27.8;
2011-06-30;77.4;
2011-07-31;93.8;
2011-08-31;46.8;
2011-09-30;51.8;
2011-10-31;220;
2011-11-30;175.2;
2011-12-31;84.2;
2012-01-31;238.8;
2012-02-29;181.2;
2012-03-31;128.8;
2012-04-30;157.8;
2012-05-31;51.2;
2012-06-30;273.2;
2012-07-31;19.4;
2012-08-31;19.2;
2012-09-30;100.4;
2012-10-31;139;
2012-11-30;82.8;
2012-12-31;54.4;
2013-01-31;158;
2013-02-28;175.8;
2013-03-31;340.2;
2013-04-30;156;
2013-05-31;124;
2013-06-30;255;
2013-07-31;7.6;
2013-08-31;4.8;
2013-09-30;129.4;
2013-10-31;127;
2013-11-30;103.8;
2013-12-31;105.8;
2014-01-31;207.2;
2014-02-28;169.6;
2014-03-31;134.4;
2014-04-30;123;
2014-05-31;158.2;
2014-06-30;51.8;
2014-07-31;189.6;
2014-08-31;16;
2014-09-30;140.6;
2014-10-31;76.6;
2014-11-30;145.4;
2014-12-31;162.8;
2015-01-31;141.2;
2015-02-28;334;
2015-03-31;null;
2015-04-30;null;
2015-05-31;162.2;
2015-06-30;30.4;
2015-07-31;226.2;
2015-08-31;39.6;
2015-09-30;null;
2015-10-31;null;
2015-11-30;310.6;
2015-12-31;167.4;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;19.2;
2016-07-31;21;
2016-08-31;29.2;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;307;
2017-01-31;209.4;
2017-02-28;128.6;
2017-03-31;167.6;
2017-04-30;189.6;
2017-05-31;146;
2017-06-30;106.8;
2017-07-31;3.2;
2017-08-31;87.4;
2017-09-30;14.2;
2017-10-31;209.6;
2017-11-30;142.4;
2017-12-31;330;
2018-01-31;345.4;
2018-02-28;162.4;
2018-03-31;339.4;
2018-04-30;6.8;
2018-05-31;78.6;
2018-06-30;19.8;
2018-07-31;3;
2018-08-31;72.6;
2018-09-30;212.4;
2018-10-31;403;
2018-11-30;181.6;
2018-12-31;147.6;
2019-01-31;138.2;
2019-02-28;131.6;
2019-03-31;202.4;
2019-04-30;141.2;
2019-05-31;82.6;
2019-06-30;61.4;
2019-07-31;19.4;
2019-08-31;3.2;
2019-09-30;34.6;
2019-10-31;53.2;
2019-11-30;143.6;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;.8;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

