Nome: AMAMBAI
Codigo Estacao: A750
Latitude: -23.0025
Longitude: -55.32944443
Altitude: 433.59
Situacao: Pane
Data Inicial: 2008-06-10
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-06-30;null;
2008-07-31;11.2;
2008-08-31;201.6;
2008-09-30;58.6;
2008-10-31;113.4;
2008-11-30;340.4;
2008-12-31;47.4;
2009-01-31;131.4;
2009-02-28;257.4;
2009-03-31;93.2;
2009-04-30;null;
2009-05-31;151.4;
2009-06-30;null;
2009-07-31;80.8;
2009-08-31;74;
2009-09-30;74.4;
2009-10-31;196.2;
2009-11-30;122.2;
2009-12-31;185.2;
2010-01-31;293;
2010-02-28;212.4;
2010-03-31;128.2;
2010-04-30;63.4;
2010-05-31;223.2;
2010-06-30;17.4;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;3.6;
2011-06-30;46.2;
2011-07-31;99.2;
2011-08-31;78.8;
2011-09-30;37.8;
2011-10-31;209.6;
2011-11-30;143;
2011-12-31;92.6;
2012-01-31;173.2;
2012-02-29;102.2;
2012-03-31;189.2;
2012-04-30;142.4;
2012-05-31;42.6;
2012-06-30;255;
2012-07-31;32;
2012-08-31;21.8;
2012-09-30;61.4;
2012-10-31;219;
2012-11-30;174.8;
2012-12-31;111.8;
2013-01-31;188.6;
2013-02-28;121.2;
2013-03-31;278.6;
2013-04-30;172.6;
2013-05-31;130.8;
2013-06-30;null;
2013-07-31;32.2;
2013-08-31;2;
2013-09-30;21;
2013-10-31;null;
2013-11-30;93.8;
2013-12-31;82.4;
2014-01-31;254;
2014-02-28;91.6;
2014-03-31;210.6;
2014-04-30;null;
2014-05-31;null;
2014-06-30;73.4;
2014-07-31;192.8;
2014-08-31;14;
2014-09-30;119.2;
2014-10-31;62.8;
2014-11-30;194.8;
2014-12-31;289;
2015-01-31;101.2;
2015-02-28;210.4;
2015-03-31;90.4;
2015-04-30;113.2;
2015-05-31;160;
2015-06-30;43.8;
2015-07-31;88.6;
2015-08-31;3.8;
2015-09-30;null;
2015-10-31;254;
2015-11-30;405.2;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;74;
2016-04-30;68.8;
2016-05-31;null;
2016-06-30;null;
2016-07-31;31.8;
2016-08-31;105;
2016-09-30;59;
2016-10-31;233.6;
2016-11-30;54.6;
2016-12-31;208.8;
2017-01-31;98.2;
2017-02-28;241.4;
2017-03-31;117.4;
2017-04-30;192.4;
2017-05-31;55.6;
2017-06-30;60.8;
2017-07-31;5;
2017-08-31;47.6;
2017-09-30;14.6;
2017-10-31;209.8;
2017-11-30;192;
2017-12-31;196.6;
2018-01-31;240.2;
2018-02-28;142.6;
2018-03-31;236.6;
2018-04-30;57.6;
2018-05-31;null;
2018-06-30;null;
2018-07-31;1;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;25;
2018-12-31;10.6;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;32;
2019-07-31;10.2;
2019-08-31;1.8;
2019-09-30;27.4;
2019-10-31;41.2;
2019-11-30;123.8;
2019-12-31;480.2;
2020-01-31;151.8;
2020-02-29;124.8;
2020-03-31;71;
2020-04-30;135.6;
2020-05-31;130.8;
2020-06-30;131.4;
2020-07-31;17;
2020-08-31;180.6;
2020-09-30;7.2;
2020-10-31;127;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

