Nome: SETE QUEDAS
Codigo Estacao: A751
Latitude: -23.96694443
Longitude: -55.02416666
Altitude: 398.4
Situacao: Pane
Data Inicial: 2008-06-02
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-06-30;null;
2008-07-31;26.8;
2008-08-31;204.4;
2008-09-30;77.8;
2008-10-31;171.6;
2008-11-30;203;
2008-12-31;72.6;
2009-01-31;203;
2009-02-28;131.2;
2009-03-31;44;
2009-04-30;22;
2009-05-31;264.4;
2009-06-30;59.8;
2009-07-31;107.6;
2009-08-31;78.4;
2009-09-30;135.2;
2009-10-31;192.6;
2009-11-30;173.2;
2009-12-31;231.6;
2010-01-31;225.4;
2010-02-28;160.4;
2010-03-31;127;
2010-04-30;87.4;
2010-05-31;124.8;
2010-06-30;41.8;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;18.4;
2011-06-30;73.6;
2011-07-31;171.4;
2011-08-31;105.6;
2011-09-30;55.2;
2011-10-31;283;
2011-11-30;169.4;
2011-12-31;45;
2012-01-31;89.8;
2012-02-29;69.8;
2012-03-31;76.2;
2012-04-30;401.6;
2012-05-31;74.2;
2012-06-30;167.4;
2012-07-31;48.2;
2012-08-31;7.2;
2012-09-30;28.6;
2012-10-31;252.6;
2012-11-30;137.4;
2012-12-31;153;
2013-01-31;112.8;
2013-02-28;76.4;
2013-03-31;202.4;
2013-04-30;164.2;
2013-05-31;107.4;
2013-06-30;null;
2013-07-31;8.2;
2013-08-31;10.6;
2013-09-30;107.2;
2013-10-31;167.8;
2013-11-30;130;
2013-12-31;156.6;
2014-01-31;97.6;
2014-02-28;57;
2014-03-31;147.2;
2014-04-30;149.4;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;21;
2014-09-30;null;
2014-10-31;63.4;
2014-11-30;135.6;
2014-12-31;162;
2015-01-31;159.8;
2015-02-28;208.8;
2015-03-31;131.2;
2015-04-30;230.2;
2015-05-31;317;
2015-06-30;null;
2015-07-31;null;
2015-08-31;42;
2015-09-30;157;
2015-10-31;133;
2015-11-30;456.6;
2015-12-31;364;
2016-01-31;200.2;
2016-02-29;268.8;
2016-03-31;131.4;
2016-04-30;108.8;
2016-05-31;312;
2016-06-30;76;
2016-07-31;38.8;
2016-08-31;272.4;
2016-09-30;51;
2016-10-31;274;
2016-11-30;105.6;
2016-12-31;165.8;
2017-01-31;117;
2017-02-28;208.2;
2017-03-31;179;
2017-04-30;246.2;
2017-05-31;217;
2017-06-30;null;
2017-07-31;.6;
2017-08-31;128.4;
2017-09-30;null;
2017-10-31;null;
2017-11-30;298.8;
2017-12-31;323.6;
2018-01-31;279.2;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;89.4;
2018-06-30;75.4;
2018-07-31;4.2;
2018-08-31;99.2;
2018-09-30;243.2;
2018-10-31;341.6;
2018-11-30;151.2;
2018-12-31;99.6;
2019-01-31;103.2;
2019-02-28;143;
2019-03-31;156.4;
2019-04-30;113.6;
2019-05-31;376.2;
2019-06-30;10.8;
2019-07-31;0;
2019-08-31;null;
2019-09-30;0;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

