Nome: ITAQUIRAI
Codigo Estacao: A752
Latitude: -23.449501
Longitude: -54.181858
Altitude: 337.82
Situacao: Operante
Data Inicial: 2008-05-27
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-05-31;null;
2008-06-30;null;
2008-07-31;17;
2008-08-31;null;
2008-09-30;null;
2008-10-31;null;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;118;
2009-12-31;346.6;
2010-01-31;138.8;
2010-02-28;85;
2010-03-31;72.2;
2010-04-30;46.8;
2010-05-31;154.8;
2010-06-30;17.6;
2010-07-31;null;
2010-08-31;0;
2010-09-30;null;
2010-10-31;115.6;
2010-11-30;123.4;
2010-12-31;null;
2011-01-31;188;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;16.2;
2011-06-30;65.2;
2011-07-31;148.2;
2011-08-31;75.6;
2011-09-30;61;
2011-10-31;224.2;
2011-11-30;151.6;
2011-12-31;119;
2012-01-31;146;
2012-02-29;100;
2012-03-31;57.6;
2012-04-30;90.6;
2012-05-31;null;
2012-06-30;null;
2012-07-31;null;
2012-08-31;null;
2012-09-30;36.2;
2012-10-31;147.8;
2012-11-30;150.6;
2012-12-31;119.4;
2013-01-31;79.2;
2013-02-28;161;
2013-03-31;228.4;
2013-04-30;null;
2013-05-31;124;
2013-06-30;280.4;
2013-07-31;57.8;
2013-08-31;5.2;
2013-09-30;49.6;
2013-10-31;136;
2013-11-30;135.4;
2013-12-31;162.6;
2014-01-31;161.2;
2014-02-28;77;
2014-03-31;166.6;
2014-04-30;199;
2014-05-31;125.4;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;141.4;
2014-10-31;90.8;
2014-11-30;201.4;
2014-12-31;146.2;
2015-01-31;119.2;
2015-02-28;90.8;
2015-03-31;74.6;
2015-04-30;159.2;
2015-05-31;191.8;
2015-06-30;60.6;
2015-07-31;347;
2015-08-31;55.6;
2015-09-30;211.6;
2015-10-31;186;
2015-11-30;400;
2015-12-31;267.4;
2016-01-31;144.6;
2016-02-29;173.6;
2016-03-31;31.6;
2016-04-30;98.6;
2016-05-31;null;
2016-06-30;null;
2016-07-31;30.4;
2016-08-31;146.6;
2016-09-30;50.4;
2016-10-31;281.8;
2016-11-30;98.8;
2016-12-31;246.4;
2017-01-31;111.8;
2017-02-28;208.2;
2017-03-31;150.4;
2017-04-30;175.2;
2017-05-31;169.8;
2017-06-30;99;
2017-07-31;.8;
2017-08-31;109.8;
2017-09-30;22;
2017-10-31;313.4;
2017-11-30;168.6;
2017-12-31;236.8;
2018-01-31;262.8;
2018-02-28;206.2;
2018-03-31;272.8;
2018-04-30;27.6;
2018-05-31;58.4;
2018-06-30;24.4;
2018-07-31;4.6;
2018-08-31;120.2;
2018-09-30;168;
2018-10-31;348.4;
2018-11-30;80.2;
2018-12-31;137.8;
2019-01-31;45;
2019-02-28;124.8;
2019-03-31;142.4;
2019-04-30;null;
2019-05-31;null;
2019-06-30;28.8;
2019-07-31;15;
2019-08-31;3.4;
2019-09-30;38.6;
2019-10-31;45.8;
2019-11-30;99.6;
2019-12-31;422;
2020-01-31;215.4;
2020-02-29;132.6;
2020-03-31;38.2;
2020-04-30;106.4;
2020-05-31;118.2;
2020-06-30;122.2;
2020-07-31;19.4;
2020-08-31;184.2;
2020-09-30;4.2;
2020-10-31;88.2;
2020-11-30;75.8;
2020-12-31;206.8;
2021-01-31;363;
2021-02-28;153.4;
2021-03-31;278;
2021-04-30;6.8;
2021-05-31;57.8;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

