Nome: AGUA CLARA
Codigo Estacao: A756
Latitude: -20.44444444
Longitude: -52.87583332
Altitude: 323.63
Situacao: Operante
Data Inicial: 2010-08-13
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2010-08-31;null;
2010-09-30;86.4;
2010-10-31;75;
2010-11-30;109.2;
2010-12-31;121.8;
2011-01-31;326;
2011-02-28;171.2;
2011-03-31;223;
2011-04-30;null;
2011-05-31;null;
2011-06-30;54.4;
2011-07-31;3.4;
2011-08-31;7.6;
2011-09-30;6.2;
2011-10-31;177.2;
2011-11-30;133.8;
2011-12-31;107.8;
2012-01-31;381;
2012-02-29;60.6;
2012-03-31;76.4;
2012-04-30;100.2;
2012-05-31;67.6;
2012-06-30;163.2;
2012-07-31;11.2;
2012-08-31;.6;
2012-09-30;107.4;
2012-10-31;91.2;
2012-11-30;17.2;
2012-12-31;25.6;
2013-01-31;null;
2013-02-28;55.4;
2013-03-31;null;
2013-04-30;null;
2013-05-31;25.6;
2013-06-30;126.2;
2013-07-31;52.2;
2013-08-31;0;
2013-09-30;96;
2013-10-31;156.8;
2013-11-30;49.8;
2013-12-31;255;
2014-01-31;174;
2014-02-28;173;
2014-03-31;123;
2014-04-30;79.6;
2014-05-31;38.8;
2014-06-30;13;
2014-07-31;104.2;
2014-08-31;0;
2014-09-30;135.4;
2014-10-31;63.2;
2014-11-30;358.4;
2014-12-31;176.6;
2015-01-31;77;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;71.6;
2015-06-30;109.4;
2015-07-31;52.4;
2015-08-31;19.8;
2015-09-30;175;
2015-10-31;58.4;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;197.2;
2016-06-30;37;
2016-07-31;8.8;
2016-08-31;48.4;
2016-09-30;41.4;
2016-10-31;43;
2016-11-30;55.8;
2016-12-31;150.4;
2017-01-31;248.2;
2017-02-28;112;
2017-03-31;145.6;
2017-04-30;151.8;
2017-05-31;144.8;
2017-06-30;10.8;
2017-07-31;0;
2017-08-31;52.4;
2017-09-30;20.8;
2017-10-31;68.6;
2017-11-30;0;
2017-12-31;0;
2018-01-31;null;
2018-02-28;null;
2018-03-31;93.2;
2018-04-30;12.6;
2018-05-31;33.8;
2018-06-30;.4;
2018-07-31;.4;
2018-08-31;18;
2018-09-30;142.8;
2018-10-31;236.8;
2018-11-30;95.8;
2018-12-31;127.4;
2019-01-31;192.6;
2019-02-28;211;
2019-03-31;55.8;
2019-04-30;171.4;
2019-05-31;52.6;
2019-06-30;17;
2019-07-31;14.8;
2019-08-31;21;
2019-09-30;36.4;
2019-10-31;83.4;
2019-11-30;164;
2019-12-31;140.6;
2020-01-31;161.4;
2020-02-29;330.6;
2020-03-31;89;
2020-04-30;106.2;
2020-05-31;37.2;
2020-06-30;53.2;
2020-07-31;0;
2020-08-31;5.2;
2020-09-30;10.2;
2020-10-31;103;
2020-11-30;77.8;
2020-12-31;177.8;
2021-01-31;244.2;
2021-02-28;106.6;
2021-03-31;87.4;
2021-04-30;null;
2021-05-31;46.4;
2021-06-30;11.8;
2021-07-31;3.4;
2021-08-31;11.6;
2021-09-30;17.2;
2021-10-31;215;
2021-11-30;95.6;
2021-12-31;122;
2022-01-31;null;

