Nome: BELA VISTA
Codigo Estacao: A757
Latitude: -22.10166666
Longitude: -56.54083333
Altitude: 206.09
Situacao: Pane
Data Inicial: 2011-08-08
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2011-08-31;null;
2011-09-30;63.6;
2011-10-31;117.8;
2011-11-30;193.8;
2011-12-31;49.4;
2012-01-31;126.2;
2012-02-29;144.8;
2012-03-31;177.6;
2012-04-30;133.6;
2012-05-31;146.6;
2012-06-30;226;
2012-07-31;20.2;
2012-08-31;17.8;
2012-09-30;39.6;
2012-10-31;88.4;
2012-11-30;0;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;null;
2013-04-30;0;
2013-05-31;165.4;
2013-06-30;219.2;
2013-07-31;31.4;
2013-08-31;.6;
2013-09-30;59;
2013-10-31;209.6;
2013-11-30;221.4;
2013-12-31;161.6;
2014-01-31;159.6;
2014-02-28;131.8;
2014-03-31;165.2;
2014-04-30;186.2;
2014-05-31;212.6;
2014-06-30;120.8;
2014-07-31;109;
2014-08-31;23.6;
2014-09-30;107.4;
2014-10-31;null;
2014-11-30;null;
2014-12-31;208.6;
2015-01-31;89;
2015-02-28;113.4;
2015-03-31;104.4;
2015-04-30;227;
2015-05-31;194.6;
2015-06-30;97;
2015-07-31;147.8;
2015-08-31;5.6;
2015-09-30;150.2;
2015-10-31;148.8;
2015-11-30;245.6;
2015-12-31;268.8;
2016-01-31;266.8;
2016-02-29;248.4;
2016-03-31;125.6;
2016-04-30;66;
2016-05-31;174.4;
2016-06-30;17.6;
2016-07-31;24.4;
2016-08-31;52.6;
2016-09-30;null;
2016-10-31;135.8;
2016-11-30;null;
2016-12-31;319.8;
2017-01-31;114.4;
2017-02-28;49.6;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;0;
2017-08-31;null;
2017-09-30;21.4;
2017-10-31;172.6;
2017-11-30;216;
2017-12-31;276.6;
2018-01-31;297.2;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;80;
2018-06-30;37.2;
2018-07-31;2.2;
2018-08-31;37.6;
2018-09-30;170.2;
2018-10-31;124.2;
2018-11-30;165;
2018-12-31;130.8;
2019-01-31;78.6;
2019-02-28;96.8;
2019-03-31;273.2;
2019-04-30;209.8;
2019-05-31;101.8;
2019-06-30;39.4;
2019-07-31;63.2;
2019-08-31;1.6;
2019-09-30;31.4;
2019-10-31;83.6;
2019-11-30;124;
2019-12-31;186.8;
2020-01-31;119.4;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

