Nome: JARDIM
Codigo Estacao: A758
Latitude: -21.4786111
Longitude: -56.13777777
Altitude: 252.47
Situacao: Operante
Data Inicial: 2011-08-03
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2011-08-31;null;
2011-09-30;79.2;
2011-10-31;71.8;
2011-11-30;129.6;
2011-12-31;48.6;
2012-01-31;138.4;
2012-02-29;114.6;
2012-03-31;173.2;
2012-04-30;117.4;
2012-05-31;66.2;
2012-06-30;197.4;
2012-07-31;null;
2012-08-31;null;
2012-09-30;64.8;
2012-10-31;111.6;
2012-11-30;154.4;
2012-12-31;71.2;
2013-01-31;56.8;
2013-02-28;259.6;
2013-03-31;117.6;
2013-04-30;298.2;
2013-05-31;74.4;
2013-06-30;201.2;
2013-07-31;16.4;
2013-08-31;6.2;
2013-09-30;48.6;
2013-10-31;207.4;
2013-11-30;118.6;
2013-12-31;109.2;
2014-01-31;86.6;
2014-02-28;89.2;
2014-03-31;151.6;
2014-04-30;85;
2014-05-31;null;
2014-06-30;71;
2014-07-31;126.6;
2014-08-31;24;
2014-09-30;45.4;
2014-10-31;7.8;
2014-11-30;284;
2014-12-31;137;
2015-01-31;165;
2015-02-28;147.6;
2015-03-31;30.2;
2015-04-30;135.4;
2015-05-31;146;
2015-06-30;57.8;
2015-07-31;98.8;
2015-08-31;11;
2015-09-30;197.8;
2015-10-31;170.4;
2015-11-30;174.4;
2015-12-31;209.4;
2016-01-31;295.8;
2016-02-29;324.2;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;13.8;
2016-08-31;86.8;
2016-09-30;21;
2016-10-31;73.6;
2016-11-30;64;
2016-12-31;303;
2017-01-31;63.4;
2017-02-28;198.6;
2017-03-31;50.8;
2017-04-30;161.4;
2017-05-31;209.4;
2017-06-30;50.8;
2017-07-31;.2;
2017-08-31;64;
2017-09-30;11.4;
2017-10-31;202.4;
2017-11-30;169.4;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;110.4;
2018-06-30;36;
2018-07-31;.2;
2018-08-31;55.6;
2018-09-30;232;
2018-10-31;329;
2018-11-30;182.6;
2018-12-31;111.6;
2019-01-31;34.6;
2019-02-28;158;
2019-03-31;154.2;
2019-04-30;66.8;
2019-05-31;null;
2019-06-30;9.6;
2019-07-31;49.4;
2019-08-31;9.4;
2019-09-30;15;
2019-10-31;74.6;
2019-11-30;112.6;
2019-12-31;212.8;
2020-01-31;278.4;
2020-02-29;173.2;
2020-03-31;46.4;
2020-04-30;80.8;
2020-05-31;134.2;
2020-06-30;33.4;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;56;
2021-11-30;4.2;
2021-12-31;null;
2022-01-31;null;

