Nome: MARILIA
Codigo Estacao: A763
Latitude: -22.235222
Longitude: -49.965111
Altitude: 660
Situacao: Operante
Data Inicial: 2017-05-14
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2017-05-31;null;
2017-06-30;26.4;
2017-07-31;.2;
2017-08-31;98.4;
2017-09-30;8.8;
2017-10-31;204;
2017-11-30;217.8;
2017-12-31;132.2;
2018-01-31;281.6;
2018-02-28;191.8;
2018-03-31;120;
2018-04-30;8.6;
2018-05-31;22;
2018-06-30;5.2;
2018-07-31;.6;
2018-08-31;141;
2018-09-30;91;
2018-10-31;298.6;
2018-11-30;164;
2018-12-31;94;
2019-01-31;231.8;
2019-02-28;244.6;
2019-03-31;294.2;
2019-04-30;53.6;
2019-05-31;36.4;
2019-06-30;38.4;
2019-07-31;27.8;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;115.8;
2019-12-31;236.6;
2020-01-31;125.4;
2020-02-29;453.2;
2020-03-31;45.6;
2020-04-30;55.2;
2020-05-31;50;
2020-06-30;99;
2020-07-31;7;
2020-08-31;121.8;
2020-09-30;7.6;
2020-10-31;60.8;
2020-11-30;71.4;
2020-12-31;281;
2021-01-31;263;
2021-02-28;115.2;
2021-03-31;166.8;
2021-04-30;38.4;
2021-05-31;25;
2021-06-30;60.8;
2021-07-31;3.2;
2021-08-31;9.2;
2021-09-30;55.2;
2021-10-31;154;
2021-11-30;143.6;
2021-12-31;121.6;
2022-01-31;null;

