Nome: BEBEDOURO
Codigo Estacao: A764
Latitude: -20.94916666
Longitude: -48.48999999
Altitude: 790
Situacao: Operante
Data Inicial: 2016-10-26
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2016-10-31;null;
2016-11-30;102.6;
2016-12-31;140.6;
2017-01-31;186.8;
2017-02-28;77.2;
2017-03-31;202.2;
2017-04-30;59.4;
2017-05-31;108;
2017-06-30;.8;
2017-07-31;0;
2017-08-31;13;
2017-09-30;21.2;
2017-10-31;115.6;
2017-11-30;268.8;
2017-12-31;281.4;
2018-01-31;253.4;
2018-02-28;130.8;
2018-03-31;132;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;4;
2018-08-31;31.2;
2018-09-30;57.4;
2018-10-31;158;
2018-11-30;215.8;
2018-12-31;166.8;
2019-01-31;96.6;
2019-02-28;319.4;
2019-03-31;215.6;
2019-04-30;129.2;
2019-05-31;null;
2019-06-30;12;
2019-07-31;12.4;
2019-08-31;8;
2019-09-30;72.6;
2019-10-31;53.6;
2019-11-30;171.4;
2019-12-31;271.8;
2020-01-31;318;
2020-02-29;351.6;
2020-03-31;98.8;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;244.4;
2021-12-31;187.2;
2022-01-31;null;

