Nome: REGISTRO
Codigo Estacao: A766
Latitude: -24.53305554
Longitude: -47.86416666
Altitude: 35
Situacao: Operante
Data Inicial: 2017-02-08
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2017-02-28;null;
2017-03-31;251.6;
2017-04-30;143;
2017-05-31;81;
2017-06-30;128.6;
2017-07-31;8.8;
2017-08-31;50.2;
2017-09-30;35;
2017-10-31;230.4;
2017-11-30;122.8;
2017-12-31;204.6;
2018-01-31;200.6;
2018-02-28;164.6;
2018-03-31;191.4;
2018-04-30;113.4;
2018-05-31;37.8;
2018-06-30;68.6;
2018-07-31;32.4;
2018-08-31;46;
2018-09-30;54.8;
2018-10-31;190.2;
2018-11-30;106.8;
2018-12-31;137.8;
2019-01-31;270.8;
2019-02-28;348.4;
2019-03-31;373.8;
2019-04-30;136.8;
2019-05-31;401.8;
2019-06-30;105.2;
2019-07-31;105;
2019-08-31;27;
2019-09-30;140.4;
2019-10-31;71;
2019-11-30;143.8;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

