Nome: TUPA
Codigo Estacao: A768
Latitude: -21.927251
Longitude: -50.490251
Altitude: 498
Situacao: Operante
Data Inicial: 2017-05-11
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2017-05-31;null;
2017-06-30;28.6;
2017-07-31;0;
2017-08-31;121.6;
2017-09-30;null;
2017-10-31;166.4;
2017-11-30;140.4;
2017-12-31;141.4;
2018-01-31;291.6;
2018-02-28;186.8;
2018-03-31;86;
2018-04-30;21.8;
2018-05-31;29;
2018-06-30;1.4;
2018-07-31;2;
2018-08-31;79.2;
2018-09-30;68.6;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;84;
2019-05-31;37.4;
2019-06-30;37.4;
2019-07-31;34.2;
2019-08-31;9.2;
2019-09-30;73.8;
2019-10-31;74;
2019-11-30;104.4;
2019-12-31;267.8;
2020-01-31;385;
2020-02-29;297;
2020-03-31;118.4;
2020-04-30;67.4;
2020-05-31;56.8;
2020-06-30;119.2;
2020-07-31;6.8;
2020-08-31;69.8;
2020-09-30;8.6;
2020-10-31;62.4;
2020-11-30;60.8;
2020-12-31;107.2;
2021-01-31;null;
2021-02-28;76.2;
2021-03-31;null;
2021-04-30;46;
2021-05-31;3.8;
2021-06-30;55.4;
2021-07-31;4.4;
2021-08-31;8.2;
2021-09-30;54.2;
2021-10-31;112.8;
2021-11-30;106;
2021-12-31;153.6;
2022-01-31;null;

