Nome: CACHOEIRA PAULISTA
Codigo Estacao: A769
Latitude: -22.68888888
Longitude: -45.00555555
Altitude: 586
Situacao: Pane
Data Inicial: 2017-10-19
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2017-10-31;null;
2017-11-30;115.8;
2017-12-31;150.4;
2018-01-31;256.4;
2018-02-28;225.2;
2018-03-31;242.2;
2018-04-30;28.8;
2018-05-31;40.8;
2018-06-30;16;
2018-07-31;6.6;
2018-08-31;99.2;
2018-09-30;48;
2018-10-31;126.4;
2018-11-30;149;
2018-12-31;213;
2019-01-31;202.6;
2019-02-28;217.6;
2019-03-31;213.8;
2019-04-30;105;
2019-05-31;77.4;
2019-06-30;12.4;
2019-07-31;25.6;
2019-08-31;30.6;
2019-09-30;62.8;
2019-10-31;112;
2019-11-30;140.2;
2019-12-31;151.4;
2020-01-31;173.4;
2020-02-29;330.6;
2020-03-31;149.6;
2020-04-30;44.6;
2020-05-31;23.4;
2020-06-30;37.8;
2020-07-31;10;
2020-08-31;42.6;
2020-09-30;45;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

