Nome: SAO SIMAO
Codigo Estacao: A770
Latitude: -21.46111111
Longitude: -47.57944443
Altitude: 620
Situacao: Operante
Data Inicial: 2019-07-02
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2019-07-31;23.6;
2019-08-31;8.6;
2019-09-30;66;
2019-10-31;100;
2019-11-30;205.2;
2019-12-31;213.6;
2020-01-31;399.8;
2020-02-29;249;
2020-03-31;121.2;
2020-04-30;15;
2020-05-31;11.6;
2020-06-30;12.8;
2020-07-31;0;
2020-08-31;2.6;
2020-09-30;24.2;
2020-10-31;57.4;
2020-11-30;108.2;
2020-12-31;350.2;
2021-01-31;null;
2021-02-28;89;
2021-03-31;86;
2021-04-30;18;
2021-05-31;9.2;
2021-06-30;11.4;
2021-07-31;17.2;
2021-08-31;.2;
2021-09-30;9.2;
2021-10-31;194.8;
2021-11-30;126.4;
2021-12-31;226.2;
2022-01-31;null;

