Nome: SAO PAULO - INTERLAGOS
Codigo Estacao: A771
Latitude: -23.724501
Longitude: -46.677501
Altitude: 771
Situacao: Operante
Data Inicial: 2018-03-13
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2018-03-31;null;
2018-04-30;83.2;
2018-05-31;14.6;
2018-06-30;40.2;
2018-07-31;20.8;
2018-08-31;44.8;
2018-09-30;61.4;
2018-10-31;200;
2018-11-30;132.4;
2018-12-31;170.6;
2019-01-31;274.6;
2019-02-28;400.6;
2019-03-31;370.4;
2019-04-30;153.8;
2019-05-31;89.4;
2019-06-30;80.4;
2019-07-31;113.4;
2019-08-31;13.6;
2019-09-30;77;
2019-10-31;35.2;
2019-11-30;98.4;
2019-12-31;124;
2020-01-31;246;
2020-02-29;326.4;
2020-03-31;68;
2020-04-30;2.6;
2020-05-31;16.2;
2020-06-30;104.6;
2020-07-31;11.8;
2020-08-31;83;
2020-09-30;18;
2020-10-31;101.4;
2020-11-30;110.2;
2020-12-31;180.8;
2021-01-31;193.6;
2021-02-28;194.2;
2021-03-31;148.6;
2021-04-30;75.4;
2021-05-31;48.2;
2021-06-30;21;
2021-07-31;39.4;
2021-08-31;37.4;
2021-09-30;18.8;
2021-10-31;125.2;
2021-11-30;null;
2021-12-31;142;
2022-01-31;null;

