Nome: PORTO ALEGRE
Codigo Estacao: A801
Latitude: -30.05361111
Longitude: -51.17472221
Altitude: 41.18
Situacao: Operante
Data Inicial: 2000-09-21
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2000-09-30;null;
2000-10-31;125.8;
2000-11-30;137.6;
2000-12-31;73.6;
2001-01-31;null;
2001-02-28;104.2;
2001-03-31;111.6;
2001-04-30;287.2;
2001-05-31;null;
2001-06-30;null;
2001-07-31;null;
2001-08-31;21.2;
2001-09-30;null;
2001-10-31;35.6;
2001-11-30;null;
2001-12-31;null;
2002-01-31;74.8;
2002-02-28;80.2;
2002-03-31;90.6;
2002-04-30;92.2;
2002-05-31;null;
2002-06-30;null;
2002-07-31;null;
2002-08-31;120;
2002-09-30;null;
2002-10-31;null;
2002-11-30;null;
2002-12-31;null;
2003-01-31;92;
2003-02-28;null;
2003-03-31;null;
2003-04-30;null;
2003-05-31;null;
2003-06-30;null;
2003-07-31;149.8;
2003-08-31;null;
2003-09-30;null;
2003-10-31;null;
2003-11-30;null;
2003-12-31;null;
2004-01-31;null;
2004-02-29;null;
2004-03-31;null;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;null;
2004-08-31;69.6;
2004-09-30;null;
2004-10-31;77;
2004-11-30;107.4;
2004-12-31;17;
2005-01-31;null;
2005-02-28;null;
2005-03-31;52.4;
2005-04-30;null;
2005-05-31;null;
2005-06-30;32.8;
2005-07-31;57.2;
2005-08-31;91.6;
2005-09-30;null;
2005-10-31;null;
2005-11-30;74.2;
2005-12-31;47.6;
2006-01-31;166;
2006-02-28;null;
2006-03-31;78;
2006-04-30;null;
2006-05-31;null;
2006-06-30;67;
2006-07-31;59.2;
2006-08-31;null;
2006-09-30;99.4;
2006-10-31;39.2;
2006-11-30;116.2;
2006-12-31;72.6;
2007-01-31;88.8;
2007-02-28;143.6;
2007-03-31;107.6;
2007-04-30;39.6;
2007-05-31;137.8;
2007-06-30;246.6;
2007-07-31;168.4;
2007-08-31;146.6;
2007-09-30;172.6;
2007-10-31;70;
2007-11-30;null;
2007-12-31;85.6;
2008-01-31;null;
2008-02-29;70.6;
2008-03-31;73.6;
2008-04-30;121.2;
2008-05-31;null;
2008-06-30;129;
2008-07-31;140.8;
2008-08-31;123.4;
2008-09-30;157.6;
2008-10-31;223.2;
2008-11-30;22.8;
2008-12-31;120.6;
2009-01-31;169.2;
2009-02-28;111;
2009-03-31;72;
2009-04-30;30;
2009-05-31;107.4;
2009-06-30;56.8;
2009-07-31;57.6;
2009-08-31;270.8;
2009-09-30;299.6;
2009-10-31;121.2;
2009-11-30;293;
2009-12-31;148.6;
2010-01-31;181.2;
2010-02-28;115.2;
2010-03-31;106.8;
2010-04-30;74.4;
2010-05-31;124.8;
2010-06-30;206;
2010-07-31;172;
2010-08-31;97.2;
2010-09-30;183;
2010-10-31;58;
2010-11-30;71.4;
2010-12-31;91.4;
2011-01-31;131.6;
2011-02-28;120.8;
2011-03-31;79;
2011-04-30;174.4;
2011-05-31;49.4;
2011-06-30;110.4;
2011-07-31;231.2;
2011-08-31;147.8;
2011-09-30;52.8;
2011-10-31;124.4;
2011-11-30;14.8;
2011-12-31;53;
2012-01-31;165.8;
2012-02-29;136.6;
2012-03-31;120.2;
2012-04-30;78;
2012-05-31;36.2;
2012-06-30;32.4;
2012-07-31;145.2;
2012-08-31;92.4;
2012-09-30;250.4;
2012-10-31;121;
2012-11-30;27.4;
2012-12-31;193.8;
2013-01-31;103;
2013-02-28;null;
2013-03-31;null;
2013-04-30;106.8;
2013-05-31;64.8;
2013-06-30;103.6;
2013-07-31;108.6;
2013-08-31;248.8;
2013-09-30;137;
2013-10-31;131.6;
2013-11-30;184;
2013-12-31;75.8;
2014-01-31;77;
2014-02-28;151.2;
2014-03-31;129.8;
2014-04-30;87;
2014-05-31;73.2;
2014-06-30;238.4;
2014-07-31;260.6;
2014-08-31;132.4;
2014-09-30;160.2;
2014-10-31;190.8;
2014-11-30;106.6;
2014-12-31;178.8;
2015-01-31;164.8;
2015-02-28;99.4;
2015-03-31;54;
2015-04-30;76;
2015-05-31;142.4;
2015-06-30;171.8;
2015-07-31;314;
2015-08-31;111.6;
2015-09-30;186.6;
2015-10-31;310.4;
2015-11-30;127;
2015-12-31;100;
2016-01-31;108.8;
2016-02-29;null;
2016-03-31;308.8;
2016-04-30;217.2;
2016-05-31;73.2;
2016-06-30;null;
2016-07-31;152.2;
2016-08-31;104.8;
2016-09-30;92.8;
2016-10-31;196.4;
2016-11-30;106.8;
2016-12-31;124.2;
2017-01-31;195.8;
2017-02-28;48;
2017-03-31;162.2;
2017-04-30;113;
2017-05-31;178.2;
2017-06-30;198.6;
2017-07-31;17;
2017-08-31;104.4;
2017-09-30;165.4;
2017-10-31;290.8;
2017-11-30;136;
2017-12-31;153.2;
2018-01-31;149.8;
2018-02-28;110.4;
2018-03-31;98.8;
2018-04-30;106.4;
2018-05-31;91.8;
2018-06-30;145.4;
2018-07-31;167.6;
2018-08-31;125.4;
2018-09-30;168.8;
2018-10-31;91.6;
2018-11-30;126.6;
2018-12-31;64;
2019-01-31;101.6;
2019-02-28;111.8;
2019-03-31;80.2;
2019-04-30;238;
2019-05-31;247.4;
2019-06-30;46.8;
2019-07-31;158.4;
2019-08-31;78.4;
2019-09-30;91.8;
2019-10-31;277;
2019-11-30;91.2;
2019-12-31;19.2;
2020-01-31;79;
2020-02-29;86.6;
2020-03-31;23.4;
2020-04-30;30.8;
2020-05-31;130.8;
2020-06-30;204.6;
2020-07-31;294;
2020-08-31;78.2;
2020-09-30;222.8;
2020-10-31;104.6;
2020-11-30;52.4;
2020-12-31;119;
2021-01-31;null;
2021-02-28;30.2;
2021-03-31;79.2;
2021-04-30;27;
2021-05-31;164.8;
2021-06-30;172.2;
2021-07-31;47.6;
2021-08-31;135;
2021-09-30;195.8;
2021-10-31;66.8;
2021-11-30;85;
2021-12-31;88.4;
2022-01-31;null;

