Nome: RIO GRANDE
Codigo Estacao: A802
Latitude: -32.07888888
Longitude: -52.16777777
Altitude: 4.92
Situacao: Operante
Data Inicial: 2001-11-15
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2001-11-30;null;
2001-12-31;113.6;
2002-01-31;284.6;
2002-02-28;136.6;
2002-03-31;219.2;
2002-04-30;null;
2002-05-31;125;
2002-06-30;null;
2002-07-31;null;
2002-08-31;null;
2002-09-30;135.4;
2002-10-31;null;
2002-11-30;null;
2002-12-31;218.8;
2003-01-31;21;
2003-02-28;null;
2003-03-31;null;
2003-04-30;173.8;
2003-05-31;60.6;
2003-06-30;null;
2003-07-31;null;
2003-08-31;96.6;
2003-09-30;152.6;
2003-10-31;30.4;
2003-11-30;null;
2003-12-31;null;
2004-01-31;36.6;
2004-02-29;40.6;
2004-03-31;27;
2004-04-30;null;
2004-05-31;null;
2004-06-30;null;
2004-07-31;null;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;null;
2004-12-31;null;
2005-01-31;null;
2005-02-28;null;
2005-03-31;null;
2005-04-30;null;
2005-05-31;null;
2005-06-30;24.6;
2005-07-31;63.6;
2005-08-31;71.6;
2005-09-30;null;
2005-10-31;107.2;
2005-11-30;null;
2005-12-31;39.2;
2006-01-31;164.8;
2006-02-28;null;
2006-03-31;95.6;
2006-04-30;null;
2006-05-31;null;
2006-06-30;59.8;
2006-07-31;51;
2006-08-31;141;
2006-09-30;106.2;
2006-10-31;71.4;
2006-11-30;112.4;
2006-12-31;26.8;
2007-01-31;28.6;
2007-02-28;83.6;
2007-03-31;132;
2007-04-30;135.4;
2007-05-31;103.6;
2007-06-30;220.2;
2007-07-31;98.2;
2007-08-31;198;
2007-09-30;122.6;
2007-10-31;86.4;
2007-11-30;null;
2007-12-31;55.2;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;30;
2008-05-31;167.2;
2008-06-30;61.4;
2008-07-31;89.6;
2008-08-31;238.8;
2008-09-30;118.2;
2008-10-31;32.2;
2008-11-30;25.2;
2008-12-31;41.4;
2009-01-31;101.8;
2009-02-28;205.6;
2009-03-31;103.2;
2009-04-30;33.4;
2009-05-31;69.6;
2009-06-30;118.2;
2009-07-31;32.4;
2009-08-31;134.6;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;91.2;
2010-01-31;3.4;
2010-02-28;258;
2010-03-31;32;
2010-04-30;102.2;
2010-05-31;163.2;
2010-06-30;87;
2010-07-31;215;
2010-08-31;12;
2010-09-30;27.8;
2010-10-31;10.4;
2010-11-30;38.6;
2010-12-31;40.6;
2011-01-31;36.4;
2011-02-28;133.2;
2011-03-31;281.4;
2011-04-30;98;
2011-05-31;146.2;
2011-06-30;126.6;
2011-07-31;41.8;
2011-08-31;147.2;
2011-09-30;54.6;
2011-10-31;71.4;
2011-11-30;45.6;
2011-12-31;48.2;
2012-01-31;39.2;
2012-02-29;79.2;
