Nome: SANTANA DO LIVRAMENTO
Codigo Estacao: A804
Latitude: -30.75055555
Longitude: -55.40138888
Altitude: 196
Situacao: Operante
Data Inicial: 2001-11-21
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2001-11-30;null;
2001-12-31;66.4;
2002-01-31;52.2;
2002-02-28;null;
2002-03-31;364.6;
2002-04-30;null;
2002-05-31;null;
2002-06-30;null;
2002-07-31;null;
2002-08-31;null;
2002-09-30;null;
2002-10-31;null;
2002-11-30;null;
2002-12-31;364.6;
2003-01-31;null;
2003-02-28;null;
2003-03-31;null;
2003-04-30;null;
2003-05-31;null;
2003-06-30;null;
2003-07-31;null;
2003-08-31;133.2;
2003-09-30;null;
2003-10-31;80;
2003-11-30;174.8;
2003-12-31;221;
2004-01-31;34.8;
2004-02-29;71.4;
2004-03-31;58.2;
2004-04-30;169.4;
2004-05-31;77;
2004-06-30;null;
2004-07-31;64.8;
2004-08-31;17.2;
2004-09-30;67.2;
2004-10-31;122;
2004-11-30;161;
2004-12-31;88.4;
2005-01-31;null;
2005-02-28;26.2;
2005-03-31;76.6;
2005-04-30;null;
2005-05-31;null;
2005-06-30;null;
2005-07-31;52;
2005-08-31;null;
2005-09-30;null;
2005-10-31;null;
2005-11-30;75.4;
2005-12-31;81.2;
2006-01-31;102.4;
2006-02-28;null;
2006-03-31;94.8;
2006-04-30;null;
2006-05-31;null;
2006-06-30;176;
2006-07-31;90.8;
2006-08-31;80;
2006-09-30;104.2;
2006-10-31;154;
2006-11-30;226;
2006-12-31;null;
2007-01-31;null;
2007-02-28;264.8;
2007-03-31;547.8;
2007-04-30;184.6;
2007-05-31;103.2;
2007-06-30;null;
2007-07-31;null;
2007-08-31;238.8;
2007-09-30;114.8;
2007-10-31;365;
2007-11-30;null;
2007-12-31;114.8;
2008-01-31;175;
2008-02-29;180.6;
2008-03-31;54.2;
2008-04-30;118.6;
2008-05-31;107.2;
2008-06-30;160.6;
2008-07-31;null;
2008-08-31;167.2;
2008-09-30;105.6;
2008-10-31;225.4;
2008-11-30;40.4;
2008-12-31;87;
2009-01-31;82.6;
2009-02-28;283.8;
2009-03-31;91.8;
2009-04-30;17.4;
2009-05-31;134.8;
2009-06-30;31.2;
2009-07-31;66;
2009-08-31;45.8;
2009-09-30;288.4;
2009-10-31;114.2;
2009-11-30;544.8;
2009-12-31;238.4;
2010-01-31;154.8;
2010-02-28;252.6;
2010-03-31;59.8;
2010-04-30;123.8;
2010-05-31;142.6;
2010-06-30;36.2;
2010-07-31;298;
2010-08-31;49.4;
2010-09-30;144.6;
2010-10-31;16.6;
2010-11-30;15.2;
2010-12-31;57.4;
2011-01-31;87.4;
2011-02-28;97.2;
2011-03-31;63.2;
2011-04-30;109.6;
2011-05-31;44.8;
2011-06-30;null;
2011-07-31;132.6;
2011-08-31;73.2;
2011-09-30;122;
2011-10-31;161.6;
2011-11-30;61.6;
2011-12-31;55.8;
2012-01-31;21.6;
2012-02-29;225.8;
2012-03-31;63.8;
2012-04-30;147;
2012-05-31;17.2;
2012-06-30;76;
2012-07-31;41.6;
2012-08-31;127.2;
2012-09-30;154.6;
2012-10-31;270.8;
2012-11-30;61;
2012-12-31;195.4;
2013-01-31;180.4;
2013-02-28;108.8;
2013-03-31;83;
2013-04-30;128.4;
2013-05-31;197;
2013-06-30;48.4;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;143.8;
2013-11-30;291.2;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;17.2;
2016-10-31;141;
2016-11-30;101.6;
2016-12-31;163.8;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;299.4;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;206.4;
2017-11-30;54.8;
2017-12-31;116.4;
2018-01-31;194.6;
2018-02-28;17.2;
2018-03-31;123.2;
2018-04-30;148.6;
2018-05-31;236.8;
2018-06-30;48.2;
2018-07-31;114.6;
2018-08-31;166.2;
2018-09-30;226.4;
2018-10-31;108.6;
2018-11-30;217.4;
2018-12-31;201.8;
2019-01-31;459;
2019-02-28;63.8;
2019-03-31;60.2;
2019-04-30;185.2;
2019-05-31;165;
2019-06-30;25;
2019-07-31;178;
2019-08-31;75.8;
