Nome: FLORIANOPOLIS
Codigo Estacao: A806
Latitude: -27.60253
Longitude: -48.620096
Altitude: 4.87
Situacao: Operante
Data Inicial: 2003-01-21
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2003-01-31;null;
2003-02-28;null;
2003-03-31;null;
2003-04-30;77.8;
2003-05-31;47.8;
2003-06-30;74.8;
2003-07-31;24.6;
2003-08-31;11.8;
2003-09-30;110.2;
2003-10-31;null;
2003-11-30;114.2;
2003-12-31;230.4;
2004-01-31;334.2;
2004-02-29;190;
2004-03-31;185.4;
2004-04-30;null;
2004-05-31;null;
2004-06-30;82.2;
2004-07-31;84.4;
2004-08-31;null;
2004-09-30;null;
2004-10-31;null;
2004-11-30;null;
2004-12-31;null;
2005-01-31;null;
2005-02-28;null;
2005-03-31;null;
2005-04-30;null;
2005-05-31;null;
2005-06-30;30.2;
2005-07-31;77.4;
2005-08-31;null;
2005-09-30;null;
2005-10-31;196.2;
2005-11-30;null;
2005-12-31;92.6;
2006-01-31;181.4;
2006-02-28;null;
2006-03-31;69.6;
2006-04-30;null;
2006-05-31;null;
2006-06-30;null;
2006-07-31;null;
2006-08-31;null;
2006-09-30;46.4;
2006-10-31;98.8;
2006-11-30;245.2;
2006-12-31;74.4;
2007-01-31;91.2;
2007-02-28;141.4;
2007-03-31;215.6;
2007-04-30;41.8;
2007-05-31;null;
2007-06-30;null;
2007-07-31;184.2;
2007-08-31;93.8;
2007-09-30;145.2;
2007-10-31;156.4;
2007-11-30;null;
2007-12-31;148.8;
2008-01-31;349.6;
2008-02-29;454;
2008-03-31;255.8;
2008-04-30;221.6;
2008-05-31;76.6;
2008-06-30;72;
2008-07-31;10.2;
2008-08-31;63;
2008-09-30;234;
2008-10-31;294.2;
2008-11-30;632.4;
2008-12-31;305.8;
2009-01-31;223;
2009-02-28;140;
2009-03-31;218.8;
2009-04-30;321.4;
2009-05-31;87.8;
2009-06-30;36.8;
2009-07-31;124;
2009-08-31;133.8;
2009-09-30;217.4;
2009-10-31;81.4;
2009-11-30;128.2;
2009-12-31;115.6;
2010-01-31;225.2;
2010-02-28;172.2;
2010-03-31;288.8;
2010-04-30;127.4;
2010-05-31;438.6;
2010-06-30;89.8;
2010-07-31;99.2;
2010-08-31;65.4;
2010-09-30;160;
2010-10-31;136.2;
2010-11-30;154.2;
2010-12-31;115.2;
2011-01-31;293.8;
2011-02-28;278.6;
2011-03-31;272.4;
2011-04-30;50.8;
2011-05-31;114.4;
2011-06-30;83.2;
2011-07-31;128;
2011-08-31;370.4;
2011-09-30;255.4;
2011-10-31;79;
2011-11-30;89;
2011-12-31;227.2;
2012-01-31;339.4;
2012-02-29;74.4;
2012-03-31;103.8;
2012-04-30;79.2;
2012-05-31;116.2;
2012-06-30;133.6;
2012-07-31;153.6;
2012-08-31;46.8;
2012-09-30;64.2;
2012-10-31;106.8;
2012-11-30;null;
2012-12-31;null;
2013-01-31;87.2;
2013-02-28;184;
2013-03-31;306.6;
2013-04-30;160.2;
2013-05-31;52.2;
2013-06-30;119.6;
2013-07-31;46;
2013-08-31;129.2;
2013-09-30;214.8;
2013-10-31;64;
2013-11-30;103;
2013-12-31;85;
2014-01-31;186.8;
2014-02-28;118.4;
2014-03-31;122;
2014-04-30;103.8;
2014-05-31;84.8;
2014-06-30;234.8;
2014-07-31;54.6;
2014-08-31;87;
2014-09-30;152.8;
2014-10-31;134.8;
2014-11-30;90.4;
2014-12-31;170.4;
2015-01-31;176.6;
2015-02-28;304.4;
2015-03-31;143.6;
2015-04-30;null;
2015-05-31;null;
2015-06-30;88.2;
2015-07-31;268.4;
2015-08-31;72.4;
2015-09-30;189.6;
2015-10-31;295.4;
2015-11-30;167.8;
2015-12-31;226.4;
2016-01-31;237;
2016-02-29;222.8;
2016-03-31;268.8;
2016-04-30;104;
2016-05-31;71.8;
2016-06-30;45.2;
2016-07-31;116.6;
2016-08-31;79;
2016-09-30;116.2;
2016-10-31;178;
2016-11-30;48.4;
2016-12-31;249;
2017-01-31;195;
2017-02-28;129.6;
2017-03-31;229.4;
2017-04-30;141.4;
2017-05-31;239;
2017-06-30;172.4;
2017-07-31;11.4;
2017-08-31;124.2;
2017-09-30;106.2;
2017-10-31;133.4;
2017-11-30;134.2;
2017-12-31;192;
2018-01-31;377.6;
2018-02-28;129.4;
2018-03-31;206.8;
2018-04-30;118.4;
2018-05-31;78;
2018-06-30;71;
2018-07-31;114.6;
2018-08-31;71.4;
2018-09-30;207.2;
2018-10-31;105.6;
2018-11-30;109.8;
2018-12-31;148.8;
2019-01-31;225.2;
2019-02-28;257.2;
2019-03-31;82.6;
2019-04-30;87.2;
2019-05-31;155.8;
2019-06-30;57;
2019-07-31;47;
2019-08-31;18;
2019-09-30;60.6;
2019-10-31;76.4;
2019-11-30;null;
2019-12-31;109.2;
2020-01-31;141.2;
2020-02-29;194;
2020-03-31;39.6;
2020-04-30;15.2;
2020-05-31;14.4;
2020-06-30;117;
2020-07-31;104;
2020-08-31;109.2;
2020-09-30;144;
2020-10-31;143.2;
2020-11-30;95.6;
2020-12-31;319.8;
2021-01-31;390.8;
2021-02-28;243.4;
2021-03-31;360;
2021-04-30;79.2;
2021-05-31;118;
2021-06-30;300.2;
2021-07-31;22.2;
2021-08-31;55.2;
2021-09-30;136.4;
2021-10-31;289.6;
2021-11-30;134.2;
2021-12-31;89.6;
2022-01-31;null;

