Nome: URUGUAIANA
Codigo Estacao: A809
Latitude: -29.83987
Longitude: -57.081899
Altitude: 74.29
Situacao: Operante
Data Inicial: 2006-09-27
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-09-30;null;
2006-10-31;173.8;
2006-11-30;143;
2006-12-31;107.2;
2007-01-31;35.2;
2007-02-28;170;
2007-03-31;273.8;
2007-04-30;93.8;
2007-05-31;23.6;
2007-06-30;58.4;
2007-07-31;16;
2007-08-31;93.8;
2007-09-30;null;
2007-10-31;103.2;
2007-11-30;null;
2007-12-31;62.4;
2008-01-31;143;
2008-02-29;102.6;
2008-03-31;118.2;
2008-04-30;53.4;
2008-05-31;79.2;
2008-06-30;null;
2008-07-31;67.6;
2008-08-31;98.4;
2008-09-30;30;
2008-10-31;202.2;
2008-11-30;14.6;
2008-12-31;24.2;
2009-01-31;109;
2009-02-28;133.8;
2009-03-31;139.2;
2009-04-30;25;
2009-05-31;91.6;
2009-06-30;18.4;
2009-07-31;27.8;
2009-08-31;27;
2009-09-30;120.4;
2009-10-31;46.4;
2009-11-30;558.6;
2009-12-31;309.8;
2010-01-31;168.6;
2010-02-28;303;
2010-03-31;134.2;
2010-04-30;31.8;
2010-05-31;188.2;
2010-06-30;5.6;
2010-07-31;126.6;
2010-08-31;8.2;
2010-09-30;162;
2010-10-31;46;
2010-11-30;22.6;
2010-12-31;94.2;
2011-01-31;119;
2011-02-28;76;
2011-03-31;79.8;
2011-04-30;58;
2011-05-31;56.4;
2011-06-30;57;
2011-07-31;57.6;
2011-08-31;97.2;
2011-09-30;75;
2011-10-31;179;
2011-11-30;54.2;
2011-12-31;173.6;
2012-01-31;51.4;
2012-02-29;99.4;
2012-03-31;43;
2012-04-30;143;
2012-05-31;40;
2012-06-30;39.2;
2012-07-31;30.8;
2012-08-31;137;
2012-09-30;null;
2012-10-31;null;
2012-11-30;35.4;
2012-12-31;309;
2013-01-31;150.8;
2013-02-28;261;
2013-03-31;150.8;
2013-04-30;86.6;
2013-05-31;96.6;
2013-06-30;29.6;
2013-07-31;97.2;
2013-08-31;15.8;
2013-09-30;45.8;
2013-10-31;80.4;
2013-11-30;216.6;
2013-12-31;91.4;
2014-01-31;154.8;
2014-02-28;294;
2014-03-31;199.6;
2014-04-30;82.4;
2014-05-31;142.8;
2014-06-30;83.2;
2014-07-31;89.6;
2014-08-31;24.2;
2014-09-30;213.2;
2014-10-31;132.4;
2014-11-30;51.2;
2014-12-31;437.2;
2015-01-31;210.6;
2015-02-28;143;
2015-03-31;92.4;
2015-04-30;28.4;
2015-05-31;106.4;
2015-06-30;55;
2015-07-31;77;
2015-08-31;167.6;
2015-09-30;60;
2015-10-31;317.2;
2015-11-30;245.8;
2015-12-31;360.6;
2016-01-31;115.6;
2016-02-29;92.8;
2016-03-31;124.2;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;84;
2016-09-30;25.4;
2016-10-31;239.6;
2016-11-30;84.8;
2016-12-31;79.4;
2017-01-31;87;
2017-02-28;null;
2017-03-31;90.6;
2017-04-30;281.4;
2017-05-31;247.6;
2017-06-30;81;
2017-07-31;79.4;
2017-08-31;146.2;
2017-09-30;null;
2017-10-31;84.2;
2017-11-30;88.8;
2017-12-31;70.8;
2018-01-31;116.2;
2018-02-28;53.4;
2018-03-31;132.2;
2018-04-30;59.8;
2018-05-31;169.4;
2018-06-30;52.8;
2018-07-31;81.8;
2018-08-31;60.2;
2018-09-30;147;
2018-10-31;49;
2018-11-30;null;
2018-12-31;null;
2019-01-31;685.4;
2019-02-28;58.2;
2019-03-31;61.4;
2019-04-30;162.4;
2019-05-31;116.6;
2019-06-30;15.6;
2019-07-31;91;
2019-08-31;36.2;
2019-09-30;19.4;
2019-10-31;219.6;
2019-11-30;217.2;
2019-12-31;83.2;
2020-01-31;159.4;
2020-02-29;105;
2020-03-31;50;
2020-04-30;36.6;
2020-05-31;310.6;
2020-06-30;103;
2020-07-31;16;
2020-08-31;24;
2020-09-30;96.8;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;62;
2021-03-31;165;
2021-04-30;42.4;
2021-05-31;176;
2021-06-30;120.6;
2021-07-31;23.8;
2021-08-31;26.6;
2021-09-30;128.8;
2021-10-31;87.8;
2021-11-30;78.8;
2021-12-31;31.6;
2022-01-31;null;

