Nome: SANTA ROSA
Codigo Estacao: A810
Latitude: -27.89055555
Longitude: -54.47999999
Altitude: 272.84
Situacao: Operante
Data Inicial: 2006-11-14
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-11-30;null;
2006-12-31;113.4;
2007-01-31;130.8;
2007-02-28;92.6;
2007-03-31;138.6;
2007-04-30;194.2;
2007-05-31;279.4;
2007-06-30;null;
2007-07-31;82;
2007-08-31;53.6;
2007-09-30;null;
2007-10-31;null;
2007-11-30;null;
2007-12-31;166.2;
2008-01-31;79.6;
2008-02-29;46;
2008-03-31;94.2;
2008-04-30;136.8;
2008-05-31;null;
2008-06-30;null;
2008-07-31;49.6;
2008-08-31;null;
2008-09-30;null;
2008-10-31;null;
2008-11-30;null;
2008-12-31;null;
2009-01-31;112.6;
2009-02-28;122.2;
2009-03-31;20.8;
2009-04-30;6.8;
2009-05-31;207.4;
2009-06-30;84.4;
2009-07-31;97.2;
2009-08-31;null;
2009-09-30;null;
2009-10-31;38.6;
2009-11-30;555.4;
2009-12-31;60.8;
2010-01-31;81.6;
2010-02-28;165.2;
2010-03-31;33.6;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;106;
2010-08-31;16.2;
2010-09-30;null;
2010-10-31;73.2;
2010-11-30;47.6;
2010-12-31;331.8;
2011-01-31;122.8;
2011-02-28;209.4;
2011-03-31;136.6;
2011-04-30;211;
2011-05-31;85.8;
2011-06-30;231;
2011-07-31;262.2;
2011-08-31;128;
2011-09-30;39.2;
2011-10-31;242.6;
2011-11-30;125.6;
2011-12-31;39.2;
2012-01-31;67.2;
2012-02-29;97.6;
2012-03-31;55.2;
2012-04-30;89.4;
2012-05-31;23.8;
2012-06-30;72.2;
2012-07-31;153.6;
2012-08-31;71.8;
2012-09-30;92;
2012-10-31;359.8;
2012-11-30;76.8;
2012-12-31;258.8;
2013-01-31;132.6;
2013-02-28;57.8;
2013-03-31;295.2;
2013-04-30;233.8;
2013-05-31;74;
2013-06-30;null;
2013-07-31;49;
2013-08-31;152.8;
2013-09-30;104.8;
2013-10-31;146.2;
2013-11-30;67.2;
2013-12-31;null;
2014-01-31;null;
2014-02-28;232.8;
2014-03-31;204.6;
2014-04-30;243.4;
2014-05-31;null;
2014-06-30;null;
2014-07-31;150;
2014-08-31;85.2;
2014-09-30;424.4;
2014-10-31;157.2;
2014-11-30;94.8;
2014-12-31;261.6;
2015-01-31;377.6;
2015-02-28;94;
2015-03-31;90.4;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;null;
2016-01-31;174;
2016-02-29;192;
2016-03-31;169;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;190.4;
2016-09-30;45.8;
2016-10-31;214.6;
2016-11-30;151.4;
2016-12-31;98.4;
2017-01-31;253.8;
2017-02-28;175.8;
2017-03-31;251.6;
2017-04-30;434.8;
2017-05-31;546.4;
2017-06-30;180.6;
2017-07-31;16.8;
2017-08-31;174.6;
2017-09-30;96.2;
2017-10-31;311.8;
2017-11-30;235.2;
2017-12-31;162.6;
2018-01-31;245.2;
2018-02-28;77.4;
2018-03-31;164.4;
2018-04-30;28.8;
2018-05-31;173;
2018-06-30;120.4;
2018-07-31;63.6;
2018-08-31;77.2;
2018-09-30;126;
2018-10-31;261.4;
2018-11-30;90.8;
2018-12-31;1.2;
2019-01-31;null;
2019-02-28;185;
2019-03-31;null;
2019-04-30;null;
2019-05-31;294;
2019-06-30;16.4;
2019-07-31;106.8;
2019-08-31;33;
2019-09-30;0;
2019-10-31;null;
2019-11-30;null;
2019-12-31;95.2;
2020-01-31;187;
2020-02-29;142.8;
2020-03-31;42.2;
2020-04-30;null;
2020-05-31;null;
2020-06-30;171.8;
2020-07-31;327.2;
2020-08-31;159.4;
2020-09-30;41.4;
2020-10-31;27.2;
2020-11-30;null;
2020-12-31;178.4;
2021-01-31;null;
2021-02-28;60.2;
2021-03-31;158;
2021-04-30;56.6;
2021-05-31;86.6;
2021-06-30;33.2;
2021-07-31;15.4;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

