Nome: CANGUCU
Codigo Estacao: A811
Latitude: -31.40333333
Longitude: -52.70083333
Altitude: 446.81
Situacao: Operante
Data Inicial: 2007-01-23
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-01-31;null;
2007-02-28;114.8;
2007-03-31;205;
2007-04-30;170.2;
2007-05-31;118.6;
2007-06-30;226;
2007-07-31;124;
2007-08-31;237.2;
2007-09-30;113;
2007-10-31;null;
2007-11-30;null;
2007-12-31;39.8;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;60;
2008-05-31;null;
2008-06-30;null;
2008-07-31;96.4;
2008-08-31;null;
2008-09-30;null;
2008-10-31;120.8;
2008-11-30;44.4;
2008-12-31;82.2;
2009-01-31;231.4;
2009-02-28;187.8;
2009-03-31;160.6;
2009-04-30;7.8;
2009-05-31;87;
2009-06-30;null;
2009-07-31;null;
2009-08-31;177.6;
2009-09-30;227.4;
2009-10-31;114.8;
2009-11-30;362;
2009-12-31;148.8;
2010-01-31;158;
2010-02-28;108.8;
2010-03-31;105.8;
2010-04-30;121.6;
2010-05-31;151.4;
2010-06-30;105;
2010-07-31;176.2;
2010-08-31;null;
2010-09-30;29.8;
2010-10-31;6;
2010-11-30;41.8;
2010-12-31;168.6;
2011-01-31;173.8;
2011-02-28;180.6;
2011-03-31;64.6;
2011-04-30;131.2;
2011-05-31;3.4;
2011-06-30;11.2;
2011-07-31;null;
2011-08-31;null;
2011-09-30;6.4;
2011-10-31;114.2;
2011-11-30;116.4;
2011-12-31;31.8;
2012-01-31;56.6;
2012-02-29;135.2;
2012-03-31;11.4;
2012-04-30;null;
2012-05-31;8;
2012-06-30;105.8;
2012-07-31;122.8;
2012-08-31;138.4;
2012-09-30;163.4;
2012-10-31;131.8;
2012-11-30;39.2;
2012-12-31;159.4;
2013-01-31;93.2;
2013-02-28;110;
2013-03-31;57.8;
2013-04-30;104;
2013-05-31;134;
2013-06-30;71.6;
2013-07-31;26.2;
2013-08-31;130.4;
2013-09-30;133.4;
2013-10-31;232;
2013-11-30;185.6;
2013-12-31;106.4;
2014-01-31;289.4;
2014-02-28;266.2;
2014-03-31;154.2;
2014-04-30;106.4;
2014-05-31;74.8;
2014-06-30;214.6;
2014-07-31;203.6;
2014-08-31;84;
2014-09-30;181.4;
2014-10-31;189.6;
2014-11-30;null;
2014-12-31;157.4;
2015-01-31;168.4;
2015-02-28;91.2;
2015-03-31;37.2;
2015-04-30;57.2;
2015-05-31;179.8;
2015-06-30;219;
2015-07-31;161.4;
2015-08-31;104.6;
2015-09-30;209.8;
2015-10-31;294.6;
2015-11-30;143.6;
2015-12-31;174.8;
2016-01-31;106.2;
2016-02-29;62.6;
2016-03-31;274;
2016-04-30;276.8;
2016-05-31;88.4;
2016-06-30;22.6;
2016-07-31;76;
2016-08-31;152.8;
2016-09-30;97.4;
2016-10-31;183.4;
2016-11-30;120.2;
2016-12-31;103;
2017-01-31;133.4;
2017-02-28;132.4;
2017-03-31;141.2;
2017-04-30;82.8;
2017-05-31;220.2;
2017-06-30;115.6;
2017-07-31;32.8;
2017-08-31;211.8;
2017-09-30;176.6;
2017-10-31;331.8;
2017-11-30;59;
2017-12-31;63.4;
2018-01-31;82.6;
2018-02-28;118.2;
2018-03-31;163.8;
2018-04-30;94.4;
2018-05-31;54.6;
2018-06-30;77.2;
2018-07-31;241;
2018-08-31;127.8;
2018-09-30;285.8;
2018-10-31;140.4;
2018-11-30;84.6;
2018-12-31;82.4;
2019-01-31;278.8;
2019-02-28;126.2;
2019-03-31;74.2;
2019-04-30;120.8;
2019-05-31;138;
2019-06-30;31.6;
2019-07-31;184.2;
2019-08-31;120;
2019-09-30;137.8;
2019-10-31;344.8;
2019-11-30;86.4;
2019-12-31;65;
2020-01-31;107.8;
2020-02-29;44.6;
2020-03-31;36;
2020-04-30;55.6;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;203.6;
2021-04-30;23.8;
2021-05-31;61.8;
2021-06-30;124.2;
2021-07-31;65;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;114.8;
2021-12-31;70;
2022-01-31;null;

