Nome: RIO PARDO
Codigo Estacao: A813
Latitude: -29.87222221
Longitude: -52.38194443
Altitude: 106.99
Situacao: Operante
Data Inicial: 2006-09-29
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-09-30;null;
2006-10-31;125.4;
2006-11-30;161.4;
2006-12-31;36;
2007-01-31;95.2;
2007-02-28;168.4;
2007-03-31;117.8;
2007-04-30;60.4;
2007-05-31;134.8;
2007-06-30;175.6;
2007-07-31;144.8;
2007-08-31;110.8;
2007-09-30;229;
2007-10-31;116.2;
2007-11-30;null;
2007-12-31;121.8;
2008-01-31;51.4;
2008-02-29;79.8;
2008-03-31;90.6;
2008-04-30;126.8;
2008-05-31;183.6;
2008-06-30;171.2;
2008-07-31;null;
2008-08-31;141.6;
2008-09-30;160.8;
2008-10-31;null;
2008-11-30;20.4;
2008-12-31;77.2;
2009-01-31;182.6;
2009-02-28;210.2;
2009-03-31;132;
2009-04-30;11;
2009-05-31;106;
2009-06-30;71;
2009-07-31;80;
2009-08-31;289;
2009-09-30;292.6;
2009-10-31;82.4;
2009-11-30;433;
2009-12-31;203.4;
2010-01-31;183.6;
2010-02-28;124.8;
2010-03-31;37.4;
2010-04-30;123.6;
2010-05-31;97.6;
2010-06-30;165.2;
2010-07-31;132.2;
2010-08-31;61.2;
2010-09-30;134.8;
2010-10-31;74.2;
2010-11-30;81.4;
2010-12-31;117.6;
2011-01-31;79.4;
2011-02-28;154.8;
2011-03-31;157.8;
2011-04-30;191.4;
2011-05-31;32.6;
2011-06-30;118;
2011-07-31;221;
2011-08-31;182.4;
2011-09-30;73.8;
2011-10-31;167.4;
2011-11-30;36;
2011-12-31;60.8;
2012-01-31;42.6;
2012-02-29;110.8;
2012-03-31;81.4;
2012-04-30;96.2;
2012-05-31;63.8;
2012-06-30;30;
2012-07-31;156.8;
2012-08-31;75.8;
2012-09-30;232.2;
2012-10-31;211.2;
2012-11-30;42.6;
2012-12-31;195.4;
2013-01-31;102;
2013-02-28;110;
2013-03-31;126.2;
2013-04-30;114.2;
2013-05-31;62;
2013-06-30;72.8;
2013-07-31;null;
2013-08-31;191.6;
2013-09-30;null;
2013-10-31;null;
2013-11-30;405;
2013-12-31;null;
2014-01-31;null;
2014-02-28;175;
2014-03-31;160.4;
2014-04-30;75;
2014-05-31;109;
2014-06-30;null;
2014-07-31;null;
2014-08-31;115.6;
2014-09-30;229;
2014-10-31;179;
2014-11-30;49.4;
2014-12-31;229.4;
2015-01-31;192.6;
2015-02-28;121.6;
2015-03-31;14.8;
2015-04-30;75.4;
2015-05-31;126.4;
2015-06-30;148.8;
2015-07-31;286;
2015-08-31;100;
2015-09-30;162;
2015-10-31;410;
2015-11-30;192.8;
2015-12-31;185.4;
2016-01-31;31;
2016-02-29;null;
2016-03-31;207.8;
2016-04-30;null;
2016-05-31;56.2;
2016-06-30;6.2;
2016-07-31;null;
2016-08-31;84;
2016-09-30;56.4;
2016-10-31;351.8;
2016-11-30;187.2;
2016-12-31;142.4;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;56.4;
2017-05-31;183;
2017-06-30;97.6;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;220.6;
2017-11-30;79.6;
2017-12-31;67.6;
2018-01-31;57.8;
2018-02-28;50.2;
2018-03-31;138.2;
2018-04-30;106.6;
2018-05-31;61.4;
2018-06-30;139.6;
2018-07-31;136.6;
2018-08-31;null;
2018-09-30;null;
2018-10-31;73.8;
2018-11-30;139.8;
2018-12-31;69;
2019-01-31;98.2;
2019-02-28;69.4;
2019-03-31;76.8;
2019-04-30;150.4;
2019-05-31;187.2;
2019-06-30;42;
2019-07-31;144.8;
2019-08-31;87.8;
2019-09-30;71.6;
2019-10-31;252;
2019-11-30;116.8;
2019-12-31;21.2;
2020-01-31;123;
2020-02-29;23.6;
2020-03-31;17.2;
2020-04-30;26.6;
2020-05-31;161.8;
2020-06-30;76.8;
2020-07-31;147.8;
2020-08-31;null;
2020-09-30;129.6;
2020-10-31;73.4;
2020-11-30;37.8;
2020-12-31;49.6;
2021-01-31;187.4;
2021-02-28;68.8;
2021-03-31;98;
2021-04-30;8;
2021-05-31;215.4;
2021-06-30;143.2;
2021-07-31;45.4;
2021-08-31;90.4;
2021-09-30;222.4;
2021-10-31;81;
2021-11-30;91.6;
2021-12-31;39.4;
2022-01-31;null;

