Nome: SAO JOAQUIM
Codigo Estacao: A815
Latitude: -28.27564
Longitude: -49.934617
Altitude: 1400.06
Situacao: Operante
Data Inicial: 2008-04-11
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-04-30;null;
2008-05-31;105.6;
2008-06-30;174;
2008-07-31;48.4;
2008-08-31;116.4;
2008-09-30;207;
2008-10-31;330.8;
2008-11-30;203.4;
2008-12-31;84.2;
2009-01-31;166;
2009-02-28;100.8;
2009-03-31;85.6;
2009-04-30;24.6;
2009-05-31;98;
2009-06-30;50.4;
2009-07-31;162.8;
2009-08-31;null;
2009-09-30;369.8;
2009-10-31;129.8;
2009-11-30;227.6;
2009-12-31;129.2;
2010-01-31;324;
2010-02-28;259.6;
2010-03-31;153.6;
2010-04-30;194.2;
2010-05-31;227.6;
2010-06-30;118.4;
2010-07-31;165.2;
2010-08-31;88.8;
2010-09-30;219;
2010-10-31;136.4;
2010-11-30;160;
2010-12-31;152.6;
2011-01-31;181.6;
2011-02-28;328.2;
2011-03-31;144.4;
2011-04-30;91.8;
2011-05-31;78.2;
2011-06-30;112.2;
2011-07-31;182;
2011-08-31;291.8;
2011-09-30;116.4;
2011-10-31;140.4;
2011-11-30;54.6;
2011-12-31;133.4;
2012-01-31;172.6;
2012-02-29;153.6;
2012-03-31;59.4;
2012-04-30;null;
2012-05-31;31.2;
2012-06-30;150;
2012-07-31;170.4;
2012-08-31;21.4;
2012-09-30;143.4;
2012-10-31;181.6;
2012-11-30;50.4;
2012-12-31;175.4;
2013-01-31;76.8;
2013-02-28;249.8;
2013-03-31;163.6;
2013-04-30;60.4;
2013-05-31;69.8;
2013-06-30;181.4;
2013-07-31;null;
2013-08-31;null;
2013-09-30;222.6;
2013-10-31;125.4;
2013-11-30;120;
2013-12-31;131.6;
2014-01-31;167.8;
2014-02-28;238.8;
2014-03-31;136.6;
2014-04-30;135.4;
2014-05-31;200.6;
2014-06-30;409.2;
2014-07-31;null;
2014-08-31;null;
2014-09-30;196.6;
2014-10-31;217.6;
2014-11-30;134.6;
2014-12-31;239.6;
2015-01-31;249.6;
2015-02-28;152.4;
2015-03-31;147.4;
2015-04-30;95.4;
2015-05-31;98;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;375;
2015-10-31;345;
2015-11-30;123.4;
2015-12-31;206.8;
2016-01-31;93.8;
2016-02-29;204;
2016-03-31;156;
2016-04-30;152.4;
2016-05-31;103.4;
2016-06-30;17.8;
2016-07-31;192.8;
2016-08-31;123.2;
2016-09-30;82.2;
2016-10-31;266.2;
2016-11-30;78;
2016-12-31;183.6;
2017-01-31;171.8;
2017-02-28;109.2;
2017-03-31;73.8;
2017-04-30;116.2;
2017-05-31;273.8;
2017-06-30;185.2;
2017-07-31;20.8;
2017-08-31;119.6;
2017-09-30;47.8;
2017-10-31;152.2;
2017-11-30;114.2;
2017-12-31;226.2;
2018-01-31;256.4;
2018-02-28;52.8;
2018-03-31;168;
2018-04-30;35.8;
2018-05-31;73.8;
2018-06-30;186;
2018-07-31;127.4;
2018-08-31;107.6;
2018-09-30;191.4;
2018-10-31;191.6;
2018-11-30;147.8;
2018-12-31;175.8;
2019-01-31;218;
2019-02-28;139;
2019-03-31;117.8;
2019-04-30;149.8;
2019-05-31;311.4;
2019-06-30;21.2;
2019-07-31;192.4;
2019-08-31;26.8;
2019-09-30;85.4;
2019-10-31;196.4;
2019-11-30;102.2;
2019-12-31;70.8;
2020-01-31;177.8;
2020-02-29;88;
2020-03-31;12.8;
2020-04-30;51.8;
2020-05-31;54.4;
2020-06-30;172;
2020-07-31;254.8;
2020-08-31;100.2;
2020-09-30;121.2;
2020-10-31;99.2;
2020-11-30;106;
2020-12-31;156.8;
2021-01-31;261.8;
2021-02-28;65;
2021-03-31;145.6;
2021-04-30;11.6;
2021-05-31;126.8;
2021-06-30;149.4;
2021-07-31;67;
2021-08-31;88.2;
2021-09-30;218.8;
2021-10-31;167.2;
2021-11-30;86.4;
2021-12-31;53.8;
2022-01-31;null;

