Nome: NOVO HORIZONTE
Codigo Estacao: A816
Latitude: -26.40638888
Longitude: -52.85027777
Altitude: 943.57
Situacao: Pane
Data Inicial: 2008-09-19
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-09-30;null;
2008-10-31;null;
2008-11-30;264.8;
2008-12-31;108;
2009-01-31;521.4;
2009-02-28;228.2;
2009-03-31;195.6;
2009-04-30;135.6;
2009-05-31;526;
2009-06-30;188.4;
2009-07-31;331.6;
2009-08-31;354.6;
2009-09-30;526.4;
2009-10-31;326.2;
2009-11-30;213.8;
2009-12-31;151.6;
2010-01-31;216.8;
2010-02-28;123.6;
2010-03-31;309.4;
2010-04-30;352.2;
2010-05-31;260.4;
2010-06-30;119.6;
2010-07-31;154.6;
2010-08-31;56.4;
2010-09-30;62.2;
2010-10-31;202.6;
2010-11-30;85.8;
2010-12-31;360.2;
2011-01-31;283.4;
2011-02-28;216.8;
2011-03-31;192.2;
2011-04-30;119.6;
2011-05-31;55.4;
2011-06-30;214.6;
2011-07-31;226.4;
2011-08-31;261.8;
2011-09-30;217.8;
2011-10-31;244.2;
2011-11-30;129.4;
2011-12-31;51.6;
2012-01-31;null;
2012-02-29;null;
2012-03-31;null;
2012-04-30;140;
2012-05-31;90;
2012-06-30;156.6;
2012-07-31;156;
2012-08-31;4.8;
2012-09-30;79.6;
2012-10-31;336.6;
2012-11-30;60.4;
2012-12-31;316;
2013-01-31;259.6;
2013-02-28;206;
2013-03-31;344.4;
2013-04-30;156.4;
2013-05-31;185.4;
2013-06-30;301;
2013-07-31;73.8;
2013-08-31;209.6;
2013-09-30;218.6;
2013-10-31;146.8;
2013-11-30;99.4;
2013-12-31;127.6;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;145;
2014-08-31;54.2;
2014-09-30;414;
2014-10-31;129.2;
2014-11-30;215.2;
2014-12-31;155.2;
2015-01-31;338.6;
2015-02-28;104;
2015-03-31;104;
2015-04-30;59.2;
2015-05-31;226.6;
2015-06-30;154.8;
2015-07-31;null;
2015-08-31;89.6;
2015-09-30;130.2;
2015-10-31;178.4;
2015-11-30;null;
2015-12-31;358;
2016-01-31;146.6;
2016-02-29;null;
2016-03-31;null;
2016-04-30;111.4;
2016-05-31;200.8;
2016-06-30;71.6;
2016-07-31;58.6;
2016-08-31;191.6;
2016-09-30;72.2;
2016-10-31;144.2;
2016-11-30;127.4;
2016-12-31;253.6;
2017-01-31;234.8;
2017-02-28;210.8;
2017-03-31;148;
2017-04-30;120.6;
2017-05-31;299.2;
2017-06-30;119;
2017-07-31;15;
2017-08-31;152.6;
2017-09-30;44;
2017-10-31;419.6;
2017-11-30;295.2;
2017-12-31;190;
2018-01-31;229.2;
2018-02-28;125.6;
2018-03-31;335;
2018-04-30;40.4;
2018-05-31;77.2;
2018-06-30;58.2;
2018-07-31;25.8;
2018-08-31;132;
2018-09-30;189;
2018-10-31;302;
2018-11-30;264.8;
2018-12-31;36.6;
2019-01-31;156;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;44.2;
2019-07-31;33.2;
2019-08-31;5.6;
2019-09-30;76.8;
2019-10-31;107.4;
2019-11-30;253.8;
2019-12-31;60.2;
2020-01-31;125.6;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;152.6;
2020-12-31;245.8;
2021-01-31;282;
2021-02-28;31.2;
2021-03-31;174.8;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

