Nome: MAL. CANDIDO RONDON
Codigo Estacao: A820
Latitude: -24.53333333
Longitude: -54.01916666
Altitude: 392.07
Situacao: Operante
Data Inicial: 2006-11-17
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-11-30;null;
2006-12-31;176.4;
2007-01-31;183.8;
2007-02-28;309.4;
2007-03-31;69.4;
2007-04-30;255.2;
2007-05-31;124.2;
2007-06-30;1.8;
2007-07-31;71.4;
2007-08-31;9;
2007-09-30;37.4;
2007-10-31;104.4;
2007-11-30;null;
2007-12-31;175.8;
2008-01-31;137.6;
2008-02-29;201.2;
2008-03-31;32.8;
2008-04-30;119.8;
2008-05-31;75.2;
2008-06-30;116.4;
2008-07-31;48;
2008-08-31;157.4;
2008-09-30;66.6;
2008-10-31;325.4;
2008-11-30;177.8;
2008-12-31;71;
2009-01-31;151.2;
2009-02-28;154.6;
2009-03-31;92.6;
2009-04-30;22.6;
2009-05-31;216.2;
2009-06-30;114.4;
2009-07-31;127.8;
2009-08-31;53.8;
2009-09-30;174.2;
2009-10-31;205.8;
2009-11-30;143;
2009-12-31;237.8;
2010-01-31;188.4;
2010-02-28;211.8;
2010-03-31;128;
2010-04-30;165;
2010-05-31;null;
2010-06-30;19;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;null;
2010-11-30;127.8;
2010-12-31;240.2;
2011-01-31;165.4;
2011-02-28;164.4;
2011-03-31;20.8;
2011-04-30;5.4;
2011-05-31;.2;
2011-06-30;41.4;
2011-07-31;137.6;
2011-08-31;279.4;
2011-09-30;55.2;
2011-10-31;165.6;
2011-11-30;154.6;
2011-12-31;33.8;
2012-01-31;219;
2012-02-29;91.2;
2012-03-31;63.8;
2012-04-30;251.8;
2012-05-31;86.4;
2012-06-30;38.6;
2012-07-31;50.8;
2012-08-31;6.6;
2012-09-30;28.8;
2012-10-31;204.8;
2012-11-30;204;
2012-12-31;188.8;
2013-01-31;122.6;
2013-02-28;202.6;
2013-03-31;115.8;
2013-04-30;73.6;
2013-05-31;247.8;
2013-06-30;null;
2013-07-31;24.6;
2013-08-31;15.6;
2013-09-30;81.8;
2013-10-31;139.6;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;183;
2014-04-30;225.6;
2014-05-31;205.4;
2014-06-30;266.4;
2014-07-31;116.2;
2014-08-31;18;
2014-09-30;353.2;
2014-10-31;59;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;157.4;
2015-05-31;221;
2015-06-30;57.8;
2015-07-31;373;
2015-08-31;null;
2015-09-30;null;
2015-10-31;126.6;
2015-11-30;372;
2015-12-31;416.8;
2016-01-31;171.8;
2016-02-29;143;
2016-03-31;61.2;
2016-04-30;94.4;
2016-05-31;249.8;
2016-06-30;78.6;
2016-07-31;35.4;
2016-08-31;276;
2016-09-30;47.2;
2016-10-31;175;
2016-11-30;99.4;
2016-12-31;110.4;
2017-01-31;202.4;
2017-02-28;184.8;
2017-03-31;83;
2017-04-30;210;
2017-05-31;168.4;
2017-06-30;65;
2017-07-31;1;
2017-08-31;104.6;
2017-09-30;null;
2017-10-31;null;
2017-11-30;152;
2017-12-31;293;
2018-01-31;347.2;
2018-02-28;304.2;
2018-03-31;237.8;
2018-04-30;42.2;
2018-05-31;62.8;
2018-06-30;85.8;
2018-07-31;2.6;
2018-08-31;120.8;
2018-09-30;232;
2018-10-31;214.8;
2018-11-30;178.2;
2018-12-31;47;
2019-01-31;null;
2019-02-28;null;
2019-03-31;178.6;
2019-04-30;80.2;
2019-05-31;null;
2019-06-30;11.8;
2019-07-31;30.4;
2019-08-31;4.8;
2019-09-30;52.4;
2019-10-31;59.2;
2019-11-30;165.2;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;19.2;
2020-04-30;34.6;
2020-05-31;171;
2020-06-30;59.4;
2020-07-31;36.8;
2020-08-31;127.2;
2020-09-30;null;
2020-10-31;null;
2020-11-30;68.2;
2020-12-31;242;
2021-01-31;314.8;
2021-02-28;149;
2021-03-31;138.8;
2021-04-30;10;
2021-05-31;39;
2021-06-30;85.8;
2021-07-31;18;
2021-08-31;16.4;
2021-09-30;39.2;
2021-10-31;406;
2021-11-30;13.2;
2021-12-31;5.6;
2022-01-31;null;

