Nome: JOAQUIM TAVORA
Codigo Estacao: A821
Latitude: -23.505266
Longitude: -49.946387
Altitude: 512.67
Situacao: Operante
Data Inicial: 2006-11-22
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-11-30;null;
2006-12-31;93;
2007-01-31;339;
2007-02-28;null;
2007-03-31;180.4;
2007-04-30;75.8;
2007-05-31;38.4;
2007-06-30;4.4;
2007-07-31;235.8;
2007-08-31;8.6;
2007-09-30;33;
2007-10-31;116.8;
2007-11-30;null;
2007-12-31;222;
2008-01-31;237;
2008-02-29;138.8;
2008-03-31;98.6;
2008-04-30;148.4;
2008-05-31;99.8;
2008-06-30;53.4;
2008-07-31;4;
2008-08-31;142;
2008-09-30;62.4;
2008-10-31;156.2;
2008-11-30;66.2;
2008-12-31;145.4;
2009-01-31;267.4;
2009-02-28;146.2;
2009-03-31;16.2;
2009-04-30;42;
2009-05-31;61.4;
2009-06-30;87.2;
2009-07-31;230.6;
2009-08-31;60.8;
2009-09-30;240;
2009-10-31;198.6;
2009-11-30;202.4;
2009-12-31;227.2;
2010-01-31;314.2;
2010-02-28;74;
2010-03-31;114.4;
2010-04-30;63.2;
2010-05-31;64.6;
2010-06-30;24.4;
2010-07-31;51.4;
2010-08-31;17.6;
2010-09-30;54.4;
2010-10-31;135;
2010-11-30;44.8;
2010-12-31;139.8;
2011-01-31;171.8;
2011-02-28;113;
2011-03-31;70.6;
2011-04-30;50.6;
2011-05-31;9.4;
2011-06-30;77;
2011-07-31;64.2;
2011-08-31;60.2;
2011-09-30;5;
2011-10-31;293.6;
2011-11-30;75.8;
2011-12-31;85.8;
2012-01-31;143.4;
2012-02-29;104.2;
2012-03-31;71;
2012-04-30;137.2;
2012-05-31;54.6;
2012-06-30;255.2;
2012-07-31;77.8;
2012-08-31;7.2;
2012-09-30;46.4;
2012-10-31;126;
2012-11-30;48.8;
2012-12-31;175.4;
2013-01-31;104.2;
2013-02-28;null;
2013-03-31;181.4;
2013-04-30;null;
2013-05-31;121.6;
2013-06-30;null;
2013-07-31;77.6;
2013-08-31;2;
2013-09-30;144.2;
2013-10-31;151.6;
2013-11-30;131.8;
2013-12-31;52.8;
2014-01-31;126.2;
2014-02-28;167.2;
2014-03-31;130.4;
2014-04-30;127.2;
2014-05-31;76.8;
2014-06-30;15;
2014-07-31;82.4;
2014-08-31;38.8;
2014-09-30;173.4;
2014-10-31;16.2;
2014-11-30;98;
2014-12-31;193.8;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;17.4;
2015-07-31;256.6;
2015-08-31;66;
2015-09-30;195.4;
2015-10-31;261.6;
2015-11-30;345.8;
2015-12-31;232.4;
2016-01-31;348.2;
2016-02-29;248.2;
2016-03-31;63.6;
2016-04-30;39.2;
2016-05-31;184.8;
2016-06-30;101;
2016-07-31;36.4;
2016-08-31;114.8;
2016-09-30;45.4;
2016-10-31;149;
2016-11-30;40.4;
2016-12-31;116.8;
2017-01-31;239.2;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;221.2;
2017-06-30;182.4;
2017-07-31;.2;
2017-08-31;79.4;
2017-09-30;6.2;
2017-10-31;212.6;
2017-11-30;202.2;
2017-12-31;128.4;
2018-01-31;null;
2018-02-28;72;
2018-03-31;94.8;
2018-04-30;14.2;
2018-05-31;32.4;
2018-06-30;29.2;
2018-07-31;9.4;
2018-08-31;125.2;
2018-09-30;null;
2018-10-31;150.2;
2018-11-30;92;
2018-12-31;127.4;
2019-01-31;162.6;
2019-02-28;103.4;
2019-03-31;null;
2019-04-30;null;
2019-05-31;63.4;
2019-06-30;51.8;
2019-07-31;100;
2019-08-31;7;
2019-09-30;61;
2019-10-31;20.2;
2019-11-30;null;
2019-12-31;167.8;
2020-01-31;135.6;
2020-02-29;176.4;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;27.4;
2020-08-31;null;
2020-09-30;18.6;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

