Nome: INACIO MARTINS
Codigo Estacao: A823
Latitude: -25.567879
Longitude: -51.077946
Altitude: 1208.85
Situacao: Operante
Data Inicial: 2006-10-15
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-10-31;null;
2006-11-30;null;
2006-12-31;131.6;
2007-01-31;248.6;
2007-02-28;232.4;
2007-03-31;171.6;
2007-04-30;177.2;
2007-05-31;295.6;
2007-06-30;16;
2007-07-31;69;
2007-08-31;10.6;
2007-09-30;36;
2007-10-31;70.8;
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;34.4;
2008-04-30;211.4;
2008-05-31;78.6;
2008-06-30;201.8;
2008-07-31;61.4;
2008-08-31;181.8;
2008-09-30;79;
2008-10-31;318.8;
2008-11-30;129.2;
2008-12-31;62;
2009-01-31;184.8;
2009-02-28;167.6;
2009-03-31;132.2;
2009-04-30;44.2;
2009-05-31;114.2;
2009-06-30;102;
2009-07-31;322.4;
2009-08-31;117.2;
2009-09-30;193;
2009-10-31;185.8;
2009-11-30;162.8;
2009-12-31;295.8;
2010-01-31;294.8;
2010-02-28;302.8;
2010-03-31;204.8;
2010-04-30;264;
2010-05-31;107.2;
2010-06-30;91.6;
2010-07-31;138.4;
2010-08-31;25.8;
2010-09-30;44.8;
2010-10-31;172;
2010-11-30;95.6;
2010-12-31;229.6;
2011-01-31;254.4;
2011-02-28;null;
2011-03-31;162.2;
2011-04-30;97.6;
2011-05-31;45.2;
2011-06-30;86.2;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;120.4;
2012-01-31;190.6;
2012-02-29;153.4;
2012-03-31;68.4;
2012-04-30;null;
2012-05-31;null;
2012-06-30;null;
2012-07-31;124.8;
2012-08-31;10.6;
2012-09-30;59.6;
2012-10-31;191.6;
2012-11-30;138.6;
2012-12-31;188.6;
2013-01-31;162.4;
2013-02-28;181.6;
2013-03-31;245.4;
2013-04-30;84.2;
2013-05-31;112.8;
2013-06-30;333.8;
2013-07-31;138.2;
2013-08-31;35;
2013-09-30;null;
2013-10-31;170.2;
2013-11-30;124.2;
2013-12-31;117.8;
2014-01-31;null;
2014-02-28;null;
2014-03-31;197.4;
2014-04-30;52.2;
2014-05-31;null;
2014-06-30;230.2;
2014-07-31;null;
2014-08-31;55;
2014-09-30;null;
2014-10-31;76.2;
2014-11-30;null;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;196.8;
2015-04-30;83.2;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;235.6;
2016-01-31;246;
2016-02-29;324.8;
2016-03-31;220.2;
2016-04-30;70.4;
2016-05-31;192.8;
2016-06-30;87;
2016-07-31;88.8;
2016-08-31;null;
2016-09-30;null;
2016-10-31;141.6;
2016-11-30;null;
2016-12-31;null;
2017-01-31;192.8;
2017-02-28;223.4;
2017-03-31;62.4;
2017-04-30;78.8;
2017-05-31;227.2;
2017-06-30;166.2;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;232.6;
2018-01-31;308.6;
2018-02-28;92.8;
2018-03-31;295.4;
2018-04-30;11.2;
2018-05-31;28.6;
2018-06-30;152.6;
2018-07-31;1.8;
2018-08-31;57.8;
2018-09-30;188.2;
2018-10-31;335.6;
2018-11-30;83.4;
2018-12-31;98;
2019-01-31;249.8;
2019-02-28;313.6;
2019-03-31;81.2;
2019-04-30;null;
2019-05-31;264.6;
2019-06-30;98.4;
2019-07-31;17;
2019-08-31;44.8;
2019-09-30;103.4;
2019-10-31;110.8;
2019-11-30;141.8;
2019-12-31;108.8;
2020-01-31;132.6;
2020-02-29;84.4;
2020-03-31;75.8;
2020-04-30;48.8;
2020-05-31;123;
2020-06-30;162;
2020-07-31;31.6;
2020-08-31;224.2;
2020-09-30;45.4;
2020-10-31;79.8;
2020-11-30;202;
2020-12-31;259;
2021-01-31;347.6;
2021-02-28;24.8;
2021-03-31;280.8;
2021-04-30;4.4;
2021-05-31;75.6;
2021-06-30;130.6;
2021-07-31;39.4;
2021-08-31;88.8;
2021-09-30;null;
2021-10-31;231.2;
2021-11-30;99.8;
2021-12-31;154.6;
2022-01-31;null;

