Nome: ALEGRETE
Codigo Estacao: A826
Latitude: -29.709083
Longitude: -55.525486
Altitude: 120.88
Situacao: Operante
Data Inicial: 2006-09-27
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-09-30;null;
2006-10-31;179.6;
2006-11-30;119.4;
2006-12-31;54.4;
2007-01-31;86.4;
2007-02-28;208.6;
2007-03-31;196.2;
2007-04-30;112.8;
2007-05-31;46;
2007-06-30;99.6;
2007-07-31;50.2;
2007-08-31;99.6;
2007-09-30;159.4;
2007-10-31;128.8;
2007-11-30;null;
2007-12-31;44;
2008-01-31;162.8;
2008-02-29;129.6;
2008-03-31;88;
2008-04-30;103;
2008-05-31;137.8;
2008-06-30;138.2;
2008-07-31;null;
2008-08-31;109.2;
2008-09-30;93.2;
2008-10-31;280.4;
2008-11-30;26.2;
2008-12-31;41.6;
2009-01-31;29.6;
2009-02-28;106;
2009-03-31;143.2;
2009-04-30;23.2;
2009-05-31;84.8;
2009-06-30;37.8;
2009-07-31;61.2;
2009-08-31;86.4;
2009-09-30;205.4;
2009-10-31;120.2;
2009-11-30;382;
2009-12-31;null;
2010-01-31;391.4;
2010-02-28;null;
2010-03-31;null;
2010-04-30;null;
2010-05-31;100.2;
2010-06-30;50.8;
2010-07-31;246;
2010-08-31;20.2;
2010-09-30;320;
2010-10-31;56.6;
2010-11-30;23.6;
2010-12-31;95.8;
2011-01-31;90.6;
2011-02-28;234.8;
2011-03-31;141.2;
2011-04-30;139.2;
2011-05-31;63.8;
2011-06-30;90.2;
2011-07-31;112.6;
2011-08-31;136;
2011-09-30;65.6;
2011-10-31;189.6;
2011-11-30;67.4;
2011-12-31;124.4;
2012-01-31;7.4;
2012-02-29;66.6;
2012-03-31;43.4;
2012-04-30;120;
2012-05-31;42.4;
2012-06-30;60.2;
2012-07-31;76.8;
2012-08-31;69.4;
2012-09-30;85.6;
2012-10-31;null;
2012-11-30;42.4;
2012-12-31;373.4;
2013-01-31;124;
2013-02-28;213.8;
2013-03-31;184.6;
2013-04-30;133.8;
2013-05-31;194.6;
2013-06-30;null;
2013-07-31;147.4;
2013-08-31;42.2;
2013-09-30;33;
2013-10-31;100.6;
2013-11-30;null;
2013-12-31;null;
2014-01-31;211.2;
2014-02-28;139.6;
2014-03-31;233.8;
2014-04-30;42.6;
2014-05-31;226.6;
2014-06-30;119.2;
2014-07-31;115.8;
2014-08-31;20.8;
2014-09-30;null;
2014-10-31;126.8;
2014-11-30;96.6;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;74.4;
2015-04-30;46.2;
2015-05-31;142;
2015-06-30;106.4;
2015-07-31;169.6;
2015-08-31;82;
2015-09-30;85.2;
2015-10-31;386.2;
2015-11-30;165.8;
2015-12-31;422.2;
2016-01-31;108.6;
2016-02-29;158.8;
2016-03-31;135;
2016-04-30;235;
2016-05-31;101.6;
2016-06-30;77.8;
2016-07-31;86.6;
2016-08-31;99.4;
2016-09-30;29.8;
2016-10-31;287.8;
2016-11-30;226;
2016-12-31;191.4;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;213.8;
2017-05-31;268.4;
2017-06-30;90.2;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;163.8;
2017-11-30;95.2;
2017-12-31;117.2;
2018-01-31;140;
2018-02-28;107.2;
2018-03-31;199.4;
2018-04-30;58.4;
2018-05-31;154.6;
2018-06-30;170.8;
2018-07-31;51;
2018-08-31;194.4;
2018-09-30;209.2;
2018-10-31;200.4;
2018-11-30;179.2;
2018-12-31;150.4;
2019-01-31;507.6;
2019-02-28;62.8;
2019-03-31;120.6;
2019-04-30;null;
2019-05-31;188.2;
2019-06-30;11.8;
2019-07-31;152;
2019-08-31;43.4;
2019-09-30;62.2;
2019-10-31;237.8;
2019-11-30;156.6;
2019-12-31;40.6;
2020-01-31;77.6;
2020-02-29;83.2;
2020-03-31;33.8;
2020-04-30;26.6;
2020-05-31;187.4;
2020-06-30;163.4;
2020-07-31;47.4;
2020-08-31;33.8;
2020-09-30;172.6;
2020-10-31;89.8;
2020-11-30;112.2;
2020-12-31;128.4;
2021-01-31;null;
2021-02-28;85;
2021-03-31;79.2;
2021-04-30;67.2;
2021-05-31;203;
2021-06-30;192;
2021-07-31;21.2;
2021-08-31;26.2;
2021-09-30;279;
2021-10-31;89.2;
2021-11-30;63.2;
2021-12-31;71.6;
2022-01-31;null;

