Nome: QUARAI
Codigo Estacao: A831
Latitude: -30.368578
Longitude: -56.437115
Altitude: 113.05
Situacao: Operante
Data Inicial: 2007-10-16
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-10-31;null;
2007-11-30;null;
2007-12-31;64.6;
2008-01-31;83.2;
2008-02-29;104.8;
2008-03-31;60.6;
2008-04-30;117.2;
2008-05-31;72.6;
2008-06-30;105.8;
2008-07-31;139;
2008-08-31;85.4;
2008-09-30;98;
2008-10-31;213.6;
2008-11-30;11.2;
2008-12-31;44.8;
2009-01-31;64.4;
2009-02-28;181.2;
2009-03-31;36;
2009-04-30;16.2;
2009-05-31;133.8;
2009-06-30;16;
2009-07-31;29.4;
2009-08-31;22;
2009-09-30;186.2;
2009-10-31;74;
2009-11-30;629.8;
2009-12-31;338;
2010-01-31;260;
2010-02-28;186.4;
2010-03-31;38.4;
2010-04-30;111.4;
2010-05-31;103.4;
2010-06-30;22.2;
2010-07-31;231;
2010-08-31;10;
2010-09-30;155.8;
2010-10-31;29.4;
2010-11-30;31;
2010-12-31;30.8;
2011-01-31;90.2;
2011-02-28;183.6;
2011-03-31;42.8;
2011-04-30;96;
2011-05-31;110.6;
2011-06-30;59.2;
2011-07-31;63.8;
2011-08-31;41.8;
2011-09-30;90.2;
2011-10-31;149.8;
2011-11-30;73.8;
2011-12-31;125.4;
2012-01-31;26.6;
2012-02-29;null;
2012-03-31;null;
2012-04-30;189.4;
2012-05-31;22.4;
2012-06-30;81.2;
2012-07-31;23.8;
2012-08-31;110.6;
2012-09-30;92.2;
2012-10-31;334.2;
2012-11-30;33.8;
2012-12-31;238.6;
2013-01-31;90.2;
2013-02-28;257.8;
2013-03-31;106.4;
2013-04-30;105.4;
2013-05-31;80.2;
2013-06-30;39.4;
2013-07-31;66.4;
2013-08-31;41.8;
2013-09-30;54.8;
2013-10-31;89.4;
2013-11-30;393.6;
2013-12-31;22;
2014-01-31;94.8;
2014-02-28;207.4;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;40.2;
2014-07-31;null;
2014-08-31;null;
2014-09-30;176.2;
2014-10-31;208.6;
2014-11-30;76;
2014-12-31;339;
2015-01-31;265;
2015-02-28;97.4;
2015-03-31;53.2;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;341.8;
2015-11-30;138.8;
2015-12-31;478.6;
2016-01-31;118.4;
2016-02-29;95.6;
2016-03-31;157;
2016-04-30;425.8;
2016-05-31;100.2;
2016-06-30;114.4;
2016-07-31;74.2;
2016-08-31;94.6;
2016-09-30;15.6;
2016-10-31;165.4;
2016-11-30;106.4;
2016-12-31;151.4;
2017-01-31;116.2;
2017-02-28;192.2;
2017-03-31;111.8;
2017-04-30;324;
2017-05-31;193.8;
2017-06-30;83.4;
2017-07-31;71.4;
2017-08-31;180.8;
2017-09-30;null;
2017-10-31;131.4;
2017-11-30;68;
2017-12-31;64.6;
2018-01-31;98;
2018-02-28;72;
2018-03-31;150.2;
2018-04-30;81.8;
2018-05-31;266.2;
2018-06-30;47.2;
2018-07-31;83.6;
2018-08-31;103.8;
2018-09-30;194.6;
2018-10-31;null;
2018-11-30;null;
2018-12-31;174;
2019-01-31;572;
2019-02-28;138.6;
2019-03-31;52.4;
2019-04-30;241.6;
2019-05-31;146.4;
2019-06-30;22.2;
2019-07-31;118.6;
2019-08-31;51;
2019-09-30;18.4;
2019-10-31;292.8;
2019-11-30;222.8;
2019-12-31;100.6;
2020-01-31;79.4;
2020-02-29;64;
2020-03-31;67.2;
2020-04-30;43.8;
2020-05-31;251;
2020-06-30;160.6;
2020-07-31;16.2;
2020-08-31;19.8;
2020-09-30;116.6;
2020-10-31;78.8;
2020-11-30;53.4;
2020-12-31;100.4;
2021-01-31;120.4;
2021-02-28;92.6;
2021-03-31;null;
2021-04-30;46.8;
2021-05-31;125.6;
2021-06-30;138.2;
2021-07-31;27;
2021-08-31;56.6;
2021-09-30;171.8;
2021-10-31;48.2;
2021-11-30;100;
2021-12-31;28.4;
2022-01-31;null;

