Nome: SAO GABRIEL
Codigo Estacao: A832
Latitude: -30.341438
Longitude: -54.310909
Altitude: 114.89
Situacao: Operante
Data Inicial: 2007-07-10
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-07-31;null;
2007-08-31;null;
2007-09-30;null;
2007-10-31;null;
2007-11-30;null;
2007-12-31;104.2;
2008-01-31;30.6;
2008-02-29;91.8;
2008-03-31;58.6;
2008-04-30;108.2;
2008-05-31;110.2;
2008-06-30;117;
2008-07-31;225.6;
2008-08-31;182.4;
2008-09-30;129.2;
2008-10-31;238.8;
2008-11-30;61;
2008-12-31;62.4;
2009-01-31;84.2;
2009-02-28;208.2;
2009-03-31;97.8;
2009-04-30;10;
2009-05-31;75.6;
2009-06-30;69.4;
2009-07-31;36.6;
2009-08-31;139;
2009-09-30;218.6;
2009-10-31;48;
2009-11-30;433.8;
2009-12-31;185.6;
2010-01-31;201;
2010-02-28;218.4;
2010-03-31;40;
2010-04-30;99.8;
2010-05-31;90.2;
2010-06-30;71.2;
2010-07-31;247.6;
2010-08-31;61.4;
2010-09-30;183.4;
2010-10-31;54.6;
2010-11-30;11.8;
2010-12-31;61.6;
2011-01-31;105.6;
2011-02-28;99.6;
2011-03-31;81.8;
2011-04-30;119.4;
2011-05-31;70.8;
2011-06-30;94.2;
2011-07-31;140.4;
2011-08-31;93.6;
2011-09-30;81.2;
2011-10-31;154;
2011-11-30;80.2;
2011-12-31;15.2;
2012-01-31;19.4;
2012-02-29;null;
2012-03-31;null;
2012-04-30;89.6;
2012-05-31;14.8;
2012-06-30;43.2;
2012-07-31;68.8;
2012-08-31;78.4;
2012-09-30;169.6;
2012-10-31;298.4;
2012-11-30;56.6;
2012-12-31;234.4;
2013-01-31;61.4;
2013-02-28;71;
2013-03-31;110.2;
2013-04-30;137.6;
2013-05-31;158.8;
2013-06-30;92.2;
2013-07-31;90;
2013-08-31;82.8;
2013-09-30;67.2;
2013-10-31;150;
2013-11-30;235;
2013-12-31;22.4;
2014-01-31;160.4;
2014-02-28;197.8;
2014-03-31;255.2;
2014-04-30;79;
2014-05-31;126.4;
2014-06-30;102.8;
2014-07-31;null;
2014-08-31;85.4;
2014-09-30;171.4;
2014-10-31;200.2;
2014-11-30;114;
2014-12-31;175.2;
2015-01-31;222.6;
2015-02-28;93.4;
2015-03-31;108.8;
2015-04-30;67.4;
2015-05-31;129;
2015-06-30;89.2;
2015-07-31;194.2;
2015-08-31;94.8;
2015-09-30;120.4;
2015-10-31;388.4;
2015-11-30;105;
2015-12-31;365.6;
2016-01-31;100.2;
2016-02-29;85.4;
2016-03-31;77;
2016-04-30;243;
2016-05-31;77;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;101.4;
2016-12-31;154;
2017-01-31;229.8;
2017-02-28;248;
2017-03-31;221.8;
2017-04-30;100.4;
2017-05-31;238;
2017-06-30;106.6;
2017-07-31;26.2;
2017-08-31;210.2;
2017-09-30;146.4;
2017-10-31;278.8;
2017-11-30;67;
2017-12-31;131;
2018-01-31;173.2;
2018-02-28;47;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;117.4;
2018-07-31;79;
2018-08-31;149.6;
2018-09-30;265.4;
2018-10-31;107.8;
2018-11-30;237.8;
2018-12-31;232;
2019-01-31;448.4;
2019-02-28;75;
2019-03-31;96.2;
2019-04-30;143.2;
2019-05-31;157.2;
2019-06-30;47.4;
2019-07-31;237.2;
2019-08-31;93.6;
2019-09-30;110;
2019-10-31;392.8;
2019-11-30;104.4;
2019-12-31;26.8;
2020-01-31;86;
2020-02-29;48;
2020-03-31;36.6;
2020-04-30;13.6;
2020-05-31;195.6;
2020-06-30;116.2;
2020-07-31;82;
2020-08-31;56.8;
2020-09-30;109.2;
2020-10-31;68.8;
2020-11-30;74.8;
2020-12-31;94.2;
2021-01-31;282.8;
2021-02-28;89;
2021-03-31;119;
2021-04-30;46.2;
2021-05-31;135.2;
2021-06-30;159.8;
2021-07-31;60.4;
2021-08-31;65.6;
2021-09-30;null;
2021-10-31;81;
2021-11-30;63.2;
2021-12-31;33.6;
2022-01-31;null;

