Nome: SANTIAGO
Codigo Estacao: A833
Latitude: -29.191599
Longitude: -54.885653
Altitude: 390.03
Situacao: Operante
Data Inicial: 2009-02-03
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2009-02-28;null;
2009-03-31;135.8;
2009-04-30;14.2;
2009-05-31;127.2;
2009-06-30;115.6;
2009-07-31;76.4;
2009-08-31;119.4;
2009-09-30;262.8;
2009-10-31;61.4;
2009-11-30;593.2;
2009-12-31;128;
2010-01-31;421.6;
2010-02-28;222.6;
2010-03-31;51;
2010-04-30;66.8;
2010-05-31;9.4;
2010-06-30;13.6;
2010-07-31;207.6;
2010-08-31;32.4;
2010-09-30;209.4;
2010-10-31;66.2;
2010-11-30;48.4;
2010-12-31;178.6;
2011-01-31;103;
2011-02-28;197.8;
2011-03-31;106;
2011-04-30;133.8;
2011-05-31;69.2;
2011-06-30;100;
2011-07-31;null;
2011-08-31;88;
2011-09-30;112.2;
2011-10-31;162;
2011-11-30;77;
2011-12-31;33.2;
2012-01-31;64;
2012-02-29;83.4;
2012-03-31;73;
2012-04-30;86.4;
2012-05-31;52.6;
2012-06-30;81.4;
2012-07-31;59.8;
2012-08-31;94;
2012-09-30;112.2;
2012-10-31;384.8;
2012-11-30;72.8;
2012-12-31;346;
2013-01-31;181.8;
2013-02-28;141.4;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;116.2;
2013-08-31;92.4;
2013-09-30;67.4;
2013-10-31;139.6;
2013-11-30;270.4;
2013-12-31;143;
2014-01-31;152.2;
2014-02-28;151.4;
2014-03-31;240.6;
2014-04-30;81.2;
2014-05-31;194.2;
2014-06-30;221.2;
2014-07-31;266;
2014-08-31;63.4;
2014-09-30;null;
2014-10-31;null;
2014-11-30;150.4;
2014-12-31;262.8;
2015-01-31;273.8;
2015-02-28;114;
2015-03-31;129;
2015-04-30;99.8;
2015-05-31;128.8;
2015-06-30;182.8;
2015-07-31;124.2;
2015-08-31;105.6;
2015-09-30;156.8;
2015-10-31;421;
2015-11-30;271.6;
2015-12-31;400.6;
2016-01-31;78.2;
2016-02-29;115;
2016-03-31;197.4;
2016-04-30;165.6;
2016-05-31;116.2;
2016-06-30;27.6;
2016-07-31;66.6;
2016-08-31;114.4;
2016-09-30;36.8;
2016-10-31;296.4;
2016-11-30;260.8;
2016-12-31;270.6;
2017-01-31;247;
2017-02-28;267;
2017-03-31;220.2;
2017-04-30;292.4;
2017-05-31;369.4;
2017-06-30;159.2;
2017-07-31;4.6;
2017-08-31;243.8;
2017-09-30;162;
2017-10-31;220.2;
2017-11-30;90.2;
2017-12-31;152.6;
2018-01-31;289.4;
2018-02-28;35.6;
2018-03-31;200.4;
2018-04-30;163.2;
2018-05-31;114.6;
2018-06-30;151.4;
2018-07-31;null;
2018-08-31;null;
2018-09-30;213.6;
2018-10-31;146.4;
2018-11-30;332.6;
2018-12-31;205.6;
2019-01-31;482;
2019-02-28;88.8;
2019-03-31;203;
2019-04-30;161.8;
2019-05-31;219.2;
2019-06-30;39.6;
2019-07-31;155.4;
2019-08-31;62.4;
2019-09-30;90.8;
2019-10-31;373;
2019-11-30;181.2;
2019-12-31;91.8;
2020-01-31;155.2;
2020-02-29;80.6;
2020-03-31;19.2;
2020-04-30;90.8;
2020-05-31;null;
2020-06-30;159.6;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;172.4;
2021-02-28;128.6;
2021-03-31;85;
2021-04-30;118.8;
2021-05-31;198.2;
2021-06-30;241;
2021-07-31;26.4;
2021-08-31;91.4;
2021-09-30;150;
2021-10-31;88.8;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

