Nome: JAGUARAO
Codigo Estacao: A836
Latitude: -32.53472221
Longitude: -53.37583332
Altitude: 31.48
Situacao: Operante
Data Inicial: 2007-01-08
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-01-31;null;
2007-02-28;120;
2007-03-31;218.4;
2007-04-30;95.4;
2007-05-31;270.6;
2007-06-30;152.2;
2007-07-31;50.4;
2007-08-31;197;
2007-09-30;94;
2007-10-31;171.8;
2007-11-30;null;
2007-12-31;124.4;
2008-01-31;55.6;
2008-02-29;null;
2008-03-31;null;
2008-04-30;23.4;
2008-05-31;220.8;
2008-06-30;64.4;
2008-07-31;122.2;
2008-08-31;176.2;
2008-09-30;87.8;
2008-10-31;34;
2008-11-30;18.2;
2008-12-31;63.6;
2009-01-31;126.2;
2009-02-28;246.8;
2009-03-31;47.4;
2009-04-30;2;
2009-05-31;60.4;
2009-06-30;116.8;
2009-07-31;28.4;
2009-08-31;87.6;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;149.2;
2010-01-31;37.4;
2010-02-28;327.4;
2010-03-31;46.2;
2010-04-30;61.6;
2010-05-31;84.6;
2010-06-30;60.4;
2010-07-31;255;
2010-08-31;102.2;
2010-09-30;122.6;
2010-10-31;15.8;
2010-11-30;101.6;
2010-12-31;22.8;
2011-01-31;97.8;
2011-02-28;94.4;
2011-03-31;158.6;
2011-04-30;127.4;
2011-05-31;165.2;
2011-06-30;124.2;
2011-07-31;44.8;
2011-08-31;187;
2011-09-30;41.4;
2011-10-31;131.6;
2011-11-30;29.6;
2011-12-31;46.2;
2012-01-31;62;
2012-02-29;null;
2012-03-31;117.8;
2012-04-30;85.2;
2012-05-31;18.6;
2012-06-30;94;
2012-07-31;80.4;
2012-08-31;108.2;
2012-09-30;60.8;
2012-10-31;87.8;
2012-11-30;103.6;
2012-12-31;158.2;
2013-01-31;76;
2013-02-28;118;
2013-03-31;34.4;
2013-04-30;119.4;
2013-05-31;151.2;
2013-06-30;107.8;
2013-07-31;87;
2013-08-31;137.4;
2013-09-30;336.8;
2013-10-31;83.4;
2013-11-30;149;
2013-12-31;52;
2014-01-31;208.2;
2014-02-28;159.8;
2014-03-31;121.4;
2014-04-30;67.4;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;70.2;
2014-09-30;151;
2014-10-31;210.4;
2014-11-30;53.6;
2014-12-31;103;
2015-01-31;146.6;
2015-02-28;62.2;
2015-03-31;8;
2015-04-30;3.4;
2015-05-31;81.6;
2015-06-30;85.6;
2015-07-31;92.8;
2015-08-31;173.8;
2015-09-30;178.2;
2015-10-31;281.4;
2015-11-30;116;
2015-12-31;128.6;
2016-01-31;104;
2016-02-29;90.4;
2016-03-31;161.6;
2016-04-30;417.6;
2016-05-31;72;
2016-06-30;42.4;
2016-07-31;87;
2016-08-31;113.8;
2016-09-30;117.8;
2016-10-31;149.2;
2016-11-30;58.2;
2016-12-31;null;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;138.8;
2017-05-31;162.4;
2017-06-30;116.6;
2017-07-31;39.2;
2017-08-31;null;
2017-09-30;104.8;
2017-10-31;162.6;
2017-11-30;null;
2017-12-31;null;
2018-01-31;123.8;
2018-02-28;8.8;
2018-03-31;88.2;
2018-04-30;102.6;
2018-05-31;76.6;
2018-06-30;59.6;
2018-07-31;271.2;
2018-08-31;183.8;
2018-09-30;203;
2018-10-31;100.4;
2018-11-30;47.4;
2018-12-31;113.6;
2019-01-31;300;
2019-02-28;53.2;
2019-03-31;26.8;
2019-04-30;90;
2019-05-31;38;
2019-06-30;155.6;
2019-07-31;160.2;
2019-08-31;190;
2019-09-30;120.6;
2019-10-31;359;
2019-11-30;71.2;
2019-12-31;84.8;
2020-01-31;58.4;
2020-02-29;86.8;
2020-03-31;40.2;
2020-04-30;80.8;
2020-05-31;163.4;
2020-06-30;139.2;
2020-07-31;62.6;
2020-08-31;63.6;
2020-09-30;163.4;
2020-10-31;67.8;
2020-11-30;39.6;
2020-12-31;null;
2021-01-31;173.2;
2021-02-28;302.2;
2021-03-31;128.6;
2021-04-30;112.6;
2021-05-31;41.8;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;230.8;
2021-10-31;66.8;
2021-11-30;30.2;
2021-12-31;44.8;
2022-01-31;null;

