Nome: CAMAQUA
Codigo Estacao: A838
Latitude: -30.807953
Longitude: -51.83424
Altitude: 92.3
Situacao: Operante
Data Inicial: 2006-12-11
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-12-31;null;
2007-01-31;145;
2007-02-28;17.6;
2007-03-31;95.4;
2007-04-30;141;
2007-05-31;90.8;
2007-06-30;null;
2007-07-31;162.6;
2007-08-31;204;
2007-09-30;90.4;
2007-10-31;null;
2007-11-30;null;
2007-12-31;62.6;
2008-01-31;58.8;
2008-02-29;165.2;
2008-03-31;69.6;
2008-04-30;94.2;
2008-05-31;174.4;
2008-06-30;123.8;
2008-07-31;147.8;
2008-08-31;108.6;
2008-09-30;103.6;
2008-10-31;142.8;
2008-11-30;42.6;
2008-12-31;101;
2009-01-31;217.4;
2009-02-28;197.6;
2009-03-31;124.4;
2009-04-30;10.2;
2009-05-31;84.4;
2009-06-30;47.4;
2009-07-31;60.6;
2009-08-31;224;
2009-09-30;274.6;
2009-10-31;82.4;
2009-11-30;366.2;
2009-12-31;254.4;
2010-01-31;154;
2010-02-28;133.4;
2010-03-31;108.4;
2010-04-30;110.2;
2010-05-31;143.6;
2010-06-30;154.2;
2010-07-31;162.8;
2010-08-31;97.4;
2010-09-30;124.8;
2010-10-31;47;
2010-11-30;null;
2010-12-31;61;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;105;
2011-05-31;44.8;
2011-06-30;110;
2011-07-31;170.8;
2011-08-31;151.6;
2011-09-30;118.6;
2011-10-31;161.2;
2011-11-30;39.4;
2011-12-31;62.6;
2012-01-31;171;
2012-02-29;null;
2012-03-31;null;
2012-04-30;null;
2012-05-31;58.8;
2012-06-30;43.6;
2012-07-31;158.6;
2012-08-31;106.6;
2012-09-30;312.8;
2012-10-31;96.6;
2012-11-30;36.2;
2012-12-31;216.6;
2013-01-31;171.6;
2013-02-28;224.6;
2013-03-31;93;
2013-04-30;156.8;
2013-05-31;113;
2013-06-30;78.8;
2013-07-31;45;
2013-08-31;205.6;
2013-09-30;103.6;
2013-10-31;204;
2013-11-30;161.8;
2013-12-31;42.8;
2014-01-31;240;
2014-02-28;223;
2014-03-31;156.2;
2014-04-30;69.4;
2014-05-31;55.2;
2014-06-30;null;
2014-07-31;null;
2014-08-31;92;
2014-09-30;163.4;
2014-10-31;164.2;
2014-11-30;70.2;
2014-12-31;206;
2015-01-31;179.4;
2015-02-28;112.4;
2015-03-31;19;
2015-04-30;74.2;
2015-05-31;253;
2015-06-30;null;
2015-07-31;199.8;
2015-08-31;45.8;
2015-09-30;null;
2015-10-31;null;
2015-11-30;132.2;
2015-12-31;241;
2016-01-31;71.8;
2016-02-29;46.8;
2016-03-31;447.6;
2016-04-30;173.2;
2016-05-31;69.8;
2016-06-30;null;
2016-07-31;77;
2016-08-31;128.8;
2016-09-30;119.4;
2016-10-31;190.6;
2016-11-30;133.6;
2016-12-31;153.6;
2017-01-31;93.8;
2017-02-28;176;
2017-03-31;221.2;
2017-04-30;76.2;
2017-05-31;261.2;
2017-06-30;76;
2017-07-31;null;
2017-08-31;108.2;
2017-09-30;null;
2017-10-31;null;
2017-11-30;138.4;
2017-12-31;57.8;
2018-01-31;73.6;
2018-02-28;172.8;
2018-03-31;131.4;
2018-04-30;204.8;
2018-05-31;151.4;
2018-06-30;null;
2018-07-31;209.6;
2018-08-31;136.4;
2018-09-30;294;
2018-10-31;85;
2018-11-30;102.8;
2018-12-31;78.6;
2019-01-31;128.6;
2019-02-28;81.4;
2019-03-31;81.2;
2019-04-30;78.6;
2019-05-31;275.4;
2019-06-30;41;
2019-07-31;183;
2019-08-31;154.2;
2019-09-30;109.4;
2019-10-31;null;
2019-11-30;null;
2019-12-31;60.6;
2020-01-31;163;
2020-02-29;44;
2020-03-31;44.8;
2020-04-30;48.2;
2020-05-31;117.6;
2020-06-30;null;
2020-07-31;null;
2020-08-31;80.4;
2020-09-30;246.8;
2020-10-31;131.2;
2020-11-30;31.4;
2020-12-31;94;
2021-01-31;104;
2021-02-28;70.6;
2021-03-31;111.2;
2021-04-30;13.6;
2021-05-31;95.2;
2021-06-30;null;
2021-07-31;7.4;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

