Nome: JOACABA
Codigo Estacao: A841
Latitude: -27.16916666
Longitude: -51.55888888
Altitude: 767.63
Situacao: Operante
Data Inicial: 2007-09-19
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-09-30;null;
2007-10-31;null;
2007-11-30;null;
2007-12-31;133.2;
2008-01-31;162.8;
2008-02-29;71.4;
2008-03-31;74.8;
2008-04-30;227.6;
2008-05-31;40.6;
2008-06-30;233;
2008-07-31;26;
2008-08-31;117.8;
2008-09-30;164.2;
2008-10-31;319;
2008-11-30;154.4;
2008-12-31;113.2;
2009-01-31;268.2;
2009-02-28;79;
2009-03-31;73.2;
2009-04-30;34;
2009-05-31;174.4;
2009-06-30;60.4;
2009-07-31;182.6;
2009-08-31;219.2;
2009-09-30;385.6;
2009-10-31;96.8;
2009-11-30;162.4;
2009-12-31;260.4;
2010-01-31;210.8;
2010-02-28;205;
2010-03-31;152.8;
2010-04-30;292.6;
2010-05-31;203.6;
2010-06-30;73.8;
2010-07-31;128.2;
2010-08-31;62.4;
2010-09-30;90.2;
2010-10-31;158.4;
2010-11-30;101.2;
2010-12-31;362.6;
2011-01-31;124.2;
2011-02-28;250.6;
2011-03-31;172.6;
2011-04-30;138;
2011-05-31;74.4;
2011-06-30;171.6;
2011-07-31;255.8;
2011-08-31;279;
2011-09-30;187.8;
2011-10-31;286.6;
2011-11-30;138.6;
2011-12-31;106.4;
2012-01-31;107.8;
2012-02-29;130.8;
2012-03-31;40.8;
2012-04-30;139.8;
2012-05-31;59.4;
2012-06-30;119.2;
2012-07-31;203.8;
2012-08-31;13;
2012-09-30;76.6;
2012-10-31;186.8;
2012-11-30;16.6;
2012-12-31;244;
2013-01-31;104;
2013-02-28;145.4;
2013-03-31;203.8;
2013-04-30;121.4;
2013-05-31;84.4;
2013-06-30;212;
2013-07-31;82.4;
2013-08-31;260;
2013-09-30;239;
2013-10-31;229.8;
2013-11-30;127.4;
2013-12-31;125.8;
2014-01-31;269.2;
2014-02-28;182;
2014-03-31;266.4;
2014-04-30;135.4;
2014-05-31;243;
2014-06-30;461.4;
2014-07-31;70.6;
2014-08-31;99.2;
2014-09-30;282.8;
2014-10-31;76.8;
2014-11-30;212.4;
2014-12-31;266.2;
2015-01-31;254.6;
2015-02-28;111;
2015-03-31;127.8;
2015-04-30;77.8;
2015-05-31;150.4;
2015-06-30;210.6;
2015-07-31;312.6;
2015-08-31;49.2;
2015-09-30;250.8;
2015-10-31;321;
2015-11-30;258.8;
2015-12-31;344;
2016-01-31;87;
2016-02-29;192.8;
2016-03-31;240.8;
2016-04-30;null;
2016-05-31;null;
2016-06-30;44.4;
2016-07-31;67.4;
2016-08-31;191.2;
2016-09-30;71.6;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;118;
2017-02-28;183.6;
2017-03-31;171;
2017-04-30;null;
2017-05-31;358.2;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;24.6;
2017-10-31;251.8;
2017-11-30;137.2;
2017-12-31;151.8;
2018-01-31;262.4;
2018-02-28;106.8;
2018-03-31;237.4;
2018-04-30;39;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;210.2;
2018-10-31;346.8;
2018-11-30;186.8;
2018-12-31;188.2;
2019-01-31;185.6;
2019-02-28;null;
2019-03-31;204.8;
2019-04-30;157.6;
2019-05-31;313.2;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;219.6;
2019-11-30;187.2;
2019-12-31;92.4;
2020-01-31;120.8;
2020-02-29;183.8;
2020-03-31;59.8;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;20.6;
2020-11-30;102.2;
2020-12-31;216;
2021-01-31;414.8;
2021-02-28;96.8;
2021-03-31;132.2;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;91.2;
2021-12-31;51.2;
2022-01-31;null;

