Nome: NOVA FATIMA
Codigo Estacao: A842
Latitude: -23.41527777
Longitude: -50.57777777
Altitude: 664.31
Situacao: Pane
Data Inicial: 2007-02-07
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-02-28;null;
2007-03-31;156.8;
2007-04-30;46.4;
2007-05-31;58.2;
2007-06-30;7.4;
2007-07-31;243.2;
2007-08-31;7.4;
2007-09-30;6.2;
2007-10-31;53.8;
2007-11-30;null;
2007-12-31;148;
2008-01-31;215.4;
2008-02-29;167.6;
2008-03-31;180.6;
2008-04-30;116.6;
2008-05-31;null;
2008-06-30;null;
2008-07-31;12.2;
2008-08-31;null;
2008-09-30;null;
2008-10-31;null;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;null;
2009-04-30;5.6;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;135;
2010-01-31;null;
2010-02-28;null;
2010-03-31;56;
2010-04-30;43.2;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;129.8;
2010-11-30;74.4;
2010-12-31;137.6;
2011-01-31;246.6;
2011-02-28;189.6;
2011-03-31;98.2;
2011-04-30;75.2;
2011-05-31;6.8;
2011-06-30;84;
2011-07-31;95.2;
2011-08-31;61.8;
2011-09-30;8;
2011-10-31;255.4;
2011-11-30;110.6;
2011-12-31;78.2;
2012-01-31;295.2;
2012-02-29;74.6;
2012-03-31;64.2;
2012-04-30;114.2;
2012-05-31;62;
2012-06-30;null;
2012-07-31;47.4;
2012-08-31;2.8;
2012-09-30;null;
2012-10-31;81.6;
2012-11-30;68;
2012-12-31;90.6;
2013-01-31;124.6;
2013-02-28;null;
2013-03-31;null;
2013-04-30;119.2;
2013-05-31;null;
2013-06-30;null;
2013-07-31;34;
2013-08-31;1.6;
2013-09-30;92.6;
2013-10-31;156.2;
2013-11-30;null;
2013-12-31;42.8;
2014-01-31;129;
2014-02-28;145.8;
2014-03-31;166.8;
2014-04-30;57.4;
2014-05-31;0;
2014-06-30;null;
2014-07-31;0;
2014-08-31;11;
2014-09-30;231.6;
2014-10-31;18.2;
2014-11-30;null;
2014-12-31;90.2;
2015-01-31;122.2;
2015-02-28;null;
2015-03-31;173;
2015-04-30;null;
2015-05-31;89.4;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;168.6;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;62.6;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;132.2;
2016-11-30;85;
2016-12-31;194.4;
2017-01-31;null;
2017-02-28;null;
2017-03-31;null;
2017-04-30;60.2;
2017-05-31;null;
2017-06-30;null;
2017-07-31;0;
2017-08-31;84;
2017-09-30;16.8;
2017-10-31;258.8;
2017-11-30;170;
2017-12-31;290;
2018-01-31;179.4;
2018-02-28;111.6;
2018-03-31;161.8;
2018-04-30;15.4;
2018-05-31;31.2;
2018-06-30;37.6;
2018-07-31;7;
2018-08-31;165.8;
2018-09-30;136.4;
2018-10-31;185.2;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;56.4;
2019-06-30;81.6;
2019-07-31;58;
2019-08-31;.2;
2019-09-30;63.8;
2019-10-31;42;
2019-11-30;186.2;
2019-12-31;213;
2020-01-31;108.8;
2020-02-29;104.6;
2020-03-31;50.2;
2020-04-30;30;
2020-05-31;9.2;
2020-06-30;107.4;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

