Nome: LAGOA VERMELHA
Codigo Estacao: A844
Latitude: -28.222381
Longitude: -51.512845
Altitude: 833.83
Situacao: Operante
Data Inicial: 2007-03-01
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-03-31;253.2;
2007-04-30;107;
2007-05-31;240.8;
2007-06-30;60.2;
2007-07-31;252.2;
2007-08-31;132.4;
2007-09-30;231.2;
2007-10-31;163.2;
2007-11-30;null;
2007-12-31;150.4;
2008-01-31;86.8;
2008-02-29;66;
2008-03-31;108.2;
2008-04-30;171.6;
2008-05-31;100.4;
2008-06-30;null;
2008-07-31;51.2;
2008-08-31;87.8;
2008-09-30;113;
2008-10-31;218.8;
2008-11-30;189.6;
2008-12-31;86;
2009-01-31;88.4;
2009-02-28;111.6;
2009-03-31;25;
2009-04-30;10.4;
2009-05-31;134.8;
2009-06-30;95.2;
2009-07-31;175.4;
2009-08-31;207.4;
2009-09-30;417;
2009-10-31;84.4;
2009-11-30;217;
2009-12-31;114.6;
2010-01-31;282.6;
2010-02-28;283.6;
2010-03-31;113.8;
2010-04-30;220;
2010-05-31;153;
2010-06-30;149.4;
2010-07-31;156.6;
2010-08-31;65;
2010-09-30;226.8;
2010-10-31;124.8;
2010-11-30;111.2;
2010-12-31;132.6;
2011-01-31;178.4;
2011-02-28;172;
2011-03-31;128.6;
2011-04-30;97.4;
2011-05-31;93;
2011-06-30;201.6;
2011-07-31;293;
2011-08-31;246.2;
2011-09-30;85.8;
2011-10-31;181.6;
2011-11-30;54.8;
2011-12-31;86.6;
2012-01-31;99.2;
2012-02-29;124.8;
2012-03-31;60.8;
2012-04-30;64.6;
2012-05-31;35;
2012-06-30;173.2;
2012-07-31;251.2;
2012-08-31;27;
2012-09-30;155.6;
2012-10-31;135;
2012-11-30;55.6;
2012-12-31;123.8;
2013-01-31;129.4;
2013-02-28;117.6;
2013-03-31;199.4;
2013-04-30;69.6;
2013-05-31;104;
2013-06-30;162.2;
2013-07-31;59.2;
2013-08-31;346;
2013-09-30;185.4;
2013-10-31;190;
2013-11-30;130;
2013-12-31;73.2;
2014-01-31;178.6;
2014-02-28;214.8;
2014-03-31;247.8;
2014-04-30;139;
2014-05-31;228;
2014-06-30;348.6;
2014-07-31;65.8;
2014-08-31;139.8;
2014-09-30;274.2;
2014-10-31;135.2;
2014-11-30;101.8;
2014-12-31;186.2;
2015-01-31;201.8;
2015-02-28;191.2;
2015-03-31;28.6;
2015-04-30;null;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;41.4;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;254.2;
2016-01-31;null;
2016-02-29;null;
2016-03-31;202.8;
2016-04-30;175.6;
2016-05-31;90;
2016-06-30;27.8;
2016-07-31;218.2;
2016-08-31;140.6;
2016-09-30;72.4;
2016-10-31;336.6;
2016-11-30;114.4;
2016-12-31;109.8;
2017-01-31;221.2;
2017-02-28;null;
2017-03-31;117.8;
2017-04-30;187;
2017-05-31;383;
2017-06-30;178.6;
2017-07-31;11.8;
2017-08-31;167.4;
2017-09-30;null;
2017-10-31;168.2;
2017-11-30;144.4;
2017-12-31;150;
2018-01-31;177.6;
2018-02-28;89.4;
2018-03-31;128.6;
2018-04-30;67;
2018-05-31;107.4;
2018-06-30;155.8;
2018-07-31;119.4;
2018-08-31;116.4;
2018-09-30;208.6;
2018-10-31;240;
2018-11-30;245.6;
2018-12-31;162.6;
2019-01-31;133;
2019-02-28;171.8;
2019-03-31;152.4;
2019-04-30;136.4;
2019-05-31;220.2;
2019-06-30;32;
2019-07-31;112;
2019-08-31;42.4;
2019-09-30;75.8;
2019-10-31;312;
2019-11-30;118.8;
2019-12-31;92;
2020-01-31;184.8;
2020-02-29;109.2;
2020-03-31;18.2;
2020-04-30;44;
2020-05-31;162.8;
2020-06-30;227.2;
2020-07-31;351.2;
2020-08-31;91.2;
2020-09-30;116;
2020-10-31;40.4;
2020-11-30;94.8;
2020-12-31;105.6;
2021-01-31;null;
2021-02-28;69.8;
2021-03-31;239;
2021-04-30;13.2;
2021-05-31;16.4;
2021-06-30;18.4;
2021-07-31;4.2;
2021-08-31;22.8;
2021-09-30;205.2;
2021-10-31;134.2;
2021-11-30;91.2;
2021-12-31;25.8;
2022-01-31;null;

