Nome: FOZ DO IGUACU
Codigo Estacao: A846
Latitude: -25.60194444
Longitude: -54.48305554
Altitude: 235.09
Situacao: Operante
Data Inicial: 2008-02-14
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-02-29;null;
2008-03-31;null;
2008-04-30;null;
2008-05-31;57.6;
2008-06-30;135.8;
2008-07-31;null;
2008-08-31;47.4;
2008-09-30;null;
2008-10-31;null;
2008-11-30;null;
2008-12-31;null;
2009-01-31;null;
2009-02-28;null;
2009-03-31;30.8;
2009-04-30;86.4;
2009-05-31;231.4;
2009-06-30;74.2;
2009-07-31;176.4;
2009-08-31;104.8;
2009-09-30;64.8;
2009-10-31;6.2;
2009-11-30;62.4;
2009-12-31;90.6;
2010-01-31;0;
2010-02-28;13.4;
2010-03-31;228.2;
2010-04-30;148;
2010-05-31;33.4;
2010-06-30;16.8;
2010-07-31;5.8;
2010-08-31;0;
2010-09-30;116.8;
2010-10-31;244;
2010-11-30;null;
2010-12-31;328.6;
2011-01-31;168;
2011-02-28;119.4;
2011-03-31;39;
2011-04-30;null;
2011-05-31;10.8;
2011-06-30;54.6;
2011-07-31;223.8;
2011-08-31;178.8;
2011-09-30;102;
2011-10-31;198.4;
2011-11-30;12;
2011-12-31;2.8;
2012-01-31;55.4;
2012-02-29;21;
2012-03-31;null;
2012-04-30;null;
2012-05-31;91.8;
2012-06-30;147.6;
2012-07-31;133.6;
2012-08-31;4.8;
2012-09-30;70.4;
2012-10-31;298.4;
2012-11-30;111.2;
2012-12-31;214.6;
2013-01-31;177.8;
2013-02-28;230.8;
2013-03-31;144.2;
2013-04-30;68.4;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;12;
2013-09-30;98.4;
2013-10-31;14.4;
2013-11-30;43.2;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;242.4;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;192.4;
2014-08-31;8.6;
2014-09-30;278.4;
2014-10-31;83;
2014-11-30;170.8;
2014-12-31;131.8;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;160.2;
2015-07-31;251.2;
2015-08-31;50.2;
2015-09-30;92.4;
2015-10-31;131.6;
2015-11-30;271;
2015-12-31;314;
2016-01-31;88.6;
2016-02-29;67.2;
2016-03-31;32.2;
2016-04-30;19;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;118;
2016-12-31;208.4;
2017-01-31;53.6;
2017-02-28;226.8;
2017-03-31;120.6;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;null;
2017-08-31;171.4;
2017-09-30;20.8;
2017-10-31;465.2;
2017-11-30;285.8;
2017-12-31;186.6;
2018-01-31;281.6;
2018-02-28;215.8;
2018-03-31;281.4;
2018-04-30;49.4;
2018-05-31;71;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;194.6;
2018-10-31;438.6;
2018-11-30;131;
2018-12-31;82.2;
2019-01-31;118.2;
2019-02-28;246.4;
2019-03-31;336;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;62;
2021-12-31;15;
2022-01-31;null;

