Nome: ILHA DO MEL
Codigo Estacao: A847
Latitude: -25.49444444
Longitude: -48.3261111
Altitude: 4.01
Situacao: Desativada
Data Inicial: 2007-03-22
Data Final: 2018-02-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-03-31;null;
2007-04-30;158;
2007-05-31;270;
2007-06-30;13.6;
2007-07-31;null;
2007-08-31;6.8;
2007-09-30;75.4;
2007-10-31;131.4;
2007-11-30;null;
2007-12-31;159.8;
2008-01-31;440;
2008-02-29;411.6;
2008-03-31;347.8;
2008-04-30;230.4;
2008-05-31;54.8;
2008-06-30;null;
2008-07-31;18;
2008-08-31;null;
2008-09-30;110.4;
2008-10-31;167.4;
2008-11-30;289.2;
2008-12-31;240.6;
2009-01-31;214.8;
2009-02-28;317.6;
2009-03-31;207.2;
2009-04-30;181.4;
2009-05-31;46.2;
2009-06-30;null;
2009-07-31;null;
2009-08-31;61.2;
2009-09-30;237;
2009-10-31;null;
2009-11-30;163;
2009-12-31;111.6;
2010-01-31;463.6;
2010-02-28;205.4;
2010-03-31;353.8;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;null;
2010-08-31;null;
2010-09-30;null;
2010-10-31;172.2;
2010-11-30;163.4;
2010-12-31;321.2;
2011-01-31;391.4;
2011-02-28;321.2;
2011-03-31;null;
2011-04-30;null;
2011-05-31;81.8;
2011-06-30;77;
2011-07-31;139.8;
2011-08-31;254;
2011-09-30;50.4;
2011-10-31;127;
2011-11-30;170.2;
2011-12-31;342.4;
2012-01-31;204.8;
2012-02-29;192.8;
2012-03-31;180.4;
2012-04-30;239.2;
2012-05-31;133.4;
2012-06-30;262.4;
2012-07-31;181.6;
2012-08-31;27.8;
2012-09-30;51.8;
2012-10-31;173.2;
2012-11-30;128.2;
2012-12-31;22.8;
2013-01-31;222.8;
2013-02-28;79.6;
2013-03-31;328.4;
2013-04-30;null;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;147.4;
2013-11-30;127.2;
2013-12-31;160.2;
2014-01-31;224;
2014-02-28;157.6;
2014-03-31;282.4;
2014-04-30;259;
2014-05-31;102.8;
2014-06-30;118.4;
2014-07-31;97.4;
2014-08-31;74.2;
2014-09-30;172.4;
2014-10-31;48.6;
2014-11-30;174.2;
2014-12-31;330;
2015-01-31;236.4;
2015-02-28;538.6;
2015-03-31;611.8;
2015-04-30;214.2;
2015-05-31;205.8;
2015-06-30;99.6;
2015-07-31;122;
2015-08-31;34.6;
2015-09-30;143.6;
2015-10-31;226.6;
2015-11-30;346.6;
2015-12-31;187.8;
2016-01-31;339.6;
2016-02-29;653.4;
2016-03-31;244.2;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;null;
2016-12-31;null;
2017-01-31;525.8;
2017-02-28;72.6;
2017-03-31;458.2;
2017-04-30;null;
2017-05-31;null;
2017-06-30;150.4;
2017-07-31;25.6;
2017-08-31;null;
2017-09-30;null;
2017-10-31;80.6;
2017-11-30;86.4;
2017-12-31;259.8;
2018-01-31;429.6;
2018-02-28;null;

