Nome: PARANAPOEMA
Codigo Estacao: A850
Latitude: -22.65833333
Longitude: -52.13444444
Altitude: 308.7
Situacao: Operante
Data Inicial: 2008-03-03
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-03-31;101.6;
2008-04-30;163.8;
2008-05-31;54.6;
2008-06-30;32;
2008-07-31;4.2;
2008-08-31;97.2;
2008-09-30;55.2;
2008-10-31;106.2;
2008-11-30;117;
2008-12-31;59.8;
2009-01-31;251.4;
2009-02-28;null;
2009-03-31;null;
2009-04-30;null;
2009-05-31;null;
2009-06-30;null;
2009-07-31;null;
2009-08-31;null;
2009-09-30;null;
2009-10-31;null;
2009-11-30;null;
2009-12-31;null;
2010-01-31;null;
2010-02-28;null;
2010-03-31;null;
2010-04-30;35.4;
2010-05-31;58.6;
2010-06-30;7;
2010-07-31;26.8;
2010-08-31;2.6;
2010-09-30;221.6;
2010-10-31;197.6;
2010-11-30;76.6;
2010-12-31;95;
2011-01-31;84.2;
2011-02-28;258.8;
2011-03-31;144.2;
2011-04-30;219.2;
2011-05-31;15.6;
2011-06-30;63.2;
2011-07-31;80.8;
2011-08-31;25.2;
2011-09-30;12.4;
2011-10-31;132.2;
2011-11-30;137.8;
2011-12-31;64;
2012-01-31;174.4;
2012-02-29;65.8;
2012-03-31;115.8;
2012-04-30;190.6;
2012-05-31;96;
2012-06-30;328.2;
2012-07-31;24.2;
2012-08-31;1.2;
2012-09-30;3.4;
2012-10-31;null;
2012-11-30;75.6;
2012-12-31;273;
2013-01-31;126.6;
2013-02-28;104.4;
2013-03-31;16.2;
2013-04-30;115.2;
2013-05-31;null;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;91;
2013-10-31;116.2;
2013-11-30;113.2;
2013-12-31;89.4;
2014-01-31;119.4;
2014-02-28;66.6;
2014-03-31;145.2;
2014-04-30;93.8;
2014-05-31;121.4;
2014-06-30;29;
2014-07-31;121.2;
2014-08-31;8.8;
2014-09-30;196.2;
2014-10-31;53;
2014-11-30;109.2;
2014-12-31;103;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;10.4;
2015-07-31;131.6;
2015-08-31;29.8;
2015-09-30;148.8;
2015-10-31;225.2;
2015-11-30;325.2;
2015-12-31;139.2;
2016-01-31;181.2;
2016-02-29;292.6;
2016-03-31;56;
2016-04-30;100.2;
2016-05-31;114.8;
2016-06-30;87.2;
2016-07-31;18.8;
2016-08-31;null;
2016-09-30;39.6;
2016-10-31;149.4;
2016-11-30;49.4;
2016-12-31;143.8;
2017-01-31;229.8;
2017-02-28;148.2;
2017-03-31;87.2;
2017-04-30;43;
2017-05-31;202;
2017-06-30;null;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;180.8;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;null;
2018-03-31;146.8;
2018-04-30;2.8;
2018-05-31;29.8;
2018-06-30;18.6;
2018-07-31;1;
2018-08-31;100.8;
2018-09-30;136;
2018-10-31;197.8;
2018-11-30;147;
2018-12-31;22.6;
2019-01-31;55;
2019-02-28;115.2;
2019-03-31;227;
2019-04-30;47.6;
2019-05-31;33;
2019-06-30;26.4;
2019-07-31;52.4;
2019-08-31;.2;
2019-09-30;91.6;
2019-10-31;77.6;
2019-11-30;68.4;
2019-12-31;265.2;
2020-01-31;160.8;
2020-02-29;206.8;
2020-03-31;39.4;
2020-04-30;40.8;
2020-05-31;42.8;
2020-06-30;149;
2020-07-31;10;
2020-08-31;168;
2020-09-30;12.4;
2020-10-31;74.4;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;27.6;
2021-12-31;22.4;
2022-01-31;null;

