Nome: ITAPOA
Codigo Estacao: A851
Latitude: -26.08138888
Longitude: -48.64166666
Altitude: 6.18
Situacao: Pane
Data Inicial: 2007-06-05
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-06-30;null;
2007-07-31;69.6;
2007-08-31;66.8;
2007-09-30;93.2;
2007-10-31;132.4;
2007-11-30;null;
2007-12-31;212;
2008-01-31;445.8;
2008-02-29;394.6;
2008-03-31;218.4;
2008-04-30;143.6;
2008-05-31;46.4;
2008-06-30;104.4;
2008-07-31;37.2;
2008-08-31;144.8;
2008-09-30;110.6;
2008-10-31;371.8;
2008-11-30;891.6;
2008-12-31;406.4;
2009-01-31;295;
2009-02-28;197.6;
2009-03-31;429.8;
2009-04-30;73.4;
2009-05-31;60.2;
2009-06-30;null;
2009-07-31;null;
2009-08-31;95;
2009-09-30;304.4;
2009-10-31;null;
2009-11-30;194.6;
2009-12-31;212.8;
2010-01-31;564.2;
2010-02-28;203.4;
2010-03-31;334.8;
2010-04-30;null;
2010-05-31;null;
2010-06-30;null;
2010-07-31;168.6;
2010-08-31;84.6;
2010-09-30;64.2;
2010-10-31;185.6;
2010-11-30;154.4;
2010-12-31;261.4;
2011-01-31;449.4;
2011-02-28;481.2;
2011-03-31;412.6;
2011-04-30;80.4;
2011-05-31;59.4;
2011-06-30;97.8;
2011-07-31;null;
2011-08-31;null;
2011-09-30;null;
2011-10-31;null;
2011-11-30;null;
2011-12-31;281.2;
2012-01-31;351.6;
2012-02-29;168.4;
2012-03-31;120.8;
2012-04-30;303.8;
2012-05-31;156.6;
2012-06-30;248;
2012-07-31;178;
2012-08-31;43.4;
2012-09-30;null;
2012-10-31;null;
2012-11-30;189.4;
2012-12-31;226;
2013-01-31;188.4;
2013-02-28;405.4;
2013-03-31;378.4;
2013-04-30;125.4;
2013-05-31;107;
2013-06-30;null;
2013-07-31;null;
2013-08-31;null;
2013-09-30;null;
2013-10-31;null;
2013-11-30;125.2;
2013-12-31;153.8;
2014-01-31;145.2;
2014-02-28;51;
2014-03-31;null;
2014-04-30;null;
2014-05-31;null;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;107.6;
2014-12-31;229.6;
2015-01-31;237.8;
2015-02-28;389.8;
2015-03-31;369;
2015-04-30;206;
2015-05-31;267.8;
2015-06-30;86.2;
2015-07-31;95.4;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;384.4;
2016-01-31;228.2;
2016-02-29;330.2;
2016-03-31;312.2;
2016-04-30;126.4;
2016-05-31;193.8;
2016-06-30;127.8;
2016-07-31;126.6;
2016-08-31;144.8;
2016-09-30;71.2;
2016-10-31;291.8;
2016-11-30;115.4;
2016-12-31;130.2;
2017-01-31;358.8;
2017-02-28;204.6;
2017-03-31;191.4;
2017-04-30;150.8;
2017-05-31;242.6;
2017-06-30;145.4;
2017-07-31;15.2;
2017-08-31;85.8;
2017-09-30;143;
2017-10-31;249;
2017-11-30;169.4;
2017-12-31;154.8;
2018-01-31;51.4;
2018-02-28;36.4;
2018-03-31;null;
2018-04-30;null;
2018-05-31;245.6;
2018-06-30;131.4;
2018-07-31;55.2;
2018-08-31;60;
2018-09-30;51;
2018-10-31;315.8;
2018-11-30;114.6;
2018-12-31;131.4;
2019-01-31;270.2;
2019-02-28;501.4;
2019-03-31;239.8;
2019-04-30;180.4;
2019-05-31;250.8;
2019-06-30;152.6;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;203;
2019-12-31;119.2;
2020-01-31;218.8;
2020-02-29;382.4;
2020-03-31;127.4;
2020-04-30;35.4;
2020-05-31;50.8;
2020-06-30;94;
2020-07-31;77.6;
2020-08-31;null;
2020-09-30;43;
2020-10-31;133.6;
2020-11-30;153.8;
2020-12-31;241.6;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

