Nome: SAO LUIZ GONZAGA
Codigo Estacao: A852
Latitude: -28.41722221
Longitude: -54.9625
Altitude: 245.5
Situacao: Operante
Data Inicial: 2007-07-24
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-07-31;null;
2007-08-31;46;
2007-09-30;340.4;
2007-10-31;210.6;
2007-11-30;null;
2007-12-31;97.2;
2008-01-31;131;
2008-02-29;125.2;
2008-03-31;52.4;
2008-04-30;184.2;
2008-05-31;84.2;
2008-06-30;179;
2008-07-31;47;
2008-08-31;126.2;
2008-09-30;77;
2008-10-31;457.6;
2008-11-30;45.6;
2008-12-31;38.4;
2009-01-31;116.4;
2009-02-28;119;
2009-03-31;40.8;
2009-04-30;7.6;
2009-05-31;141.4;
2009-06-30;98;
2009-07-31;113.8;
2009-08-31;183.8;
2009-09-30;211;
2009-10-31;136.6;
2009-11-30;604.4;
2009-12-31;196.8;
2010-01-31;357;
2010-02-28;222.6;
2010-03-31;78.2;
2010-04-30;136.2;
2010-05-31;127.6;
2010-06-30;67.4;
2010-07-31;201.6;
2010-08-31;14.2;
2010-09-30;254.4;
2010-10-31;108.2;
2010-11-30;44.8;
2010-12-31;209.8;
2011-01-31;98.4;
2011-02-28;183.2;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;88.2;
2011-10-31;221.2;
2011-11-30;78.6;
2011-12-31;36.8;
2012-01-31;41.4;
2012-02-29;44.4;
2012-03-31;57.6;
2012-04-30;null;
2012-05-31;null;
2012-06-30;60.2;
2012-07-31;81.2;
2012-08-31;80.8;
2012-09-30;109;
2012-10-31;454.8;
2012-11-30;67.2;
2012-12-31;345.8;
2013-01-31;189.4;
2013-02-28;156.2;
2013-03-31;265.8;
2013-04-30;264;
2013-05-31;143.8;
2013-06-30;56.6;
2013-07-31;158.8;
2013-08-31;107.6;
2013-09-30;106;
2013-10-31;173.8;
2013-11-30;139.8;
2013-12-31;173.8;
2014-01-31;202.6;
2014-02-28;null;
2014-03-31;null;
2014-04-30;104.8;
2014-05-31;327.8;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;56.6;
2014-12-31;345.6;
2015-01-31;301.6;
2015-02-28;76.8;
2015-03-31;142.8;
2015-04-30;210.2;
2015-05-31;193.2;
2015-06-30;270.4;
2015-07-31;135;
2015-08-31;null;
2015-09-30;null;
2015-10-31;196.2;
2015-11-30;null;
2015-12-31;null;
2016-01-31;97.2;
2016-02-29;180.2;
2016-03-31;187.8;
2016-04-30;255.6;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;99.6;
2016-09-30;41;
2016-10-31;289.8;
2016-11-30;147.6;
2016-12-31;137.8;
2017-01-31;198;
2017-02-28;null;
2017-03-31;233.6;
2017-04-30;null;
2017-05-31;549.8;
2017-06-30;132.2;
2017-07-31;6.4;
2017-08-31;239.4;
2017-09-30;null;
2017-10-31;251;
2017-11-30;null;
2017-12-31;118.6;
2018-01-31;279.2;
2018-02-28;null;
2018-03-31;142.2;
2018-04-30;45.4;
2018-05-31;74;
2018-06-30;78.4;
2018-07-31;null;
2018-08-31;null;
2018-09-30;198.4;
2018-10-31;190.2;
2018-11-30;296.6;
2018-12-31;186;
2019-01-31;206.6;
2019-02-28;179.6;
2019-03-31;141.2;
2019-04-30;170.8;
2019-05-31;301.6;
2019-06-30;18.8;
2019-07-31;244.4;
2019-08-31;95.4;
2019-09-30;57.4;
2019-10-31;278;
2019-11-30;126.8;
2019-12-31;118;
2020-01-31;228.8;
2020-02-29;87.6;
2020-03-31;35.2;
2020-04-30;51.8;
2020-05-31;220.8;
2020-06-30;170.8;
2020-07-31;224.8;
2020-08-31;58.4;
2020-09-30;98.8;
2020-10-31;54.4;
2020-11-30;73.4;
2020-12-31;146;
2021-01-31;null;
2021-02-28;66.6;
2021-03-31;183;
2021-04-30;56;
2021-05-31;137.8;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

