Nome: CRUZ ALTA
Codigo Estacao: A853
Latitude: -28.60344
Longitude: -53.673597
Altitude: 426.69
Situacao: Operante
Data Inicial: 2007-05-30
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-05-31;null;
2007-06-30;35.8;
2007-07-31;161.2;
2007-08-31;65.8;
2007-09-30;319.2;
2007-10-31;219.2;
2007-11-30;null;
2007-12-31;66.4;
2008-01-31;119;
2008-02-29;86.6;
2008-03-31;72.4;
2008-04-30;114.2;
2008-05-31;75;
2008-06-30;206.2;
2008-07-31;83.6;
2008-08-31;126.2;
2008-09-30;75.8;
2008-10-31;413.6;
2008-11-30;144;
2008-12-31;100.8;
2009-01-31;143;
2009-02-28;60.4;
2009-03-31;14;
2009-04-30;5.6;
2009-05-31;163.4;
2009-06-30;46.6;
2009-07-31;129.2;
2009-08-31;268.6;
2009-09-30;353.2;
2009-10-31;98.2;
2009-11-30;381.4;
2009-12-31;148.2;
2010-01-31;258.2;
2010-02-28;109.2;
2010-03-31;55.4;
2010-04-30;186.2;
2010-05-31;147;
2010-06-30;117.4;
2010-07-31;192.4;
2010-08-31;48.6;
2010-09-30;288.6;
2010-10-31;89.6;
2010-11-30;84.4;
2010-12-31;170.2;
2011-01-31;69.2;
2011-02-28;322;
2011-03-31;211;
2011-04-30;234.6;
2011-05-31;103.2;
2011-06-30;165.2;
2011-07-31;212.4;
2011-08-31;202.8;
2011-09-30;49.4;
2011-10-31;196;
2011-11-30;77.8;
2011-12-31;29.6;
2012-01-31;47.4;
2012-02-29;null;
2012-03-31;null;
2012-04-30;55.4;
2012-05-31;20;
2012-06-30;60.4;
2012-07-31;185.4;
2012-08-31;66;
2012-09-30;197.6;
2012-10-31;294.4;
2012-11-30;86;
2012-12-31;378.6;
2013-01-31;95;
2013-02-28;127;
2013-03-31;203.6;
2013-04-30;124.4;
2013-05-31;122.2;
2013-06-30;70.4;
2013-07-31;72.8;
2013-08-31;183;
2013-09-30;126.2;
2013-10-31;130.2;
2013-11-30;129.2;
2013-12-31;127.8;
2014-01-31;215.8;
2014-02-28;164.6;
2014-03-31;139.2;
2014-04-30;135.2;
2014-05-31;239.2;
2014-06-30;361;
2014-07-31;166.8;
2014-08-31;81.4;
2014-09-30;319.4;
2014-10-31;246.2;
2014-11-30;76;
2014-12-31;156.2;
2015-01-31;177.4;
2015-02-28;154.6;
2015-03-31;105.4;
2015-04-30;204.8;
2015-05-31;195;
2015-06-30;270.6;
2015-07-31;245.8;
2015-08-31;99.8;
2015-09-30;141;
2015-10-31;194.4;
2015-11-30;163.6;
2015-12-31;511.2;
2016-01-31;194.4;
2016-02-29;108;
2016-03-31;195;
2016-04-30;133.6;
2016-05-31;50.2;
2016-06-30;7;
2016-07-31;130.2;
2016-08-31;110.6;
2016-09-30;57.2;
2016-10-31;317.6;
2016-11-30;199;
2016-12-31;87.6;
2017-01-31;274.8;
2017-02-28;133;
2017-03-31;182.4;
2017-04-30;253.2;
2017-05-31;404.6;
2017-06-30;143;
2017-07-31;10.2;
2017-08-31;118.2;
2017-09-30;102.6;
2017-10-31;174.6;
2017-11-30;196;
2017-12-31;102.8;
2018-01-31;361.2;
2018-02-28;81.4;
2018-03-31;240.6;
2018-04-30;null;
2018-05-31;98;
2018-06-30;86.8;
2018-07-31;72.2;
2018-08-31;76.6;
2018-09-30;189;
2018-10-31;178.6;
2018-11-30;258.8;
2018-12-31;76.4;
2019-01-31;266.2;
2019-02-28;113;
2019-03-31;111.8;
2019-04-30;110.4;
2019-05-31;305.4;
2019-06-30;35.2;
2019-07-31;156.2;
2019-08-31;72.6;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;23.4;
2020-01-31;157.2;
2020-02-29;34;
2020-03-31;19.6;
2020-04-30;38.2;
2020-05-31;200.6;
2020-06-30;256.4;
2020-07-31;299.8;
2020-08-31;107.6;
2020-09-30;83.6;
2020-10-31;37.8;
2020-11-30;52;
2020-12-31;121.6;
2021-01-31;null;
2021-02-28;65.2;
2021-03-31;104;
2021-04-30;46.4;
2021-05-31;215.4;
2021-06-30;138.6;
2021-07-31;14;
2021-08-31;164.2;
2021-09-30;161.6;
2021-10-31;239;
2021-11-30;26.6;
2021-12-31;57;
2022-01-31;null;

