Nome: FREDERICO WESTPHALEN
Codigo Estacao: A854
Latitude: -27.39555555
Longitude: -53.42944443
Altitude: 489.42
Situacao: Operante
Data Inicial: 2007-12-13
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-12-31;null;
2008-01-31;35.6;
2008-02-29;87.4;
2008-03-31;57.6;
2008-04-30;334.2;
2008-05-31;79.2;
2008-06-30;202.8;
2008-07-31;36.4;
2008-08-31;96.4;
2008-09-30;97;
2008-10-31;387.6;
2008-11-30;132.4;
2008-12-31;55.4;
2009-01-31;156.4;
2009-02-28;121.4;
2009-03-31;14.4;
2009-04-30;11;
2009-05-31;303.4;
2009-06-30;98;
2009-07-31;187.4;
2009-08-31;178.2;
2009-09-30;306.4;
2009-10-31;168.6;
2009-11-30;445.6;
2009-12-31;165.4;
2010-01-31;195.6;
2010-02-28;131.4;
2010-03-31;170.2;
2010-04-30;275.2;
2010-05-31;205.2;
2010-06-30;93;
2010-07-31;197.4;
2010-08-31;58.4;
2010-09-30;224.6;
2010-10-31;155.4;
2010-11-30;75;
2010-12-31;197;
2011-01-31;177.4;
2011-02-28;217.8;
2011-03-31;145.2;
2011-04-30;156.4;
2011-05-31;72.2;
2011-06-30;302.6;
2011-07-31;376.6;
2011-08-31;215.8;
2011-09-30;99.6;
2011-10-31;284.6;
2011-11-30;78.8;
2011-12-31;63.6;
2012-01-31;121.4;
2012-02-29;null;
2012-03-31;null;
2012-04-30;145.8;
2012-05-31;19.4;
2012-06-30;125.6;
2012-07-31;209.6;
2012-08-31;17.4;
2012-09-30;98.6;
2012-10-31;298;
2012-11-30;95;
2012-12-31;272;
2013-01-31;105.8;
2013-02-28;173.6;
2013-03-31;218.8;
2013-04-30;165.2;
2013-05-31;110.4;
2013-06-30;191.4;
2013-07-31;57;
2013-08-31;304.6;
2013-09-30;158.4;
2013-10-31;183.6;
2013-11-30;146;
2013-12-31;212.2;
2014-01-31;247.8;
2014-02-28;16.8;
2014-03-31;236.4;
2014-04-30;346;
2014-05-31;226;
2014-06-30;461;
2014-07-31;129.8;
2014-08-31;102.8;
2014-09-30;357.8;
2014-10-31;125.4;
2014-11-30;242;
2014-12-31;62.2;
2015-01-31;233.2;
2015-02-28;55;
2015-03-31;81.8;
2015-04-30;111.2;
2015-05-31;null;
2015-06-30;null;
2015-07-31;334.4;
2015-08-31;33;
2015-09-30;65.8;
2015-10-31;188.6;
2015-11-30;368;
2015-12-31;560.4;
2016-01-31;214;
2016-02-29;245.4;
2016-03-31;247.4;
2016-04-30;180.4;
2016-05-31;121;
2016-06-30;30.4;
2016-07-31;121.4;
2016-08-31;162.2;
2016-09-30;70.8;
2016-10-31;289.6;
2016-11-30;116;
2016-12-31;130.8;
2017-01-31;164.4;
2017-02-28;202.8;
2017-03-31;197;
2017-04-30;344.2;
2017-05-31;423.2;
2017-06-30;232.8;
2017-07-31;15.8;
2017-08-31;244.8;
2017-09-30;95.2;
2017-10-31;394.8;
2017-11-30;185.8;
2017-12-31;null;
2018-01-31;null;
2018-02-28;63.6;
2018-03-31;182;
2018-04-30;111;
2018-05-31;85;
2018-06-30;141.2;
2018-07-31;32.6;
2018-08-31;80.6;
2018-09-30;191.8;
2018-10-31;298.4;
2018-11-30;268.2;
2018-12-31;null;
2019-01-31;207;
2019-02-28;189.4;
2019-03-31;170.6;
2019-04-30;124;
2019-05-31;326.6;
2019-06-30;31;
2019-07-31;120;
2019-08-31;62.2;
2019-09-30;54.2;
2019-10-31;187.8;
2019-11-30;164.2;
2019-12-31;84.2;
2020-01-31;172.4;
2020-02-29;85;
2020-03-31;32.4;
2020-04-30;100.8;
2020-05-31;131.4;
2020-06-30;170.6;
2020-07-31;183.2;
2020-08-31;75.6;
2020-09-30;43.4;
2020-10-31;26;
2020-11-30;133.6;
2020-12-31;135.2;
2021-01-31;169.4;
2021-02-28;69.8;
2021-03-31;99.8;
2021-04-30;18.8;
2021-05-31;108.4;
2021-06-30;186.6;
2021-07-31;null;
2021-08-31;26.8;
2021-09-30;126.2;
2021-10-31;316.6;
2021-11-30;40.2;
2021-12-31;51.8;
2022-01-31;null;

