Nome: PLANALTO
Codigo Estacao: A855
Latitude: -25.72194443
Longitude: -53.74805555
Altitude: 399.1
Situacao: Pane
Data Inicial: 2007-11-06
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;216.2;
2008-05-31;49.2;
2008-06-30;164.6;
2008-07-31;66.4;
2008-08-31;119.4;
2008-09-30;127.2;
2008-10-31;292.4;
2008-11-30;88.2;
2008-12-31;40;
2009-01-31;195.4;
2009-02-28;224;
2009-03-31;42.2;
2009-04-30;87;
2009-05-31;292.8;
2009-06-30;83.6;
2009-07-31;144.8;
2009-08-31;215;
2009-09-30;198.8;
2009-10-31;288;
2009-11-30;207;
2009-12-31;196.4;
2010-01-31;146.6;
2010-02-28;169.6;
2010-03-31;236;
2010-04-30;238.2;
2010-05-31;147.8;
2010-06-30;49.8;
2010-07-31;73.4;
2010-08-31;27.6;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;97.6;
2011-07-31;263;
2011-08-31;253.6;
2011-09-30;160.2;
2011-10-31;306.4;
2011-11-30;165.2;
2011-12-31;30.2;
2012-01-31;175.6;
2012-02-29;126.4;
2012-03-31;50.8;
2012-04-30;367.4;
2012-05-31;80.4;
2012-06-30;124.4;
2012-07-31;80.6;
2012-08-31;3.2;
2012-09-30;51.6;
2012-10-31;209.2;
2012-11-30;29.6;
2012-12-31;206.8;
2013-01-31;null;
2013-02-28;null;
2013-03-31;null;
2013-04-30;51;
2013-05-31;137.8;
2013-06-30;277;
2013-07-31;34.4;
2013-08-31;55.8;
2013-09-30;194.8;
2013-10-31;154;
2013-11-30;170.8;
2013-12-31;126.6;
2014-01-31;230.6;
2014-02-28;146.6;
2014-03-31;216.2;
2014-04-30;215;
2014-05-31;218;
2014-06-30;226.6;
2014-07-31;190.4;
2014-08-31;null;
2014-09-30;null;
2014-10-31;50.4;
2014-11-30;179.8;
2014-12-31;61;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;178.6;
2015-07-31;350.8;
2015-08-31;41.4;
2015-09-30;97.4;
2015-10-31;114.8;
2015-11-30;261.2;
2015-12-31;429.4;
2016-01-31;211;
2016-02-29;348.4;
2016-03-31;137.4;
2016-04-30;80;
2016-05-31;192.4;
2016-06-30;35.8;
2016-07-31;76.2;
2016-08-31;137.4;
2016-09-30;53;
2016-10-31;267.2;
2016-11-30;null;
2016-12-31;226;
2017-01-31;59.4;
2017-02-28;191.4;
2017-03-31;155.2;
2017-04-30;63.6;
2017-05-31;199.8;
2017-06-30;null;
2017-07-31;null;
2017-08-31;147;
2017-09-30;28.6;
2017-10-31;461.2;
2017-11-30;306;
2017-12-31;80.2;
2018-01-31;358.8;
2018-02-28;177.8;
2018-03-31;null;
2018-04-30;null;
2018-05-31;105.8;
2018-06-30;109;
2018-07-31;10.8;
2018-08-31;82.4;
2018-09-30;313;
2018-10-31;290.2;
2018-11-30;155.2;
2018-12-31;42.4;
2019-01-31;123.6;
2019-02-28;211.2;
2019-03-31;219.2;
2019-04-30;213;
2019-05-31;300.2;
2019-06-30;36.2;
2019-07-31;32.2;
2019-08-31;6.6;
2019-09-30;50.2;
2019-10-31;112.6;
2019-11-30;153;
2019-12-31;214.8;
2020-01-31;184;
2020-02-29;102;
2020-03-31;60.6;
2020-04-30;47.4;
2020-05-31;278;
2020-06-30;139.8;
2020-07-31;65;
2020-08-31;121.6;
2020-09-30;25.6;
2020-10-31;72;
2020-11-30;41.2;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

