Nome: SAO MIGUEL DO OESTE
Codigo Estacao: A857
Latitude: -26.7861111
Longitude: -53.51388888
Altitude: 645
Situacao: Operante
Data Inicial: 2008-03-11
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-03-31;null;
2008-04-30;356.2;
2008-05-31;68.2;
2008-06-30;138.6;
2008-07-31;28.2;
2008-08-31;91.6;
2008-09-30;132.4;
2008-10-31;390.2;
2008-11-30;127.4;
2008-12-31;88.4;
2009-01-31;167.8;
2009-02-28;134.6;
2009-03-31;54.4;
2009-04-30;61.8;
2009-05-31;252;
2009-06-30;90;
2009-07-31;155;
2009-08-31;172.2;
2009-09-30;395.2;
2009-10-31;196;
2009-11-30;284.8;
2009-12-31;200.6;
2010-01-31;151.6;
2010-02-28;104.6;
2010-03-31;210.2;
2010-04-30;285.8;
2010-05-31;229.4;
2010-06-30;31.8;
2010-07-31;134.4;
2010-08-31;55.4;
2010-09-30;129.8;
2010-10-31;183.4;
2010-11-30;null;
2010-12-31;null;
2011-01-31;35.4;
2011-02-28;null;
2011-03-31;null;
2011-04-30;null;
2011-05-31;null;
2011-06-30;276;
2011-07-31;225.2;
2011-08-31;201;
2011-09-30;165;
2011-10-31;281.6;
2011-11-30;120.2;
2011-12-31;54;
2012-01-31;120.8;
2012-02-29;87.2;
2012-03-31;39.4;
2012-04-30;241.6;
2012-05-31;54.8;
2012-06-30;118.8;
2012-07-31;176.2;
2012-08-31;5.6;
2012-09-30;89;
2012-10-31;261.2;
2012-11-30;111.6;
2012-12-31;375;
2013-01-31;null;
2013-02-28;null;
2013-03-31;null;
2013-04-30;null;
2013-05-31;null;
2013-06-30;191;
2013-07-31;71.8;
2013-08-31;155.8;
2013-09-30;186.4;
2013-10-31;154.6;
2013-11-30;142.6;
2013-12-31;220.6;
2014-01-31;219.8;
2014-02-28;104.6;
2014-03-31;251;
2014-04-30;277;
2014-05-31;242.8;
2014-06-30;421.4;
2014-07-31;103.2;
2014-08-31;52.2;
2014-09-30;446;
2014-10-31;119.6;
2014-11-30;157.8;
2014-12-31;268.4;
2015-01-31;283;
2015-02-28;111.2;
2015-03-31;66.4;
2015-04-30;61.4;
2015-05-31;245.6;
2015-06-30;212.2;
2015-07-31;424.2;
2015-08-31;null;
2015-09-30;null;
2015-10-31;267.6;
2015-11-30;312.6;
2015-12-31;393.6;
2016-01-31;91.6;
2016-02-29;179;
2016-03-31;null;
2016-04-30;null;
2016-05-31;142.2;
2016-06-30;52.2;
2016-07-31;91.2;
2016-08-31;197.2;
2016-09-30;70.4;
2016-10-31;188.2;
2016-11-30;158.2;
2016-12-31;189.4;
2017-01-31;120.6;
2017-02-28;207;
2017-03-31;189;
2017-04-30;193.2;
2017-05-31;300.2;
2017-06-30;133.2;
2017-07-31;8.2;
2017-08-31;155.6;
2017-09-30;81.6;
2017-10-31;362.4;
2017-11-30;184.4;
2017-12-31;156;
2018-01-31;252.4;
2018-02-28;102.8;
2018-03-31;285.6;
2018-04-30;125.6;
2018-05-31;73.8;
2018-06-30;105.6;
2018-07-31;35.2;
2018-08-31;83;
2018-09-30;235.4;
2018-10-31;316.8;
2018-11-30;195.8;
2018-12-31;79.6;
2019-01-31;190.6;
2019-02-28;204.6;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;41.6;
2019-07-31;89.8;
2019-08-31;42.6;
2019-09-30;46.2;
2019-10-31;131.6;
2019-11-30;223.6;
2019-12-31;127.8;
2020-01-31;180;
2020-02-29;103.4;
2020-03-31;59.6;
2020-04-30;84;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;

