Nome: XANXERE
Codigo Estacao: A858
Latitude: -26.938666
Longitude: -52.39809
Altitude: 878.74
Situacao: Operante
Data Inicial: 2008-03-14
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-03-31;null;
2008-04-30;287.8;
2008-05-31;82.4;
2008-06-30;211;
2008-07-31;39.8;
2008-08-31;110.6;
2008-09-30;196.6;
2008-10-31;null;
2008-11-30;167.8;
2008-12-31;96;
2009-01-31;194.2;
2009-02-28;148.8;
2009-03-31;83.2;
2009-04-30;35.4;
2009-05-31;243.6;
2009-06-30;98.8;
2009-07-31;161.4;
2009-08-31;190.2;
2009-09-30;362.6;
2009-10-31;231.8;
2009-11-30;237.8;
2009-12-31;143.4;
2010-01-31;242.8;
2010-02-28;151;
2010-03-31;234;
2010-04-30;339;
2010-05-31;207.6;
2010-06-30;71;
2010-07-31;183.2;
2010-08-31;70.2;
2010-09-30;19.6;
2010-10-31;2;
2010-11-30;49.8;
2010-12-31;359.6;
2011-01-31;109.4;
2011-02-28;248.8;
2011-03-31;149.2;
2011-04-30;139.4;
2011-05-31;73.2;
2011-06-30;321;
2011-07-31;258;
2011-08-31;226.2;
2011-09-30;175.2;
2011-10-31;256.2;
2011-11-30;98.4;
2011-12-31;79;
2012-01-31;106;
2012-02-29;68.4;
2012-03-31;94;
2012-04-30;204;
2012-05-31;56.8;
2012-06-30;171.2;
2012-07-31;205.6;
2012-08-31;.8;
2012-09-30;85.8;
2012-10-31;269;
2012-11-30;82.6;
2012-12-31;257.8;
2013-01-31;119;
2013-02-28;null;
2013-03-31;312.2;
2013-04-30;199.8;
2013-05-31;114.6;
2013-06-30;270;
2013-07-31;87.6;
2013-08-31;198.4;
2013-09-30;null;
2013-10-31;256;
2013-11-30;136.2;
2013-12-31;133.8;
2014-01-31;179.8;
2014-02-28;118.6;
2014-03-31;290.8;
2014-04-30;111.4;
2014-05-31;null;
2014-06-30;null;
2014-07-31;115.2;
2014-08-31;105.4;
2014-09-30;401.4;
2014-10-31;92.6;
2014-11-30;224.8;
2014-12-31;296.4;
2015-01-31;272.6;
2015-02-28;265;
2015-03-31;84.8;
2015-04-30;103.2;
2015-05-31;201.2;
2015-06-30;200.8;
2015-07-31;434.6;
2015-08-31;84.4;
2015-09-30;325;
2015-10-31;311.6;
2015-11-30;275;
2015-12-31;324.8;
2016-01-31;146.6;
2016-02-29;243.8;
2016-03-31;254.4;
2016-04-30;120.2;
2016-05-31;209.2;
2016-06-30;62.8;
2016-07-31;80.2;
2016-08-31;220.4;
2016-09-30;83.8;
2016-10-31;null;
2016-11-30;115.4;
2016-12-31;139.2;
2017-01-31;188.8;
2017-02-28;163.2;
2017-03-31;95.2;
2017-04-30;107.2;
2017-05-31;433.4;
2017-06-30;144.2;
2017-07-31;13.4;
2017-08-31;163.4;
2017-09-30;51.4;
2017-10-31;349.4;
2017-11-30;182.6;
2017-12-31;192;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;93.4;
2018-06-30;133.8;
2018-07-31;41.6;
2018-08-31;119;
2018-09-30;207;
2018-10-31;360.4;
2018-11-30;206;
2018-12-31;121.2;
2019-01-31;204.6;
2019-02-28;422;
2019-03-31;201.2;
2019-04-30;149.6;
2019-05-31;339.4;
2019-06-30;37.6;
2019-07-31;83.8;
2019-08-31;18.8;
2019-09-30;74;
2019-10-31;200.6;
2019-11-30;218.2;
2019-12-31;110.8;
2020-01-31;219.4;
2020-02-29;192;
2020-03-31;59;
2020-04-30;97.6;
2020-05-31;165.8;
2020-06-30;309;
2020-07-31;175.6;
2020-08-31;144.2;
2020-09-30;48;
2020-10-31;54.4;
2020-11-30;108.4;
2020-12-31;125.2;
2021-01-31;353.2;
2021-02-28;21.6;
2021-03-31;95.6;
2021-04-30;null;
2021-05-31;null;
2021-06-30;168.4;
2021-07-31;52;
2021-08-31;32;
2021-09-30;178.2;
2021-10-31;295;
2021-11-30;127;
2021-12-31;10.8;
2022-01-31;null;

