Nome: CACADOR
Codigo Estacao: A859
Latitude: -26.819156
Longitude: -50.98552
Altitude: 944.26
Situacao: Operante
Data Inicial: 2008-03-18
Data Final: 2022-01-01
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2008-03-31;null;
2008-04-30;193.8;
2008-05-31;66.2;
2008-06-30;148;
2008-07-31;36.6;
2008-08-31;88.2;
2008-09-30;173.6;
2008-10-31;314.2;
2008-11-30;147.8;
2008-12-31;109.6;
2009-01-31;219.8;
2009-02-28;177.4;
2009-03-31;44.8;
2009-04-30;46.2;
2009-05-31;105;
2009-06-30;73.8;
2009-07-31;168;
2009-08-31;164.2;
2009-09-30;262.6;
2009-10-31;114.2;
2009-11-30;149.8;
2009-12-31;156.8;
2010-01-31;1.2;
2010-02-28;48.4;
2010-03-31;208.8;
2010-04-30;304.4;
2010-05-31;161.2;
2010-06-30;127.8;
2010-07-31;83.2;
2010-08-31;84.2;
2010-09-30;40.8;
2010-10-31;155;
2010-11-30;126.6;
2010-12-31;291.6;
2011-01-31;274.6;
2011-02-28;227.6;
2011-03-31;139.8;
2011-04-30;113.6;
2011-05-31;47.4;
2011-06-30;169.8;
2011-07-31;259.8;
2011-08-31;251.4;
2011-09-30;196.4;
2011-10-31;156.8;
2011-11-30;53.4;
2011-12-31;99.8;
2012-01-31;143;
2012-02-29;121.4;
2012-03-31;65.6;
2012-04-30;null;
2012-05-31;54.6;
2012-06-30;139.4;
2012-07-31;167;
2012-08-31;15;
2012-09-30;57;
2012-10-31;185.2;
2012-11-30;15.2;
2012-12-31;26;
2013-01-31;null;
2013-02-28;null;
2013-03-31;null;
2013-04-30;60.4;
2013-05-31;6.4;
2013-06-30;null;
2013-07-31;38.2;
2013-08-31;34.6;
2013-09-30;49.6;
2013-10-31;29.4;
2013-11-30;156.2;
2013-12-31;303.4;
2014-01-31;111;
2014-02-28;103.8;
2014-03-31;55.4;
2014-04-30;113.4;
2014-05-31;47.8;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;null;
2014-10-31;null;
2014-11-30;124;
2014-12-31;258;
2015-01-31;73.4;
2015-02-28;51.6;
2015-03-31;null;
2015-04-30;13;
2015-05-31;null;
2015-06-30;null;
2015-07-31;null;
2015-08-31;null;
2015-09-30;null;
2015-10-31;null;
2015-11-30;null;
2015-12-31;157.4;
2016-01-31;36.6;
2016-02-29;null;
2016-03-31;null;
2016-04-30;81.6;
2016-05-31;160.4;
2016-06-30;null;
2016-07-31;74.8;
2016-08-31;209.8;
2016-09-30;87.2;
2016-10-31;227.4;
2016-11-30;164.8;
2016-12-31;160.8;
2017-01-31;223.2;
2017-02-28;78;
2017-03-31;142;
2017-04-30;72.4;
2017-05-31;290;
2017-06-30;94.4;
2017-07-31;7;
2017-08-31;96;
2017-09-30;29.8;
2017-10-31;342.4;
2017-11-30;156;
2017-12-31;136;
2018-01-31;213.2;
2018-02-28;48.2;
2018-03-31;238.6;
2018-04-30;17.2;
2018-05-31;46;
2018-06-30;116.8;
2018-07-31;6;
2018-08-31;87;
2018-09-30;178.2;
2018-10-31;271.6;
2018-11-30;128.4;
2018-12-31;169.8;
2019-01-31;221.6;
2019-02-28;242.6;
2019-03-31;124.2;
2019-04-30;174.6;
2019-05-31;275;
2019-06-30;44;
2019-07-31;null;
2019-08-31;15.4;
2019-09-30;80.4;
2019-10-31;141.2;
2019-11-30;163.2;
2019-12-31;122.2;
2020-01-31;154.6;
2020-02-29;104.2;
2020-03-31;54;
2020-04-30;61.6;
2020-05-31;88;
2020-06-30;169.8;
2020-07-31;132.4;
2020-08-31;88.4;
2020-09-30;63.2;
2020-10-31;28.4;
2020-11-30;134.2;
2020-12-31;199.2;
2021-01-31;272.8;
2021-02-28;36.2;
2021-03-31;104.8;
2021-04-30;21.8;
2021-05-31;99;
2021-06-30;117.2;
2021-07-31;null;
2021-08-31;24.4;
2021-09-30;148.8;
2021-10-31;240.2;
2021-11-30;139.4;
2021-12-31;28.4;
2022-01-31;null;

